"Date","sell.XL","Price"
2011-01-14,54,23.57
2011-06-03,58,22.44
2011-06-10,67,20.87
2011-08-19,51,18.76
2011-08-26,47,19.27
2011-09-02,47,19.56
2011-09-09,47,19.25
2011-09-16,47,20.03
2011-09-23,47,18.36
2011-11-11,50,21.2
2011-11-18,49,19.86
2011-11-25,55,18.92
2011-12-02,60,20.75
2011-12-09,66,20.56
2011-12-16,57,19.66
2011-12-23,49,20.27
2011-12-30,49,19.77
2012-01-06,49,19.93
2012-01-13,51,20.26
2012-01-20,54,20.39
2012-01-27,41,20.3
2012-02-03,41,21.02
2012-02-10,41,19.27
2012-02-17,41,19.94
2012-02-24,41,20.08
2012-03-02,44,21.02
2012-03-09,46,21.22
2012-03-16,53,21.87
2012-03-23,54,21.13
2012-03-30,54,21.69
2012-04-13,41,20.81
2012-04-20,41,21.38
2012-04-27,45,21.72
2012-05-04,50,21.14
2012-05-11,44,22.12
2012-05-18,48,20.35
2012-05-25,44,20.25
2012-06-01,44,19.7
2012-06-08,44,20.39
2012-06-15,44,20.35
2012-06-22,44,20.11
2012-06-29,57,21.04
2012-07-06,41,20.83
2012-07-13,48,20.45
2012-07-20,40,20.41
2012-07-27,70,20.88
2012-08-03,82,21.2
2012-08-10,58,22.98
2012-08-17,66,23.45
2012-08-24,67,23.23
2012-08-31,52,23.12
2012-09-07,84,23.76
2012-09-14,39,24.68
2012-09-21,54,24.2
2012-09-28,46,24.03
2012-10-05,65,24.86
2012-10-12,75,24.98
2012-10-19,37,25.43
2012-10-26,49,24.77
2012-11-02,62,24.01
2012-11-09,58,24
2012-11-16,69,23.71
2012-11-23,59,24.36
2012-11-30,50,24.33
2012-12-07,50,25.09
2012-12-14,46,24.29
2012-12-21,55,24.56
2012-12-28,76,24.69
2013-01-04,53,26.01
2013-01-11,44,26.6
2013-01-18,50,27.22
2013-01-25,47,27.79
2013-02-01,47,28.07
2013-02-08,57,28.24
2013-02-15,51,28.67
2013-02-22,39,28.99
2013-03-01,46,28.82
2013-03-08,49,29.66
2013-03-15,48,30.4
2013-03-22,74,30.25
2013-04-05,40,30.77
2013-04-12,42,31.29
2013-04-19,65,30.44
2013-04-26,46,31.15
2013-05-03,36,32.23
2013-05-10,72,31.93
2013-05-17,45,32.45
2013-05-24,49,31.5
2013-05-31,46,31.43
2013-06-07,58,31.31
2013-06-14,76,31.06
2013-06-21,85,29.56
2013-06-28,75,30.32
2013-07-05,79,30.65
2013-07-12,83,32.01
2013-07-19,72,32.88
2013-07-26,47,32.22
2013-08-02,79,31.95
2013-08-09,50,30.84
2013-08-16,47,30.43
2013-08-23,53,30.92
2013-08-30,71,29.56
2013-09-06,47,29.94
2013-09-13,62,30.51
2013-09-20,62,31.44
2013-09-27,53,31
2013-10-04,74,31.15
2013-10-11,77,31.3
2013-10-18,93,32.08
2013-10-25,79,31.68
2013-11-01,86,30.32
2013-11-08,72,31.25
2013-11-15,63,31.39
2013-11-22,90,31.55
2013-11-29,90,31.99
2013-12-06,42,30.75
2013-12-13,100,29.65
2013-12-20,59,31.1
2013-12-27,67,31.69
2014-01-03,65,30.81
2014-01-10,70,30.42
2014-01-17,63,29.94
2014-01-24,63,28.81
2014-01-31,37,28.74
2014-02-07,56,28.87
2014-02-14,48,29.23
2014-02-21,57,29.44
2014-02-28,28,30.4
2014-03-07,31,30.7
2014-03-14,34,29.97
2014-03-21,71,30.55
2014-03-28,93,30.62
2014-04-04,37,31.21
2014-04-11,59,30.95
2014-04-25,67,31.39
