"Date","Boeing.Company","Price"
2004-02-06,56,44.35
2004-02-13,66,44.45
2004-02-20,76,44.34
2004-02-27,87,43.37
2004-03-05,49,42.72
2004-03-12,49,40.3
2004-03-19,49,39.43
2004-05-07,47,43.4
2004-05-14,46,43.44
2004-05-21,48,43.4
2004-05-28,51,45.8
2004-06-04,53,46.9
2004-07-16,79,49.13
2004-07-23,62,47.06
2004-07-30,53,50.75
2004-08-06,48,48.33
2004-08-13,66,49.72
2004-08-20,45,50.46
2004-08-27,45,51.99
2004-09-03,41,53.1
2004-09-10,41,54.15
2004-09-17,41,55.15
2004-09-24,57,53.14
2004-10-01,64,52.48
2004-10-08,49,50.1
2004-10-15,63,50.19
2004-10-22,67,49.51
2004-10-29,72,49.9
2004-11-05,58,51.15
2004-11-12,68,53.93
2004-11-19,48,53.77
2004-11-26,47,54.02
2004-12-03,59,55.26
2004-12-10,67,52.42
2004-12-17,44,53.1
2004-12-31,44,51.77
2005-01-07,44,50.31
2005-01-14,45,50.91
2005-01-21,65,50.07
2005-01-28,47,49.92
2005-02-04,50,52.58
2005-02-11,82,54.14
2005-02-18,50,52.78
2005-02-25,55,54.99
2005-03-04,33,58.38
2005-03-11,54,57.49
2005-03-18,41,57.16
2005-04-01,42,58.78
2005-04-08,46,58.6
2005-04-15,50,57
2005-04-22,54,57.88
2005-04-29,62,59.52
2005-05-06,67,61.01
2005-05-13,48,59.5
2005-05-20,45,61.9
2005-05-27,37,63.02
2005-06-03,49,64.66
2005-06-10,42,64.65
2005-06-17,42,64.62
2005-06-24,47,60.59
2005-07-01,46,64.68
2005-07-08,31,65.07
2005-07-15,50,64.75
2005-07-22,37,66.2
2005-07-29,46,66.01
2005-08-05,55,66.19
2005-08-12,42,66.54
2005-08-19,54,67.15
2005-08-26,58,66.31
2005-09-02,48,64.34
2005-09-09,39,65.4
2005-09-16,50,64.8
2005-09-23,57,63.2
2005-09-30,39,67.95
2005-10-07,50,67.3
2005-10-14,34,67.5
2005-10-21,48,66.02
2005-10-28,43,65.64
2005-11-04,53,65.28
2005-11-11,43,65.35
2005-11-18,63,66.95
2005-11-25,60,69.06
2005-12-02,33,69.44
2005-12-09,45,69.65
2005-12-16,48,70.75
2005-12-23,60,71.49
2005-12-30,51,70.24
2006-01-06,45,69.35
2006-01-13,36,69.48
2006-01-20,43,66.5
2006-01-27,35,68.56
2006-02-03,54,70.87
2006-02-10,34,72.53
2006-02-17,34,72.96
2006-02-24,34,74.31
2006-03-03,35,73.39
2006-03-10,56,74.79
2006-03-17,46,77.85
2006-03-24,27,78.73
2006-03-31,37,77.93
2006-04-07,32,79.57
2006-04-21,72,86.46
2006-04-28,22,83.45
2006-05-05,35,88.47
2006-05-12,28,87.01
2006-05-19,43,84.61
2006-05-26,39,83.5
2006-06-02,36,83.8
2006-06-09,24,80.5
2006-06-16,42,85.54
2006-06-23,24,83.39
2006-06-30,43,81.91
2006-07-07,29,79.99
2006-07-14,26,77.25
2006-07-21,42,79.08
2006-07-28,32,78.91
2006-08-04,39,79.49
2006-08-11,31,75.96
2006-08-18,35,77.62
2006-08-25,24,73.93
2006-09-01,38,75.43
2006-09-08,29,72.8
2006-09-15,51,75.01
2006-09-22,31,77.25
2006-09-29,34,78.85
2006-10-06,25,83.68
2006-10-13,42,82.39
2006-10-20,25,81.74
2006-10-27,36,79.74
2006-11-03,37,79.97
2006-11-10,42,85.62
2006-11-17,25,89.52
2006-11-24,28,89.77
2006-12-01,24,89.55
2006-12-08,35,90.13
2006-12-15,20,90.7
2006-12-22,28,88.76
2006-12-29,25,88.84
2007-01-05,36,89.15
2007-01-12,33,88.13
2007-01-19,30,88.63
2007-01-26,40,85.43
2007-02-02,33,90.05
2007-02-09,39,90
2007-02-16,43,90.94
2007-02-23,38,90.28
2007-03-02,25,87.03
2007-03-09,27,89.51
2007-03-16,43,90
2007-03-23,36,90.98
2007-03-30,21,88.91
2007-04-13,36,91.03
2007-04-20,41,93.29
2007-04-27,34,94.02
2007-05-04,36,93.61
2007-05-11,30,93.4
2007-05-18,30,96.63
2007-05-25,36,98.25
2007-06-01,29,99.83
2007-06-08,34,98.19
2007-06-15,36,98.15
2007-06-22,41,95.92
2007-06-29,28,96.16
2007-07-06,36,98.88
2007-07-13,46,101.88
2007-07-20,49,103.86
2007-07-27,32,103.71
2007-08-03,47,104.24
2007-08-10,41,98.44
2007-08-17,25,95.93
2007-08-24,25,98.47
2007-08-31,40,96.7
2007-09-07,32,94.84
2007-09-14,39,99.35
2007-09-21,35,102.59
2007-09-28,31,104.99
2007-10-05,30,102.25
2007-10-12,44,96.69
2007-10-19,41,93.9
2007-10-26,34,96.02
2007-11-02,42,97.76
2007-11-09,31,94.21
2007-11-16,40,89.99
2007-11-23,26,89.54
2007-11-30,35,92.54
2007-12-07,32,93.16
2007-12-14,32,88.42
2007-12-21,27,89.07
2007-12-28,25,88.25
2008-01-04,31,85.82
2008-01-11,33,80.52
2008-01-18,38,78.4
2008-01-25,45,77.03
2008-02-01,43,82.76
2008-02-08,37,79.33
2008-02-15,40,85.18
2008-02-22,35,83.04
2008-02-29,35,82.79
2008-03-07,35,76.6
2008-03-14,33,76.23
2008-03-28,33,73.47
2008-04-04,33,75.65
2008-04-11,43,76.86
2008-04-18,39,78.66
2008-04-25,35,84.84
2008-05-02,30,85.69
2008-05-09,26,84.06
2008-05-16,36,85.17
2008-05-23,30,81.48
2008-05-30,36,82.77
2008-06-06,36,73.16
2008-06-13,21,75.12
2008-06-20,27,75.83
2008-06-27,25,66.92
2008-07-11,28,63.28
2008-07-18,24,68.14
2008-07-25,36,63.83
2008-08-01,30,62.01
2008-08-08,25,67.86
2008-08-15,21,64.45
2008-08-22,31,65.55
2008-08-29,33,65.56
2008-09-05,38,62.89
2008-09-12,40,63.3
2008-09-19,34,59.76
2008-09-26,33,58.32
2008-10-03,27,53.83
2008-10-10,33,41.8
2008-10-17,35,44.55
2008-10-24,37,45.24
2008-10-31,29,52.42
2008-11-07,34,46.58
2008-11-14,37,41.04
2008-11-21,29,39.58
2008-11-28,20,42.63
2008-12-05,26,39.53
2008-12-12,29,39.2
2008-12-19,20,41.24
2008-12-26,20,40.53
2009-01-02,21,45.25
2009-01-09,29,44.45
2009-01-16,22,42.46
2009-01-23,32,41.98
2009-01-30,35,42.31
2009-02-06,24,42.92
2009-02-13,31,40.48
2009-02-20,29,36.31
2009-02-27,32,31.44
2009-03-06,23,30.1
2009-03-13,32,33.4
2009-03-20,25,32.55
2009-03-27,25,37.53
2009-04-03,33,37.69
2009-04-17,31,38.32
2009-04-24,26,38.72
2009-05-01,27,41.21
2009-05-08,29,45.83
2009-05-15,25,43
2009-05-22,26,42.94
2009-05-29,23,44.85
2009-06-05,28,52.65
2009-06-12,28,51.44
