"Date","FMC.Corporation","Price"
2005-05-06,85,52.09
2005-06-17,80,57.41
2006-09-01,64,61.54
2006-09-08,49,61.68
2006-09-15,49,62.77
2006-09-22,49,61.65
2006-09-29,49,64.07
2006-10-06,39,67.04
2006-10-13,39,68.15
2006-10-20,39,68.17
2006-10-27,55,68.83
2007-01-19,44,77.13
2007-03-09,32,74.03
2007-03-16,32,74.18
2007-03-23,32,77.98
2007-03-30,31,75.43
2007-04-13,31,74.82
2007-04-20,31,76.37
2007-04-27,41,77.17
2007-05-04,32,83.08
2007-05-11,32,84.95
2007-05-18,32,85.04
2007-05-25,34,83.81
2007-06-01,37,84.96
2007-06-08,40,84.93
2007-06-15,43,86.15
2007-06-22,29,85.01
2007-06-29,29,89.39
2007-07-06,30,90.8
2007-07-13,32,91.84
2007-07-20,29,92.5
2007-07-27,29,87.71
2007-08-03,29,89.21
2007-08-10,29,84.93
2007-08-17,30,87
2007-08-24,30,87.85
2007-08-31,29,90
2007-09-07,29,89.89
2007-09-14,29,47.04
2007-09-21,29,50.91
2007-09-28,28,52.02
2007-10-05,30,52.45
2007-10-12,32,52.91
2007-10-19,34,52.55
2007-10-26,32,53.81
2007-11-02,32,56.95
2007-11-09,26,55.14
2007-11-16,31,52.12
2007-11-23,36,52.16
2007-11-30,41,54.72
2007-12-07,39,54.63
2007-12-14,39,53.61
2007-12-21,27,54.35
2007-12-28,27,54.98
2008-01-04,27,53.22
2008-01-11,23,52.06
2008-01-18,29,49.96
2008-01-25,26,50.51
2008-02-01,22,53.41
2008-02-08,28,49.89
2008-02-15,35,55.31
2008-02-22,25,56.45
2008-02-29,25,56.61
2008-03-07,25,54.21
2008-03-14,25,56.2
2008-03-28,32,55.83
2008-04-04,25,58.77
2008-04-11,25,59.93
2008-04-18,25,63.5
2008-04-25,23,63.96
2008-05-02,23,62.21
2008-05-09,23,67.22
2008-05-16,23,69.66
2008-05-23,34,69.06
2008-05-30,29,73.98
2008-06-06,20,75.03
2008-06-13,23,76.78
2008-06-20,25,78.51
2008-06-27,28,76.76
2008-07-11,25,69.45
2008-07-18,30,71.18
2008-07-25,29,65.56
2008-08-01,29,74.19
2008-08-08,25,71.15
2008-08-15,28,73.64
2008-08-22,23,73.6
2008-08-29,28,73.54
2008-09-05,23,67.5
2008-09-12,24,68.42
2008-09-19,42,63.63
2008-09-26,20,57.75
2008-10-03,20,45.5
2008-10-10,20,32.87
2008-10-17,18,36.3
2008-10-24,19,30.75
2008-10-31,16,43.54
2008-11-07,29,44.15
2008-11-14,24,37
2008-11-21,24,34.51
2008-11-28,24,43.7
2008-12-05,24,39.22
2008-12-12,30,44.47
2008-12-19,27,42.64
2008-12-26,27,42.36
2009-01-02,27,45.42
2009-01-09,18,45.17
2009-01-16,36,45.13
2009-01-23,18,45.65
2009-01-30,22,44.62
2009-02-06,26,51.18
2009-02-13,19,47.56
2009-02-20,18,43.72
2009-02-27,33,40.43
2009-03-06,19,35.93
2009-03-13,28,39.26
2009-03-20,20,40.16
2009-03-27,50,42.99
2009-04-03,80,48.18
2009-04-17,25,46.14
2009-04-24,17,46.12
2009-05-01,28,49.1
2009-05-08,23,49.91
2009-05-15,24,48.47
2009-05-22,17,51.3
2009-05-29,18,54.35
2009-06-05,16,52.94
2009-06-12,28,52.45
2009-06-19,25,48.8
2009-06-26,27,47.37
2009-07-10,26,41.19
2009-07-17,17,43.84
2009-07-24,23,45.75
2009-07-31,42,48.64
2009-08-07,26,50.45
2009-08-14,35,50.96
2009-08-21,32,50.16
2009-08-28,35,49.4
2009-09-04,24,49.17
2009-09-11,18,53.86
2009-09-18,18,57.99
2009-09-25,32,55.43
2009-10-02,20,52.7
2009-10-09,34,54.99
2009-10-16,31,55.6
2009-10-23,21,54.88
2009-10-30,22,51.1
2009-11-06,17,52.15
2009-11-13,31,54.99
2009-11-20,30,56.33
2009-11-27,20,55.32
2009-12-04,27,56.43
2009-12-11,27,56.16
2009-12-18,13,55.85
2010-01-08,29,55.97
2010-01-15,27,53.21
2010-01-22,28,52.71
2010-01-29,25,50.94
2010-02-05,25,53.11
2010-02-12,16,55.68
2010-02-19,24,57.39
2010-02-26,27,57.17
2010-03-05,20,59.81
2010-03-12,21,60.3
2010-03-19,18,59.99
2010-03-26,20,60.3
2010-04-09,17,64.26
2010-04-16,18,63.99
2010-04-23,40,65.15
2010-04-30,18,63.64
2010-05-07,14,62.8
2010-05-14,16,62.35
2010-05-21,18,59.62
2010-05-28,15,60.55
2010-06-04,22,58.23
2010-06-11,21,61.91
2010-06-18,23,62.44
2010-06-25,24,60.31
2010-07-02,17,56.55
2010-07-09,14,59.44
2010-07-16,18,58.03
2010-07-23,21,60.41
2010-07-30,16,62.49
2010-08-06,19,64.21
2010-08-13,14,60.72
2010-08-20,20,61.84
2010-08-27,15,63.06
2010-09-03,24,65.26
2010-09-10,16,64.21
2010-09-17,19,67.36
2010-09-24,21,68.1
2010-10-01,17,67.83
2010-10-08,12,69.33
2010-10-15,15,70.53
2010-10-22,17,70.18
2010-10-29,22,73.1
2010-11-05,15,76.88
2010-11-12,19,75.21
2010-11-19,20,77.23
2010-11-26,10,79.09
2010-12-03,11,80.22
2010-12-10,16,81.4
2010-12-17,11,79.75
2010-12-31,11,79.89
2011-01-07,11,76.81
2011-01-14,18,77.75
2011-01-21,16,76.1
2011-01-28,17,75.01
2011-02-04,10,80.21
2011-02-11,14,81.59
2011-02-18,14,81.15
2011-02-25,21,76.04
2011-03-04,11,77.98
2011-03-11,10,75.87
2011-03-18,13,76.92
2011-03-25,12,83.47
2011-04-01,20,86.12
2011-04-08,22,85.22
2011-04-15,22,85.35
2011-04-29,16,88.28
2011-05-06,11,84.71
2011-05-13,16,83.71
2011-05-20,13,83.93
2011-05-27,14,83.43
2011-06-03,14,79.68
2011-06-10,23,78.31
2011-06-17,15,79.24
2011-06-24,18,83.1
2011-07-01,16,87.53
2011-07-08,10,88.71
2011-07-15,15,87.42
2011-07-22,17,91.68
2011-07-29,11,87.57
2011-08-05,14,77.65
2011-08-12,17,75.1
2011-08-19,13,67.09
2011-08-26,14,72.53
2011-09-02,10,72.55
2011-09-09,13,71.13
2011-09-16,13,77.19
2011-09-23,17,68.83
2011-09-30,12,69.16
2011-10-07,16,71.02
2011-10-14,10,76.97
2011-10-21,16,75.9
2011-10-28,16,82.42
2011-11-04,17,83.5
2011-11-11,19,83.44
2011-11-18,14,80.22
2011-11-25,9,76.79
2011-12-02,15,82.56
2011-12-09,10,84.77
2011-12-16,8,84.49
2011-12-23,11,87.37
2011-12-30,10,86.04
2012-01-06,10,87.97
2012-01-13,12,90.13
2012-01-20,11,91.53
2012-01-27,17,92.96
2012-02-03,13,95
2012-02-10,11,91.18
2012-02-17,14,96.62
2012-02-24,23,98.56
2012-03-02,17,100
2012-03-09,11,99.12
2012-03-16,14,99.9
2012-03-23,21,99.46
2012-03-30,19,105.86
2012-04-13,13,104.78
2012-04-20,16,107.14
2012-04-27,15,112.05
2012-05-04,15,106.07
2012-05-11,18,105.99
2012-05-18,12,96.24
2012-05-25,17,51.39
2012-06-01,14,49.02
2012-06-08,20,51.93
2012-06-15,14,50.31
2012-06-22,12,50.38
2012-06-29,12,53.48
2012-07-06,14,52.57
2012-07-13,18,53.66
2012-07-20,13,54.53
2012-07-27,18,55.26
2012-08-03,19,53.97
2012-08-10,20,54.61
2012-08-17,14,54.93
2012-08-24,16,54.21
2012-08-31,13,54.32
2012-09-07,19,55.95
2012-09-14,15,58.55
2012-09-21,17,57.68
2012-09-28,19,55.38
2012-10-05,18,56.21
2012-10-12,14,53.63
2012-10-19,17,55.13
2012-10-26,18,54.28
2012-11-02,9,54.12
2012-11-09,15,53.22
2012-11-16,15,51.64
2012-11-23,12,54.8
2012-11-30,13,55.46
2012-12-07,14,53.08
2012-12-14,10,56.79
2012-12-21,14,58.01
2012-12-28,9,57.27
2013-01-04,10,59.13
2013-01-11,13,61.4
2013-01-18,13,60.61
2013-01-25,17,61.87
2013-02-01,17,62.42
2013-02-08,16,59.82
2013-02-15,17,59.47
2013-02-22,17,58.71
2013-03-01,15,59.9
2013-03-08,19,61.12
2013-03-15,8,60
2013-03-22,14,57.45
2013-04-05,12,55.45
2013-04-12,14,58.43
2013-04-19,12,57.88
2013-04-26,14,59.89
2013-05-03,16,59.57
2013-05-10,14,61.95
2013-05-17,20,63.35
2013-05-24,14,63.51
2013-05-31,8,62.71
2013-06-07,15,62.87
2013-06-14,12,62.57
2013-06-21,12,62.58
2013-06-28,17,61.06
2013-07-05,10,62.32
2013-07-12,18,62.12
2013-07-19,12,63.48
2013-07-26,16,63.44
2013-08-02,15,67.26
2013-08-09,11,65.68
2013-08-16,18,65.44
2013-08-23,11,66.57
2013-08-30,9,66.61
2013-09-06,13,67.8
2013-09-13,15,70.17
2013-09-20,13,71.36
2013-09-27,13,71.52
2013-10-04,16,72.12
2013-10-11,15,72.24
2013-10-18,13,73.41
2013-10-25,16,74.34
2013-11-01,20,72.82
2013-11-08,18,73.42
2013-11-15,13,75.1
2013-11-22,13,72.92
2013-11-29,11,72.86
2013-12-06,11,74.4
2013-12-13,13,73.31
2013-12-20,16,73.04
2013-12-27,9,75.46
2014-01-03,9,74.27
2014-01-10,12,74.22
2014-01-17,17,75.52
2014-01-24,17,71.62
2014-01-31,13,70.63
2014-02-07,12,71.52
2014-02-14,14,72.93
2014-02-21,8,72.7
2014-02-28,12,77.18
2014-03-07,16,77.87
2014-03-14,17,78.99
2014-03-21,13,78.9
2014-03-28,11,76.45
2014-04-04,15,76.73
2014-04-11,9,74.3
2014-04-25,12,75.6
