"Date","sell.GT","Price"
2007-08-31,54,27.66
2007-10-12,50,30.76
2009-03-13,46,5.24
2009-05-01,31,11.41
2009-07-10,39,10.98
2009-07-17,37,12.92
2009-07-24,37,14.47
2009-07-31,37,17.02
2009-08-07,37,18.11
2009-08-14,30,17.8
2009-08-21,30,17.97
2009-10-23,29,17.75
2009-10-30,28,12.88
2009-11-06,28,13.13
2009-11-13,28,14.34
2009-11-20,28,14.11
2010-03-19,28,13.01
2010-03-26,23,13.03
2010-04-09,27,12.87
2010-04-16,24,14.27
2010-04-23,24,14.58
2010-04-30,24,13.43
2010-05-07,24,12.11
2010-05-14,24,13.05
2010-05-21,24,11.33
2010-05-28,24,11.9
2010-07-30,34,10.67
2010-08-06,23,11.15
2010-08-13,27,9.98
2010-10-29,31,10.22
2010-11-05,21,10.47
2010-11-12,21,10.1
2010-11-19,22,10.33
2010-11-26,22,10.03
2010-12-03,22,9.93
2010-12-10,23,11.35
2010-12-17,29,11.64
2010-12-31,22,11.85
2011-01-07,25,12.9
2011-01-14,18,12.13
2011-01-21,18,11.58
2011-01-28,36,11.66
2011-02-04,23,12.76
2011-02-11,23,14.3
2011-02-18,19,14.89
2011-02-25,17,13.9
2011-03-04,19,13.68
2011-03-11,17,14.98
2011-03-18,17,14.82
2011-04-29,18,18.15
2011-05-06,18,17.56
2011-05-13,17,17.77
2011-05-20,17,17.57
2011-05-27,17,17.51
2011-06-03,18,16.51
2011-06-10,19,14.99
2011-06-17,26,14.8
2011-06-24,19,15.88
2011-07-01,19,17.29
2011-07-08,19,17.23
2011-07-15,18,17.84
2011-07-22,22,17.89
2011-07-29,19,16.17
2011-08-05,20,13.55
2011-08-12,21,13.48
2011-08-19,22,10.88
2011-08-26,21,11.81
2011-09-02,16,11.5
2011-09-09,19,10.78
2011-09-16,24,11.09
2011-09-23,19,9.86
2011-09-30,16,10.09
2011-10-07,20,10.3
2011-10-14,19,12.27
2011-10-21,28,12.97
2011-10-28,23,14.84
2011-11-04,21,14.3
2011-11-11,17,13.93
2011-11-18,16,12.76
2011-11-25,29,11.93
2011-12-02,26,14.12
2011-12-09,26,14.55
2011-12-16,26,13.58
2011-12-23,26,14.31
2011-12-30,23,14.17
2012-01-06,22,15.15
2012-01-13,24,13.5
2012-01-20,15,13.65
2012-01-27,18,13.5
2012-02-03,23,13.86
2012-02-10,25,13.88
2012-02-17,15,13.42
2012-02-24,19,13.11
2012-03-02,14,13.12
2012-03-09,18,12.38
2012-03-16,26,12.16
2012-03-23,21,11.91
2012-03-30,15,11.22
2012-04-13,16,10.59
2012-04-20,15,11.24
2012-04-27,16,11.32
2012-05-04,17,10.84
2012-05-11,24,10.55
2012-05-18,20,10.04
2012-05-25,19,10.59
2012-06-01,16,9.87
2012-06-08,18,10.49
2012-06-15,20,11.02
2012-06-22,14,11.46
2012-06-29,13,11.81
2012-07-06,21,11.09
2012-07-13,20,10.24
2012-07-20,23,9.81
2012-07-27,21,10.57
2012-08-03,20,11.16
2012-08-10,18,11.74
2012-08-17,23,12.04
2012-08-24,21,11.88
2012-08-31,16,12.2
2012-09-07,26,13.16
2012-09-14,21,13.51
2012-09-21,17,12.73
2012-09-28,15,12.19
2012-10-05,15,12.74
2012-10-12,15,12.28
2012-10-19,34,12.39
2012-10-26,31,11.02
2012-11-02,21,11.6
2012-11-09,21,11.53
2012-11-16,17,11.16
2012-11-23,19,11.83
2012-11-30,12,12.6
2012-12-07,14,12.78
2012-12-14,13,12.95
2012-12-21,13,13.08
2012-12-28,28,13.29
2013-01-04,23,14.35
2013-01-11,24,13.78
2013-01-18,19,13.81
2013-01-25,19,13.87
2013-02-01,16,13.78
2013-02-08,13,13.59
2013-02-15,18,14.1
2013-02-22,23,13.45
2013-03-01,12,12.96
2013-03-08,23,13.08
2013-03-15,23,13.73
2013-03-22,29,12.8
2013-04-05,15,12.16
2013-04-12,19,12.51
2013-04-19,27,12.14
2013-04-26,22,12.51
2013-05-03,17,12.37
2013-05-10,14,12.85
2013-05-17,25,14.74
2013-05-24,15,14.55
2013-05-31,23,15.14
2013-06-07,21,14.82
2013-06-14,14,15.31
2013-06-21,13,14.94
2013-06-28,18,15.3
2013-07-05,22,15.86
2013-07-12,18,16.6
2013-07-19,23,17.23
2013-07-26,19,16.78
2013-08-02,20,19.02
2013-08-09,22,19.05
2013-08-16,19,18.72
2013-08-23,25,18.84
2013-08-30,26,20.12
2013-09-06,13,20.79
2013-09-13,26,21.82
2013-09-20,28,22.21
2013-09-27,18,22.46
2013-10-04,20,23.01
2013-10-11,77,22.64
2013-10-18,100,22.63
2013-10-25,79,22.21
2013-11-01,74,20.86
2013-11-08,60,21.06
2013-11-15,51,21.65
2013-11-22,43,21.75
2013-11-29,30,22.26
2013-12-06,58,22.56
2013-12-13,35,22.62
2013-12-20,29,22.93
2013-12-27,19,23.54
2014-01-03,32,23.37
2014-01-10,38,25.99
2014-01-17,26,24.53
2014-01-24,41,23.04
2014-01-31,41,23.66
2014-02-07,41,23.53
2014-02-14,28,26.76
2014-02-21,32,26.54
2014-02-28,25,26.87
2014-03-07,32,27.66
2014-03-14,21,27.29
2014-03-21,24,26.92
2014-03-28,22,25.94
2014-04-04,22,25.56
2014-04-11,25,25.21
2014-04-25,19,27.44
