"Date","TWX","Price"
2004-02-20,37,17.68
2004-02-27,50,17.25
2004-03-05,62,17.15
2004-04-30,35,16.82
2004-05-07,33,16.61
2004-05-14,33,16.5
2004-07-02,35,17.39
2004-08-13,48,15.6
2004-10-08,36,16.4
2004-10-15,36,16.33
2004-10-22,36,16.28
2004-10-29,36,16.64
2004-11-05,29,16.73
2004-11-12,33,17.4
2004-11-19,38,17.42
2004-11-26,43,17.98
2004-12-03,27,18.05
2004-12-10,32,18.48
2004-12-17,27,19.39
2004-12-31,33,19.45
2005-01-07,36,18.9
2005-01-14,40,18.79
2005-01-21,43,18.59
2005-01-28,32,17.93
2005-02-04,32,18.04
2005-02-11,25,18
2005-02-18,29,17.89
2005-02-25,33,17.14
2005-03-04,36,17.77
2005-03-11,23,17.5
2005-03-18,27,18.7
2005-04-01,33,17.45
2005-04-08,44,17.97
2005-04-15,29,17.31
2005-04-22,27,17.36
2005-04-29,30,16.81
2005-05-06,33,17.12
2005-05-13,37,16.95
2005-05-20,26,17.61
2005-05-27,48,17.59
2005-06-03,47,17.25
2005-06-10,54,16.66
2005-06-17,35,16.78
2005-06-24,64,17.1
2005-07-01,43,16.59
2005-07-08,43,16.42
2005-07-15,62,16.67
2005-07-22,29,16.64
2005-07-29,42,17.02
2005-08-05,32,18.09
2005-08-12,66,18.24
2005-08-19,60,18.09
2005-08-26,57,17.56
2005-09-02,31,17.85
2005-09-09,27,18.34
2005-09-16,58,18.9
2005-09-23,44,17.98
2005-09-30,30,18.11
2005-10-07,40,18.01
2005-10-14,60,18
2005-10-21,59,17.23
2005-10-28,53,17.75
2005-11-04,59,17.61
2005-11-11,50,17.82
2005-11-18,58,18.03
2005-11-25,40,18.33
2005-12-02,41,18.27
2005-12-09,52,17.66
2005-12-16,85,18
2005-12-23,100,17.68
2005-12-30,50,17.44
2006-01-06,31,17.73
2006-01-13,55,17.27
2006-01-20,28,17.07
2006-01-27,37,17.29
2006-02-03,75,18.4
2006-02-10,64,18.32
2006-02-17,62,17.78
2006-02-24,41,17.27
2006-03-03,44,17.43
2006-03-10,31,17.2
2006-03-17,46,17.07
2006-03-24,39,17
2006-03-31,43,16.79
2006-04-07,41,16.62
2006-04-21,47,16.8
2006-04-28,47,17.4
2006-05-05,41,17.06
2006-05-12,46,17.5
2006-05-19,38,17.45
2006-05-26,40,17.44
2006-06-02,41,17.58
2006-06-09,33,17.36
2006-06-16,46,16.96
2006-06-23,48,16.97
2006-06-30,37,17.3
2006-07-07,19,16.84
2006-07-14,36,15.97
2006-07-21,25,16.01
2006-07-28,50,16.33
2006-08-04,75,16.56
2006-08-11,47,16.05
2006-08-18,40,16.5
2006-08-25,23,16.42
2006-09-01,42,16.76
2006-09-08,29,16.87
2006-09-15,27,17.02
2006-09-22,26,17.73
2006-09-29,75,18.23
2006-10-06,63,18.78
2006-10-13,59,19.06
2006-10-20,51,19.78
2006-10-27,60,19.91
2006-11-03,72,19.84
2006-11-10,49,19.71
2006-11-17,69,20.43
2006-11-24,50,20.49
2006-12-01,63,20.23
2006-12-08,51,20.91
2006-12-15,65,21.66
2006-12-22,60,22.08
2006-12-29,54,21.78
2007-01-05,50,22.23
2007-01-12,65,22.73
2007-01-19,58,22.62
2007-01-26,58,21.82
2007-02-02,58,21.75
2007-02-09,47,21.28
2007-02-16,60,21.57
2007-02-23,47,21.5
2007-03-02,57,19.93
2007-03-09,39,19.87
2007-03-16,36,19.48
2007-03-23,53,19.8
2007-03-30,42,19.72
2007-04-13,41,21.21
2007-04-20,44,20.72
2007-04-27,37,20.61
2007-05-04,58,21.29
2007-05-11,40,21.4
2007-05-18,51,21.54
2007-05-25,30,21.51
2007-06-01,31,21.31
2007-06-08,38,20.74
2007-06-15,41,20.9
2007-06-22,50,21.45
2007-06-29,25,21.04
2007-07-06,35,21.02
2007-07-13,48,20.86
2007-07-20,36,20.38
2007-07-27,34,19.42
2007-08-03,41,18.61
2007-08-10,34,18.62
2007-08-17,33,18.29
2007-08-24,33,19.01
2007-08-31,27,18.98
2007-09-07,31,18.37
2007-09-14,27,18.64
2007-09-21,32,18.09
2007-09-28,28,18.36
2007-10-05,27,19.06
2007-10-12,21,18.98
2007-10-19,29,17.96
2007-10-26,28,18.35
2007-11-02,32,17.88
2007-11-09,42,17.24
2007-11-16,29,17.3
2007-11-23,23,16.72
2007-11-30,29,17.26
2007-12-07,25,17.4
2007-12-14,33,16.89
2007-12-21,31,16.61
2007-12-28,32,16.65
2008-01-04,30,15.91
