"Date","R","Price"
2004-02-06,55,36.75
2004-02-13,52,36.25
2004-02-20,52,36.21
2004-02-27,51,36.84
2004-03-05,52,37.87
2004-03-12,50,37.78
2004-03-19,52,36.55
2004-03-26,51,36.83
2004-04-02,52,39.78
2004-04-16,54,39.54
2004-04-23,51,40.75
2004-04-30,50,36.79
2004-05-07,51,36.59
2004-05-14,49,35.97
2004-05-21,49,36.87
2004-05-28,49,37.15
2004-06-04,49,36.56
2004-06-18,49,39.13
2004-06-25,50,39.79
2004-07-02,48,38.86
2004-07-09,50,38.29
2004-07-16,50,39.55
2004-07-23,49,40.45
2004-07-30,49,42.9
2004-08-06,49,42.43
2004-08-13,51,42.11
2004-08-20,51,43.5
2004-08-27,50,43.32
2004-09-03,48,44.85
2004-09-10,50,44.82
2004-09-17,53,46.83
2004-09-24,49,46.41
2004-10-01,51,47.65
2004-10-08,52,48.52
2004-10-15,52,47.64
2004-10-22,51,47.45
2004-10-29,53,50.1
2004-11-05,55,52.24
2004-11-12,56,53.67
2004-11-19,60,53.18
2004-11-26,62,53.22
2004-12-03,68,53.82
2004-12-10,67,51.75
2004-12-17,67,54.5
2004-12-31,51,47.77
2005-01-07,50,46.39
2005-01-14,51,45.9
2005-01-21,50,44.27
2005-01-28,50,44.4
2005-02-04,53,45.02
2005-02-11,51,44.89
2005-02-18,50,43.07
2005-02-25,50,43
2005-03-04,49,43.11
2005-03-11,51,44.05
2005-03-18,49,42.44
2005-04-01,50,41.53
2005-04-08,49,41.51
2005-04-15,52,39.38
2005-04-22,48,38.6
2005-04-29,50,36.93
2005-05-06,49,36.58
2005-05-13,48,35.65
2005-05-20,49,37.02
2005-05-27,51,37.23
2005-06-03,51,36.7
2005-06-10,52,36.53
2005-06-17,51,36.26
2005-06-24,51,35.05
2005-07-01,52,36.82
2005-07-08,52,37.32
2005-07-15,53,38.84
2005-07-22,52,39.13
2005-07-29,52,38.99
2005-08-05,51,36.23
2005-08-12,51,36.7
2005-08-19,52,35.99
2005-08-26,50,35.01
2005-09-02,50,35.5
2005-09-09,49,34.46
2005-09-16,50,33.15
2005-09-23,50,33.26
2005-09-30,52,34.22
2005-10-07,52,33.08
2005-10-14,54,33.54
2005-10-21,54,33.02
2005-10-28,53,38.26
2005-11-04,56,41.42
2005-11-11,61,43.36
2005-11-18,62,43.63
2005-11-25,66,43.5
2005-12-02,70,42.21
2005-12-09,72,40.73
2005-12-16,72,41.5
2005-12-23,68,42.19
2005-12-30,55,41.02
2006-01-06,50,42.96
2006-01-13,51,41
2006-01-20,51,41.76
2006-01-27,52,44.75
2006-02-03,55,41
2006-02-10,51,43.14
2006-02-17,52,43.26
2006-02-24,52,44.75
2006-03-03,52,45.11
2006-03-10,52,44.12
2006-03-17,51,45.3
2006-03-24,50,45.27
2006-03-31,51,44.78
2006-04-07,51,47.12
2006-04-21,52,49.57
2006-04-28,49,52.15
2006-05-05,52,54.47
2006-05-12,50,54.2
2006-05-19,49,51.71
2006-05-26,49,54.42
2006-06-02,48,55.03
2006-06-09,50,55.18
2006-06-16,50,54.58
2006-06-23,49,56.35
2006-06-30,49,58.43
2006-07-07,49,56.24
2006-07-14,49,52.88
2006-07-21,51,51.5
2006-07-28,53,49.98
2006-08-04,49,50.43
2006-08-11,50,47.89
2006-08-18,50,51.09
2006-08-25,50,48.45
2006-09-01,48,50.25
2006-09-08,47,48.97
2006-09-15,51,52.17
2006-09-22,50,50.87
2006-09-29,53,51.68
2006-10-06,53,53.23
2006-10-13,53,54.08
2006-10-20,55,52.54
2006-10-27,57,53.35
2006-11-03,59,51.45
2006-11-10,65,52.98
2006-11-17,68,54.21
2006-11-24,72,53.79
2006-12-01,74,51.7
2006-12-08,75,50.96
2006-12-15,76,51.38
2006-12-22,72,51
2006-12-29,56,51.06
2007-01-05,54,52.62
2007-01-12,52,52.64
2007-01-19,51,53.53
2007-01-26,54,52.92
2007-02-02,54,53.76
2007-02-09,52,52.16
2007-02-16,53,53.98
2007-02-23,54,54.8
2007-03-02,52,50.36
2007-03-09,53,50.24
2007-03-16,54,49.58
2007-03-23,54,50.42
2007-03-30,54,49.34
2007-04-13,55,51.26
2007-04-20,54,52.56
2007-04-27,52,53.82
2007-05-04,53,52.37
2007-05-11,52,53.44
2007-05-18,53,53.92
2007-05-25,51,52.96
2007-06-01,53,54.07
2007-06-08,53,52.35
2007-06-15,52,52.3
2007-06-22,53,54.18
2007-06-29,53,53.8
2007-07-06,53,54.27
2007-07-13,55,55.62
2007-07-20,53,54.02
2007-07-27,54,53.28
2007-08-03,54,54.52
2007-08-10,53,53.93
2007-08-17,55,53.41
2007-08-24,54,54.26
2007-08-31,53,54.75
2007-09-07,50,52.29
2007-09-14,53,50.41
2007-09-21,53,49.86
2007-09-28,53,49
2007-10-05,55,49.25
2007-10-12,56,47.84
2007-10-19,56,46.71
2007-10-26,57,47.39
2007-11-02,61,47.96
2007-11-09,64,45.71
2007-11-16,67,43.54
2007-11-23,74,39.9
2007-11-30,76,43.36
2007-12-07,77,48.3
2007-12-14,76,46.44
2007-12-21,73,46.79
2007-12-28,61,47.51
2008-01-04,57,42.11
2008-01-11,56,43.24
2008-01-18,55,46.55
2008-01-25,55,48.71
2008-02-01,60,55.24
2008-02-08,62,58.41
2008-02-15,57,58.94
2008-02-22,56,58.79
2008-02-29,55,57.61
2008-03-07,55,55.51
2008-03-14,54,59.59
2008-03-28,54,60.83
2008-04-04,54,62.96
2008-04-11,55,60.61
2008-04-18,56,67.12
2008-04-25,54,67.61
2008-05-02,55,71.6
