"Date","buy.TAP","Price"
2007-01-12,56,76.86
2007-07-06,58,93.19
2007-07-13,57,92.86
2007-09-14,81,93.68
2007-09-21,64,98.4
2007-09-28,54,99.67
2007-10-05,54,49.68
2007-10-12,54,55.05
2007-10-19,40,53.75
2007-11-30,63,53.84
2007-12-07,65,55.48
2007-12-14,68,52.05
2007-12-21,57,52.6
2007-12-28,57,52.12
2008-01-04,57,50.69
2008-01-11,43,49.7
2008-01-18,43,46.2
2008-01-25,36,43.96
2008-02-01,51,45.83
2008-02-08,66,45.12
2008-02-15,36,50.99
2008-02-22,46,52.91
2008-02-29,48,53.96
2008-03-07,50,50.57
2008-03-14,51,52.26
2008-03-28,35,53.24
2008-04-04,34,54.48
2008-04-11,34,54.13
2008-04-18,34,55.72
2008-04-25,45,54.66
2008-05-02,39,53.5
2008-05-09,41,56
2008-05-16,40,58.03
2008-05-23,40,58.32
2008-05-30,50,58
2008-06-06,39,58.07
2008-06-13,37,57.72
2008-06-20,40,55.14
2008-06-27,43,54.12
2008-07-11,34,54.25
2008-07-18,50,57.29
2008-07-25,66,56.08
2008-08-01,41,54.41
2008-08-08,42,49.91
2008-08-15,42,49.62
2008-08-22,51,48.3
2008-08-29,49,47.65
2008-09-05,41,48.3
2008-09-12,40,49.02
2008-09-19,77,47.76
2008-09-26,52,46.41
2008-10-03,55,46.38
2008-10-10,39,37.6
2008-10-17,44,38.51
2008-10-24,38,38.14
2008-10-31,41,37.36
2008-11-07,54,42.43
2008-11-14,40,42.55
2008-11-21,60,43.31
2008-11-28,43,44.47
2008-12-05,42,41.05
2008-12-12,78,45.58
2008-12-19,48,46.2
2008-12-26,56,47.04
2009-01-02,37,49.52
2009-01-09,28,43.83
2009-01-16,41,42.19
2009-01-23,50,42.49
2009-01-30,27,40.27
2009-02-06,47,41.17
2009-02-13,41,38.84
2009-02-20,52,36.1
2009-02-27,60,35.23
2009-03-06,62,34.1
2009-03-13,41,31.68
2009-03-20,54,33.08
2009-03-27,35,35.37
2009-04-03,64,36.23
2009-04-17,45,38.38
2009-04-24,61,37.07
2009-05-01,46,39.04
2009-05-08,71,42
2009-05-15,50,41.96
2009-05-22,57,43.56
2009-05-29,55,43.99
2009-06-05,71,45.75
2009-06-12,49,44.93
2009-06-19,44,43.03
2009-06-26,51,42.64
2009-07-10,73,41.86
2009-07-17,40,43.86
2009-07-24,63,44.9
2009-07-31,58,45.21
2009-08-07,36,45.43
2009-08-14,63,45.62
2009-08-21,45,46.3
2009-08-28,43,46.67
2009-09-04,66,48.23
2009-09-11,56,49.28
2009-09-18,64,47.8
2009-09-25,50,47.89
2009-10-02,69,47.72
2009-10-09,54,49.74
2009-10-16,49,49.95
2009-10-23,100,50.24
2009-10-30,63,48.97
2009-11-06,58,43.85
2009-11-13,63,45.68
2009-11-20,55,45.57
2009-11-27,57,45.01
2009-12-04,59,45.72
2009-12-11,53,45.06
2009-12-18,52,43.43
2010-01-08,62,44.5
2010-01-15,54,45.18
2010-01-22,51,43.02
2010-01-29,39,42
2010-02-05,53,41.22
2010-02-12,78,38.9
2010-02-19,58,41.11
2010-02-26,44,40.38
2010-03-05,58,42.81
2010-03-12,59,43.15
2010-03-19,62,43.36
2010-03-26,50,42.61
2010-04-09,46,43.58
2010-04-16,56,43.98
2010-04-23,50,44.14
2010-04-30,75,44.36
2010-05-07,61,41.96
2010-05-14,61,42.7
2010-05-21,49,41.89
2010-05-28,62,41.04
2010-06-04,57,41.64
2010-06-11,55,43.68
2010-06-18,89,44.55
2010-06-25,58,43.4
2010-07-02,84,42.18
2010-07-09,69,44.16
2010-07-16,66,43.97
2010-07-23,89,46.24
2010-07-30,69,45.01
2010-08-06,76,45.68
2010-08-13,54,45.62
2010-08-20,72,45.92
2010-08-27,60,43.81
2010-09-03,60,44.59
2010-09-10,75,44.08
2010-09-17,83,45.5
2010-09-24,73,46.89
2010-10-01,61,47.78
2010-10-08,65,49.16
2010-10-15,54,48.71
2010-10-22,74,48.53
2010-10-29,74,47.23
2010-11-05,64,50.25
2010-11-12,60,49.02
2010-11-19,53,49.11
2010-11-26,59,48.68
2010-12-03,63,49.36
2010-12-10,57,49.3
2010-12-17,64,50.8
2010-12-31,71,50.19
2011-01-07,77,47.47
2011-01-14,59,47.7
2011-01-21,60,48.78
2011-01-28,58,46.51
2011-02-04,67,47.47
2011-02-11,70,45.05
2011-02-18,63,45.6
2011-02-25,70,45
2011-03-04,59,44.24
2011-03-11,62,44.1
2011-03-18,62,43.25
2011-03-25,69,45.12
2011-04-01,69,47.24
2011-04-08,81,46.78
2011-04-15,72,47.86
2011-04-29,70,48.75
2011-05-06,75,45.02
2011-05-13,72,46.02
2011-05-20,72,46.5
2011-05-27,71,46.63
2011-06-03,58,44.19
2011-06-10,74,44.22
2011-06-17,70,44.64
2011-06-24,52,44.29
2011-07-01,58,45.32
2011-07-08,48,44.55
2011-07-15,54,44.82
2011-07-22,73,46.54
2011-07-29,58,45.05
2011-08-05,61,42.53
2011-08-12,70,43.25
2011-08-19,85,42.87
2011-08-26,66,42.67
2011-09-02,62,42.66
2011-09-09,78,41.8
2011-09-16,60,42.81
2011-09-23,63,39.13
2011-09-30,81,39.61
2011-10-07,81,41.01
2011-10-14,52,41.78
2011-10-21,60,41.7
2011-10-28,65,42.96
2011-11-04,76,38.87
2011-11-11,62,41.02
2011-11-18,73,39.57
2011-11-25,73,38
2011-12-02,66,40.51
2011-12-09,59,41.4
2011-12-16,88,42.64
2011-12-23,82,44
2011-12-30,70,43.54
2012-01-06,78,43.57
2012-01-13,64,43.94
2012-01-20,64,44
2012-01-27,65,42.88
2012-02-03,80,43.93
2012-02-10,76,43.17
2012-02-17,69,45.43
2012-02-24,74,43.92
2012-03-02,54,43.6
2012-03-09,66,42.76
2012-03-16,60,43.11
2012-03-23,71,43.96
2012-03-30,64,45.25
2012-04-13,64,40.94
2012-04-20,70,41.3
2012-04-27,63,41.49
2012-05-04,86,42
2012-05-11,54,41.32
2012-05-18,81,39.84
2012-05-25,82,39.78
2012-06-01,59,38.33
2012-06-08,72,38.98
2012-06-15,79,39.43
2012-06-22,68,38.96
2012-06-29,78,41.61
2012-07-06,74,41
2012-07-13,72,40.86
2012-07-20,83,41.34
2012-07-27,76,42.28
2012-08-03,82,42.08
2012-08-10,87,44.17
2012-08-17,85,44.33
2012-08-24,95,44.27
2012-08-31,75,44.54
2012-09-07,96,45.54
2012-09-14,100,45.87
2012-09-21,78,45.6
2012-09-28,66,45.05
2012-10-05,81,44.64
2012-10-12,66,44.2
2012-10-19,81,44.03
2012-10-26,69,43.46
2012-11-02,68,43.31
2012-11-09,64,41.18
2012-11-16,68,39.83
2012-11-23,66,40.51
2012-11-30,75,41.46
2012-12-07,92,43.01
2012-12-14,84,43.04
2012-12-21,69,43.36
2012-12-28,69,42.71
2013-01-04,87,42.75
2013-01-11,54,42.69
2013-01-18,70,44.84
2013-01-25,76,45.12
2013-02-01,65,45.37
2013-02-08,80,44.41
2013-02-15,76,43.53
2013-02-22,71,46.48
2013-03-01,56,45.24
2013-03-08,84,47.37
2013-03-15,79,48.46
2013-03-22,81,48.96
2013-04-05,72,50.16
2013-04-12,77,51.91
2013-04-19,77,52.65
2013-04-26,66,51.01
2013-05-03,69,51.31
2013-05-10,69,50.08
2013-05-17,77,53.32
2013-05-24,71,51.56
2013-05-31,65,49.41
2013-06-07,59,50.66
2013-06-14,74,49.59
2013-06-21,77,47.79
2013-06-28,59,47.86
2013-07-05,81,47.65
2013-07-12,72,51.3
2013-07-19,84,51.39
2013-07-26,87,49.79
2013-08-02,87,50.79
2013-08-09,97,53.2
2013-08-16,90,50.78
2013-08-23,71,50.46
2013-08-30,85,48.79
2013-09-06,95,49.24
2013-09-13,80,49.54
2013-09-20,69,50.53
2013-09-27,79,50.4
2013-10-04,62,50.47
2013-10-11,73,51.76
2013-10-18,90,52.62
2013-10-25,77,53.89
2013-11-01,76,53.99
2013-11-08,84,53.79
2013-11-15,61,54.12
2013-11-22,82,53.65
2013-11-29,92,52.67
2013-12-06,81,54.96
2013-12-13,72,53.19
2013-12-20,97,54.94
2013-12-27,81,55.76
2014-01-03,74,55.01
2014-01-10,78,56.08
2014-01-17,81,55.58
2014-01-24,72,53.82
2014-01-31,68,52.64
2014-02-07,70,52.41
2014-02-14,71,55.02
2014-02-21,64,56.6
2014-02-28,76,56.83
2014-03-07,72,58.24
2014-03-14,68,57.61
2014-03-21,76,58.5
2014-03-28,81,58.08
2014-04-04,70,59.79
2014-04-11,66,57.08
2014-04-25,68,58.56
