"Date","General.Mills","Price"
2004-02-06,96,45
2004-02-13,90,44.84
2004-02-20,94,45.09
2004-02-27,78,45.98
2004-03-05,69,47.6
2004-03-12,94,46.76
2004-03-19,84,46
2004-03-26,66,45.8
2004-04-02,66,46.75
2004-04-16,77,47.21
2004-04-23,67,48.28
2004-04-30,80,48.75
2004-05-07,60,47.65
2004-05-14,56,45.86
2004-05-21,62,45.57
2004-05-28,42,46.05
2004-06-04,76,47.85
2004-06-18,64,45.66
2004-06-25,65,45.5
2004-07-02,53,46.98
2004-07-09,71,46.7
2004-07-16,79,45.65
2004-07-23,45,45.54
2004-07-30,79,44.9
2004-08-06,57,45.07
2004-08-13,64,45.87
2004-08-20,54,46.62
2004-08-27,69,47.2
2004-09-03,76,47.53
2004-09-10,57,46.65
2004-09-17,82,47.23
2004-09-24,98,45.09
2004-10-01,77,45.3
2004-10-08,84,44.7
2004-10-15,87,43.85
2004-10-22,67,43.3
2004-10-29,85,44.25
2004-11-05,67,45.2
2004-11-12,79,45.9
2004-11-19,73,44.63
2004-11-26,47,44.95
2004-12-03,66,46.57
2004-12-10,75,47.06
2004-12-17,51,48.72
2004-12-31,39,49.71
2005-01-07,62,50.94
2005-01-14,81,50.64
2005-01-21,74,51.91
2005-01-28,76,52.9
2005-02-04,76,53
2005-02-11,70,52.65
2005-02-18,67,51.74
2005-02-25,65,52.04
2005-03-04,64,52.3
2005-03-11,74,51.31
2005-03-18,67,51.53
2005-04-01,53,48.65
2005-04-08,64,49.23
2005-04-15,64,48.35
2005-04-22,68,48.56
2005-04-29,69,49.4
2005-05-06,49,49.45
2005-05-13,59,48.94
2005-05-20,58,49.44
2005-05-27,49,49.68
2005-06-03,47,50.59
2005-06-10,45,51.28
2005-06-17,52,51.25
2005-06-24,49,50.69
2005-07-01,52,46.71
2005-07-08,54,46.2
2005-07-15,63,46.83
2005-07-22,56,46.66
2005-07-29,74,47.4
2005-08-05,54,46.71
2005-08-12,64,47.7
2005-08-19,65,47.83
2005-08-26,78,46.9
2005-09-02,58,46.15
2005-09-09,53,46.61
2005-09-16,70,46.37
2005-09-23,69,46.01
2005-09-30,69,48.2
2005-10-07,59,48.03
2005-10-14,58,48.98
2005-10-21,76,48.29
2005-10-28,63,48.75
2005-11-04,55,47.64
2005-11-11,71,48.08
2005-11-18,53,47.74
2005-11-25,49,48.1
2005-12-02,63,48.28
2005-12-09,51,48.15
2005-12-16,50,49.75
2005-12-23,42,49.66
2005-12-30,31,49.32
2006-01-06,61,49.73
2006-01-13,64,49.96
2006-01-20,60,49.23
2006-01-27,58,48.76
2006-02-03,58,47.56
2006-02-10,60,47.51
2006-02-17,64,48.94
2006-02-24,58,49.65
2006-03-03,58,48.83
2006-03-10,58,48.85
2006-03-17,54,49.33
2006-03-24,65,50.65
2006-03-31,49,50.68
2006-04-07,53,50.08
2006-04-21,49,48.95
2006-04-28,47,49.34
2006-05-05,58,49.69
2006-05-12,49,48.97
