"Date","Apartment.Investment...Mgmt","Price"
2004-10-08,75,35.32
2004-10-15,77,35.59
2004-10-22,79,35.89
2004-10-29,81,36.69
2004-11-05,84,37.06
2004-11-12,56,38.22
2004-11-19,56,36.28
2004-11-26,56,36.9
2004-12-03,56,37.31
2005-01-14,53,35.85
2005-03-18,54,37.14
2005-06-10,46,39.5
2006-01-20,33,40.4
2006-01-27,35,42.58
2006-02-03,36,42.37
2006-04-21,36,46.05
2006-04-28,36,44.69
2006-05-05,36,45.5
2006-05-12,36,44.35
2006-05-19,36,42.61
2006-05-26,36,43.9
2006-06-02,37,44.46
2006-07-28,31,48.5
2006-08-04,28,51.46
2006-08-11,28,49.12
2006-08-18,28,50.14
2006-08-25,28,50.98
2006-10-06,42,56.38
2006-10-13,26,57.52
2006-10-20,28,57.9
2006-10-27,30,57.08
2006-11-03,32,53.58
2006-11-10,34,54.25
2006-11-17,36,53.94
2006-11-24,23,57.17
2006-12-01,23,56.91
2006-12-08,26,56.8
2006-12-15,26,56.45
2006-12-22,26,54.62
2006-12-29,26,56.02
2007-01-05,26,54.66
2007-01-12,29,58.47
2007-01-19,32,60.73
2007-01-26,26,61.63
2007-02-02,23,62.63
2007-02-09,23,64.35
2007-02-16,23,61.6
2007-02-23,28,60.53
2007-03-02,22,57.11
2007-03-09,24,57.41
2007-03-16,27,55.04
2007-03-23,24,59.4
2007-03-30,24,57.69
2007-04-13,22,57.51
2007-04-20,22,57.13
2007-04-27,22,56.53
2007-05-04,20,55.4
2007-05-11,20,55.89
2007-05-18,20,51.96
2007-05-25,20,52.04
2007-06-01,20,54.96
2007-06-08,28,52.67
2007-06-15,19,51.5
2007-06-22,19,49.4
2007-06-29,19,50.42
2007-07-06,19,51.43
2007-07-13,28,50.8
2007-07-20,19,48.3
2007-07-27,22,42.64
2007-08-03,20,40.06
2007-08-10,20,41.37
2007-08-17,20,44.13
2007-08-24,17,45
2007-08-31,16,44.7
2007-09-07,16,42.96
2007-09-14,16,42.58
2007-09-21,16,45.25
2007-09-28,16,45.13
2007-10-05,18,49.13
2007-10-12,20,47.29
2007-10-19,22,43.7
2007-10-26,17,44.65
2007-11-02,19,41.31
2007-11-09,20,37.86
2007-11-16,20,37.69
2007-11-23,21,38.53
2007-11-30,22,39.77
2007-12-07,26,39.92
2007-12-14,17,35.33
2007-12-21,17,36.12
2007-12-28,17,34.62
2008-01-04,17,32.41
2008-01-11,15,33.28
2008-01-18,15,33.44
2008-01-25,15,38.8
2008-02-01,18,40.69
2008-02-08,23,36
2008-02-15,22,36.63
2008-02-22,21,35.99
2008-02-29,21,34.45
2008-03-07,13,33.32
2008-03-14,13,35.24
2008-03-28,13,35.23
2008-04-04,13,38.67
2008-04-11,14,37.14
2008-04-18,18,36.91
2008-04-25,23,37.47
2008-05-02,27,39.25
2008-05-09,31,37.97
2008-05-16,16,40.44
2008-05-23,15,37.96
2008-05-30,25,39.57
2008-06-06,13,38.17
2008-06-13,13,37.2
2008-06-20,16,35.54
2008-06-27,17,33.9
2008-07-11,19,33.35
2008-07-18,20,36.28
2008-07-25,20,33.92
2008-08-01,17,35.61
2008-08-08,19,39.05
2008-08-15,21,37.98
2008-08-22,17,36.19
2008-08-29,17,35.44
2008-09-05,12,35.45
2008-09-12,17,35.71
2008-09-19,13,36.27
2008-09-26,13,35.18
2008-10-03,17,30.96
2008-10-10,12,21.51
2008-10-17,14,19.9
2008-10-24,12,12.22
2008-10-31,16,14.63
2008-11-07,17,14.24
2008-11-14,17,12.09
2008-11-21,18,9
2008-11-28,13,11.47
2008-12-05,13,11.59
2008-12-12,12,11.52
2008-12-19,20,13.36
2008-12-26,13,11.44
2009-01-02,13,11.64
2009-01-09,13,12.08
2009-01-16,13,10.54
2009-01-23,14,9.84
2009-01-30,15,8.89
2009-02-06,13,7.25
2009-02-13,13,5.87
2009-02-20,13,5.58
2009-02-27,14,5.22
2009-03-06,12,4.94
2009-03-13,12,5.85
2009-03-20,15,5.11
2009-03-27,16,5.45
2009-04-03,14,6.41
2009-04-17,16,6.89
2009-04-24,16,7.35
2009-05-01,16,7.27
2009-05-08,12,9.45
2009-05-15,12,7.77
2009-05-22,10,8.91
2009-05-29,15,9.45
2009-06-05,12,10.71
2009-06-12,12,10.92
2009-06-19,12,9.09
2009-06-26,13,9.16
2009-07-10,18,7.49
2009-07-17,14,8.01
2009-07-24,10,8.95
2009-07-31,12,9.38
2009-08-07,14,12.09
2009-08-14,14,11.29
2009-08-21,14,11.95
2009-08-28,11,12.56
2009-09-04,10,11.63
2009-09-11,10,13.07
2009-09-18,12,14.99
2009-09-25,13,13.8
2009-10-02,12,14.09
2009-10-09,9,15.39
2009-10-16,9,15.07
2009-10-23,8,14.41
2009-10-30,12,12.35
2009-11-06,12,12.55
2009-11-13,8,13.48
2009-11-20,13,13.38
2009-11-27,13,12.85
2009-12-04,11,14.78
2009-12-11,11,14.85
2009-12-18,9,15.42
2010-01-08,10,16.86
2010-01-15,9,16.43
2010-01-22,12,15.33
2010-01-29,10,15.36
2010-02-05,9,15.69
2010-02-12,11,15.87
2010-02-19,12,16.65
2010-02-26,7,16.69
2010-03-05,12,17.6
2010-03-12,13,17.75
2010-03-19,14,17.95
2010-03-26,15,18.66
2010-04-09,9,19.92
2010-04-16,10,19.19
2010-04-23,12,22.11
2010-04-30,9,22.41
2010-05-07,9,21.23
2010-05-14,10,21.38
2010-05-21,10,19.99
2010-05-28,10,20.63
2010-06-04,14,19.77
2010-06-11,13,22.02
2010-06-18,9,22.25
2010-06-25,10,21.19
2010-07-02,10,18.74
2010-07-09,7,20.29
2010-07-16,18,20.11
2010-07-23,14,21.24
2010-07-30,12,21.47
2010-08-06,11,21.31
2010-08-13,17,20.26
2010-08-20,12,19.71
2010-08-27,12,20.09
2010-09-03,10,22.1
2010-09-10,7,22.12
2010-09-17,12,22.18
2010-09-24,13,21.96
2010-10-01,11,21.53
2010-10-08,9,22.57
2010-10-15,7,22.62
2010-10-22,13,23.57
2010-10-29,11,23.31
2010-11-05,11,25.44
2010-11-12,8,24.63
2010-11-19,11,23.91
2010-11-26,17,24.28
2010-12-03,10,25.18
2010-12-10,11,25.06
2010-12-17,6,24.52
2010-12-31,12,25.84
2011-01-07,11,25.26
2011-01-14,12,24.85
2011-01-21,13,24.71
2011-01-28,10,24.91
2011-02-04,14,24.35
2011-02-11,12,24.32
2011-02-18,6,24.59
2011-02-25,12,24.74
2011-03-04,8,24.4
2011-03-11,10,24.52
2011-03-18,7,24.58
2011-03-25,10,24.6
2011-04-01,8,25.41
2011-04-08,6,25.03
2011-04-15,7,25.11
2011-04-29,7,26.96
2011-05-06,7,25.86
2011-05-13,8,26.11
2011-05-20,11,26.13
2011-05-27,11,26.29
2011-06-03,12,25.61
2011-06-10,9,25.2
2011-06-17,9,25.38
2011-06-24,11,25.02
2011-07-01,10,26.06
2011-07-08,11,27.17
2011-07-15,6,26.83
2011-07-22,8,27.97
2011-07-29,12,27.3
2011-08-05,16,24.19
2011-08-12,12,24.65
2011-08-19,9,24.11
2011-08-26,11,25.02
2011-09-02,10,25.72
2011-09-09,13,26.06
2011-09-16,13,26.57
2011-09-23,6,23.52
2011-09-30,8,22.12
2011-10-07,7,21.6
2011-10-14,7,23.35
2011-10-21,7,24.67
2011-10-28,10,25.03
2011-11-04,5,22.79
2011-11-11,6,23.52
2011-11-18,7,21.52
2011-11-25,6,20.56
2011-12-02,7,21.89
2011-12-09,7,21.91
2011-12-16,8,21.8
2011-12-23,11,22.95
2011-12-30,9,22.91
2012-01-06,7,22.95
2012-01-13,12,22.6
2012-01-20,8,23.81
2012-01-27,9,24.64
2012-02-03,8,25.02
2012-02-10,10,25.07
2012-02-17,9,25.33
2012-02-24,12,25.48
2012-03-02,11,24.59
2012-03-09,10,24.83
2012-03-16,7,25.97
2012-03-23,9,25.59
