"Date","NVDA","Price"
2004-08-06,35,9.43
2004-08-13,29,10.5
2004-08-20,29,12.35
2004-08-27,29,12.94
2004-09-03,31,12.82
2004-09-10,33,14.07
2004-09-17,34,14.69
2004-09-24,36,14.05
2004-12-10,45,23.31
2005-02-25,22,28.84
2005-04-22,20,22.24
2005-04-29,22,21.93
2005-05-06,25,23.17
2005-05-13,31,25.33
2005-05-20,21,26.3
2005-05-27,30,27.52
2005-06-03,24,28.3
2005-06-10,23,27.98
2005-06-17,47,26.91
2005-06-24,24,27.09
2005-07-01,42,26.84
2005-07-08,22,28.14
2005-07-15,24,26.89
2005-07-22,24,25.83
2005-07-29,24,27.06
2005-08-05,30,28.25
2005-08-12,43,29.95
2005-08-19,43,29.2
2005-08-26,20,28.92
2005-09-02,20,30.19
2005-09-09,23,32.19
2005-09-16,27,33.25
2005-09-23,30,32.71
2005-09-30,33,34.28
2005-10-07,47,33.06
2005-10-14,23,32.03
2005-10-21,23,31.94
2005-10-28,19,32.42
2005-11-04,34,34.06
2005-11-11,35,34.04
2005-11-18,34,36.19
2005-11-25,23,38.07
2005-12-02,35,36.59
2005-12-09,23,36.34
2005-12-16,33,36.85
2005-12-23,30,37.54
2005-12-30,37,36.56
2006-01-06,32,40.84
2006-01-13,50,42.51
2006-01-20,42,43.81
2006-01-27,37,46.25
2006-02-03,36,44.02
2006-02-10,34,43.9
2006-02-17,52,47.47
2006-02-24,37,45.66
2006-03-03,50,49.16
2006-03-10,45,47.39
2006-03-17,43,48.77
2006-03-24,45,51.95
2006-03-31,62,57.26
2006-04-07,53,30.53
2006-04-21,46,28.07
2006-04-28,37,29.22
2006-05-05,58,31.28
2006-05-12,55,26.33
2006-05-19,41,24.33
2006-05-26,28,23.97
2006-06-02,48,23.83
2006-06-09,37,21.35
2006-06-16,32,21.66
2006-06-23,39,20.31
2006-06-30,31,21.29
2006-07-07,33,19.37
2006-07-14,32,17.67
2006-07-21,59,17.77
2006-07-28,71,22.67
2006-08-04,43,23.99
2006-08-11,55,23.4
2006-08-18,58,27.36
2006-08-25,50,26.48
2006-09-01,49,27.89
2006-09-08,38,27.7
2006-09-15,57,29.56
2006-09-22,46,29.81
2006-09-29,41,29.59
2006-10-06,63,30.93
2006-10-13,73,33.77
2006-10-20,43,31.79
2006-10-27,47,32.38
2006-11-03,57,32.6
2006-11-10,78,34.44
2006-11-17,70,36.32
2006-11-24,36,36.98
2006-12-01,39,35.54
2006-12-08,49,35.55
2006-12-15,44,37.5
2006-12-22,29,37.03
2006-12-29,33,37.01
2007-01-05,46,33.66
2007-01-12,48,35.23
2007-01-19,45,31.88
2007-01-26,40,31.47
2007-02-02,46,31.85
2007-02-09,49,32.65
2007-02-16,57,32.72
2007-02-23,39,32.65
2007-03-02,35,29.77
2007-03-09,37,30.51
2007-03-16,40,28.35
2007-03-23,41,30.29
2007-03-30,38,28.78
2007-04-13,34,30.58
2007-04-20,29,31.89
2007-04-27,37,33.07
2007-05-04,41,33.71
2007-05-11,39,35.14
2007-05-18,46,35.02
2007-05-25,42,33.66
2007-06-01,42,34.88
2007-06-08,48,36.55
2007-06-15,39,39.55
2007-06-22,51,43.62
2007-06-29,51,41.31
2007-07-06,36,43.77
2007-07-13,44,45.87
2007-07-20,40,45.1
2007-07-27,39,44.25
2007-08-03,30,42.54
2007-08-10,59,43.99
2007-08-17,54,45.08
