"Date","Windstream.Communications","Price"
2006-07-21,84,11.65
2006-07-28,100,12.25
2006-08-04,82,13.04
2006-08-11,81,12.56
2006-08-18,81,12.93
2006-12-15,64,14.35
2007-02-02,64,14.75
2007-02-09,63,14.8
2007-02-16,63,15
2007-02-23,60,15.44
2007-03-02,60,14.38
2007-05-11,59,14.72
2007-05-18,62,14.76
2007-05-25,65,14.92
2007-06-01,65,15.15
2007-06-08,55,14.9
2007-06-15,49,14.9
2007-06-22,54,15.05
2007-06-29,59,14.76
2007-07-06,51,14.85
2007-07-13,58,14.71
2007-07-20,66,14.73
2007-07-27,75,13.7
2007-08-03,55,13.53
2007-08-10,60,13.81
2007-08-17,63,13.36
2007-08-24,67,13.98
2007-08-31,52,14.28
2007-09-07,60,14.11
2007-09-14,45,13.91
2007-09-21,53,14.45
2007-09-28,52,14.12
2007-10-05,52,14.08
2007-10-12,42,14.36
2007-10-19,42,13.97
2007-10-26,70,13.74
2007-11-02,51,13.17
2007-11-09,53,13.59
2007-11-16,44,13.28
2007-11-23,44,13.03
2007-11-30,44,12.95
2007-12-07,51,13.35
2007-12-14,52,13.27
2007-12-21,55,12.99
2007-12-28,63,12.83
2008-01-04,70,11.97
2008-01-11,45,11.59
2008-01-18,45,11.09
2008-01-25,53,11.03
2008-02-01,42,11.73
2008-02-08,42,11.6
2008-02-15,38,12.1
2008-02-22,48,11.79
2008-02-29,51,11.76
2008-03-07,58,11.92
2008-03-14,36,11.68
2008-03-28,58,11.68
2008-04-04,40,12.06
2008-04-11,40,11.79
2008-04-18,40,11.95
2008-04-25,36,11.58
2008-05-02,48,12.34
2008-05-09,43,12.81
2008-05-16,43,13.22
2008-06-27,36,12.17
2008-07-11,36,12.11
2008-07-18,36,12.1
2008-07-25,36,11.87
2008-08-01,36,11.83
2008-08-08,38,12.6
2008-08-15,40,12.85
2008-08-22,42,12.03
2008-08-29,45,12.42
2008-10-31,44,7.51
2008-11-07,33,8.55
2008-11-14,33,8.43
2008-11-21,33,7.38
2008-11-28,33,8.86
2008-12-05,33,8.43
2008-12-12,33,8.65
2009-01-30,34,8.68
2009-02-06,27,8.99
2009-02-13,30,8.26
2009-02-20,33,7.71
2009-02-27,27,7.46
2009-03-06,27,6.57
2009-03-13,32,7.24
2009-03-20,30,8
2009-03-27,30,8.02
2009-04-03,30,8.52
2009-04-17,27,8.44
2009-04-24,27,8.3
2009-05-01,27,8.46
2009-05-08,27,9.05
2009-05-15,29,8.24
2009-05-22,52,8.13
2009-05-29,26,8.41
2009-06-05,26,8.43
2009-06-12,26,8.54
2009-06-19,31,8.21
2009-06-26,34,8.25
2009-07-10,34,7.92
2009-07-17,26,8.16
2009-07-24,29,8.37
2009-07-31,45,8.77
2009-08-07,29,8.81
2009-08-14,29,8.55
2009-08-21,31,8.6
2009-08-28,25,8.55
2009-09-04,27,8.57
2009-09-11,28,9.03
2009-09-18,30,9.72
2009-09-25,31,9.87
2009-10-02,36,9.78
2009-10-09,40,10.07
2009-10-16,23,10.17
2009-10-23,23,9.96
2009-10-30,24,9.64
2009-11-06,25,10.28
2009-11-13,27,9.93
2009-11-20,22,10.05
2009-11-27,32,10.12
2009-12-04,24,10.62
2009-12-11,27,11
2009-12-18,29,10.83
2010-01-08,26,10.88
2010-01-15,36,10.65
2010-01-22,21,10.55
2010-01-29,31,10.31
2010-02-05,29,10
2010-02-12,23,10.18
2010-02-19,25,10.33
2010-02-26,32,10.13
2010-03-05,33,10.37
2010-03-12,34,10.96
2010-03-19,32,10.98
2010-03-26,30,11.24
2010-04-09,30,10.96
2010-04-16,38,10.98
2010-04-23,30,11.12
2010-04-30,29,11.04
2010-05-07,31,10.22
2010-05-14,27,10.73
2010-05-21,31,10.55
2010-05-28,32,10.67
2010-06-04,28,10.79
2010-06-11,21,11.07
2010-06-18,42,11.33
2010-06-25,40,11.12
2010-07-02,27,10.6
2010-07-09,34,11.13
2010-07-16,52,11.17
2010-07-23,36,11.48
2010-07-30,43,11.4
2010-08-06,36,11.55
2010-08-13,38,11.33
2010-08-20,84,11.19
2010-08-27,32,11.38
2010-09-03,26,11.95
2010-09-10,32,12.33
2010-09-17,20,12.41
2010-09-24,51,13.03
2010-10-01,30,12.32
2010-10-08,25,12.14
2010-10-15,25,12.36
2010-10-22,38,12.45
2010-10-29,33,12.66
2010-11-05,36,13.23
2010-11-12,31,13
2010-11-19,27,13.25
2010-11-26,20,13.14
2010-12-03,38,13.66
2010-12-10,34,14
2010-12-17,19,13.99
2010-12-31,21,13.94
2011-01-07,37,13.51
2011-01-14,19,13.09
2011-01-21,28,12.74
2011-01-28,21,12.69
2011-02-04,39,13.03
2011-02-11,25,13.19
2011-02-18,35,12.57
2011-02-25,41,12.46
2011-03-04,36,12.4
2011-03-11,26,12.85
2011-03-18,27,12.93
2011-03-25,30,12.89
2011-04-01,20,12.74
2011-04-08,25,12.6
2011-04-15,37,12.68
2011-04-29,37,12.81
2011-05-06,40,12.86
2011-05-13,23,13.3
2011-05-20,29,13.47
2011-05-27,24,13.41
2011-06-03,37,13.13
2011-06-10,36,12.81
2011-06-17,18,13.08
2011-06-24,40,13.04
2011-07-01,24,13.12
2011-07-08,29,13.13
2011-07-15,22,12.6
2011-07-22,29,12.7
2011-07-29,27,12.21
2011-08-05,53,11.6
2011-08-12,43,11.87
2011-08-19,42,11.63
2011-08-26,20,12.06
2011-09-02,27,12.52
2011-09-09,25,12.55
2011-09-16,26,12.9
2011-09-23,32,12.3
2011-09-30,36,11.65
2011-10-07,20,11.24
2011-10-14,24,11.85
2011-10-21,25,12.02
2011-10-28,47,12.27
2011-11-04,27,11.85
2011-11-11,31,11.99
2011-11-18,26,11.64
2011-11-25,20,11.13
2011-12-02,22,11.76
2011-12-09,31,11.72
2011-12-16,39,11.58
2011-12-23,31,12.01
2011-12-30,31,11.74
2012-01-06,33,11.7
2012-01-13,27,12.08
2012-01-20,29,12.33
2012-01-27,44,12
2012-02-03,35,12.3
2012-02-10,23,12.37
2012-02-17,45,12.48
2012-02-24,18,12.16
2012-03-02,23,12.09
2012-03-09,25,12.17
2012-03-16,32,12.09
2012-03-23,24,11.91
2012-03-30,34,11.71
2012-04-13,32,11.2
2012-04-20,31,11.28
2012-04-27,34,11.26
2012-05-04,37,11.33
2012-05-11,28,9.94
2012-05-18,38,9.39
2012-05-25,32,9.49
2012-06-01,31,9.19
2012-06-08,40,9.36
2012-06-15,39,9.47
2012-06-22,20,9.68
2012-06-29,31,9.66
2012-07-06,31,9.76
2012-07-13,35,9.77
2012-07-20,38,9.85
2012-07-27,43,9.73
2012-08-03,29,10.04
2012-08-10,40,9.41
2012-08-17,32,9.55
2012-08-24,48,9.73
2012-08-31,36,9.87
2012-09-07,31,10.21
2012-09-14,28,10.78
2012-09-21,27,10.93
2012-09-28,19,10.09
2012-10-05,28,10.17
2012-10-12,34,9.97
2012-10-19,14,9.91
2012-10-26,25,9.66
2012-11-02,20,9.53
2012-11-09,24,8.5
2012-11-16,36,8.27
2012-11-23,15,8.32
2012-11-30,30,8.38
2012-12-07,26,8.36
2012-12-14,23,8.77
2012-12-21,25,8.73
2012-12-28,23,8.3
2013-01-04,22,9.32
2013-01-11,25,9.96
2013-01-18,31,9.63
2013-01-25,31,9.65
2013-02-01,36,9.8
2013-02-08,41,9.78
2013-02-15,49,8.93
2013-02-22,42,8.48
2013-03-01,40,8.73
2013-03-08,45,8.56
2013-03-15,36,8.82
2013-03-22,37,8.6
2013-04-05,39,8.33
2013-04-12,34,8.87
2013-04-19,34,8.64
2013-04-26,45,8.45
2013-05-03,98,8.36
2013-05-10,40,8.36
2013-05-17,53,8.69
2013-05-24,47,8.67
2013-05-31,29,8.03
2013-06-07,38,7.89
2013-06-14,34,8.31
2013-06-21,54,7.94
2013-06-28,48,7.71
2013-07-05,47,7.9
2013-07-12,44,8.15
2013-07-19,48,8.1
2013-07-26,36,8.17
2013-08-02,52,8.59
2013-08-09,60,8.2
2013-08-16,44,8.13
2013-08-23,51,8.22
2013-08-30,50,8.07
2013-09-06,37,8.26
2013-09-13,39,8.47
2013-09-20,49,8.48
2013-09-27,51,8.12
2013-10-04,42,8.02
2013-10-11,42,8.5
2013-10-18,36,8.6
2013-10-25,40,8.56
2013-11-01,45,8.54
2013-11-08,53,8.02
2013-11-15,45,8.25
2013-11-22,46,8.16
2013-11-29,26,8.07
2013-12-06,46,8.05
2013-12-13,41,7.96
2013-12-20,45,8.24
2013-12-27,28,8.13
2014-01-03,42,7.99
2014-01-10,54,8.05
2014-01-17,53,7.9
2014-01-24,51,7.56
2014-01-31,45,7.48
2014-02-07,42,7.36
2014-02-14,40,7.92
2014-02-21,46,7.86
2014-02-28,51,8.02
2014-03-07,47,8.16
2014-03-14,60,8.26
2014-03-21,37,8.4
2014-03-28,36,8.22
2014-04-04,43,8.63
2014-04-11,27,8.51
2014-04-25,43,8.85
