"Date","sell.DO","Price"
2004-02-06,18,22.48
2004-02-13,18,24.46
2004-02-20,12,24.44
2004-02-27,21,25.01
2004-03-05,20,26.38
2004-03-12,20,25.21
2004-03-19,15,25.6
2004-03-26,15,23.99
2004-04-02,16,23.48
2004-04-16,19,24.33
2004-04-23,20,23.3
2004-04-30,22,22.56
2004-05-07,14,22.09
2004-05-14,12,22.35
2004-05-21,16,21.9
2004-05-28,15,22.59
2004-06-04,17,21.96
2004-06-18,19,23.66
2004-06-25,14,23.62
2004-07-02,21,24.36
2004-07-09,11,24.06
2004-07-16,18,24.87
2004-07-23,12,23.69
2004-07-30,14,24.44
2004-08-06,19,22.98
2004-08-13,18,23.3
2004-08-20,15,24.21
2004-08-27,16,24.56
2004-09-03,18,27.2
2004-09-10,11,27.93
2004-09-17,15,30.6
2004-09-24,17,32.15
2004-10-01,18,33.84
2004-10-08,12,33.84
2004-10-15,17,32.91
2004-10-22,14,35.66
2004-10-29,17,33.8
2004-11-05,14,32.73
2004-11-12,15,33.86
2004-11-19,15,36.28
2004-11-26,20,37.95
2004-12-03,17,35.76
2004-12-10,21,35.65
2004-12-17,17,37.84
2004-12-31,15,40.05
2005-01-07,14,38.8
2005-01-14,18,41.42
2005-01-21,17,42.49
2005-01-28,19,42.95
2005-02-04,20,45.7
2005-02-11,16,46.92
2005-02-18,16,49.08
2005-02-25,20,49.55
2005-03-04,20,50.68
2005-03-11,17,49.16
2005-03-18,19,49.02
2005-04-01,21,51.74
2005-04-08,9,49.59
2005-04-15,17,45.2
2005-04-22,18,48.01
2005-04-29,16,44.11
2005-05-06,18,43.9
2005-05-13,14,40.52
2005-05-20,17,41.07
2005-05-27,13,46.99
2005-06-03,17,48.74
2005-06-10,23,51.36
2005-06-17,18,54.08
2005-06-24,16,55.06
2005-07-01,18,54.38
2005-07-08,18,54.02
2005-07-15,14,52.1
2005-07-22,17,58.12
2005-07-29,21,57.06
2005-08-05,18,58.04
2005-08-12,21,57.6
2005-08-19,19,55.9
2005-08-26,18,55.29
2005-09-02,17,57.86
2005-09-09,14,60.34
2005-09-16,15,59.1
2005-09-23,19,58.76
2005-09-30,16,61.25
2005-10-07,17,56.89
2005-10-14,21,55.01
2005-10-21,18,53.06
2005-10-28,18,57.16
2005-11-04,15,58.92
2005-11-11,15,55.52
2005-11-18,18,55.83
2005-11-25,14,63.09
2005-12-02,19,66.55
2005-12-09,19,69.9
2005-12-16,19,68.2
2005-12-23,13,71.31
2005-12-30,17,69.56
2006-01-06,17,74.86
2006-01-13,24,78.02
2006-01-20,23,81
2006-01-27,20,80.86
2006-02-03,19,82.08
2006-02-10,16,80.5
2006-02-17,17,78.22
2006-02-24,17,77.9
2006-03-03,19,82.77
2006-03-10,16,77.39
2006-03-17,19,83.06
2006-03-24,18,81.93
2006-03-31,17,89.5
2006-04-07,19,91.22
2006-04-21,19,95.38
2006-04-28,19,90.77
2006-05-05,19,94.9
2006-05-12,20,91.62
2006-05-19,15,83.55
2006-05-26,21,83.64
2006-06-02,16,87.28
2006-06-09,17,76.99
2006-06-16,18,78.5
2006-06-23,15,77.78
2006-06-30,16,83.93
2006-07-07,20,80.55
2006-07-14,18,77.3
2006-07-21,17,69.32
2006-07-28,19,77.07
2006-08-04,22,74.86
2006-08-11,17,71.79
2006-08-18,19,73.15
2006-08-25,20,73.23
2006-09-01,15,75.91
2006-09-08,21,74.7
2006-09-15,19,70.82
2006-09-22,20,68.94
2006-09-29,18,72.37
2006-10-06,12,66.02
2006-10-13,17,67.91
2006-10-20,16,67.23
2006-10-27,17,70.93
2006-11-03,17,71.01
2006-11-10,17,75.26
2006-11-17,18,74.67
2006-11-24,16,76.52
2006-12-01,15,80.59
2006-12-08,16,81.1
2006-12-15,16,84.05
2006-12-22,14,80.18
2006-12-29,13,79.94
2007-01-05,20,77.27
2007-01-12,21,76.82
2007-01-19,19,79.21
2007-01-26,22,81.04
2007-02-02,20,84.58
2007-02-09,20,85.28
2007-02-16,17,78.59
2007-02-23,18,79.84
2007-03-02,18,75.12
2007-03-09,22,76.66
2007-03-16,20,76.12
2007-03-23,16,81.4
2007-03-30,18,80.95
2007-04-13,17,83.5
2007-04-20,20,82.19
2007-04-27,20,87.94
2007-05-04,19,88.56
2007-05-11,19,87.39
2007-05-18,19,92.9
2007-05-25,19,93.38
2007-06-01,21,94.47
2007-06-08,19,91.62
2007-06-15,24,99.22
2007-06-22,23,107.13
2007-06-29,20,101.56
2007-07-06,23,105.71
2007-07-13,23,104.52
2007-07-20,26,108.4
2007-07-27,23,103.27
2007-08-03,22,96
2007-08-10,24,96.39
2007-08-17,24,93.38
2007-08-24,24,100.74
2007-08-31,25,105.16
2007-09-07,18,108.04
2007-09-14,21,108.38
2007-09-21,26,115.05
2007-09-28,25,113.29
2007-10-05,24,112.24
2007-10-12,20,117.2
2007-10-19,22,109.82
2007-10-26,23,112.47
2007-11-02,23,115.2
2007-11-09,21,113.05
2007-11-16,22,109.44
2007-11-23,23,114.58
2007-11-30,26,116.43
2007-12-07,22,125.3
2007-12-14,24,128.58
2007-12-21,24,139.82
2007-12-28,23,143.07
2008-01-04,27,135.29
2008-01-11,24,124.51
2008-01-18,26,117.54
2008-01-25,26,118.67
2008-02-01,26,115.94
2008-02-08,27,108.39
2008-02-15,28,110.47
2008-02-22,24,119.38
2008-02-29,27,120.83
2008-03-07,26,120.26
2008-03-14,26,124.45
2008-03-28,24,117.94
2008-04-04,28,121.51
2008-04-11,28,124.77
2008-04-18,31,138.75
2008-04-25,28,132.7
2008-05-02,31,127.99
2008-05-09,28,131.82
2008-05-16,29,140.42
2008-05-23,31,136.86
2008-05-30,27,136.44
2008-06-06,30,133.82
2008-06-13,33,132.44
2008-06-20,28,130.86
2008-06-27,33,137.88
2008-07-11,35,131.86
2008-07-18,36,123.62
2008-07-25,34,115.86
2008-08-01,36,120.28
2008-08-08,37,111.83
2008-08-15,33,108.06
2008-08-22,30,109.89
2008-08-29,33,109.91
2008-09-05,30,106.9
2008-09-12,32,107.7
2008-09-19,36,112.49
2008-09-26,33,111.94
2008-10-03,33,93.73
2008-10-10,31,66.73
2008-10-17,31,69.73
2008-10-24,33,72.58
2008-10-31,34,88.8
2008-11-07,31,83.03
2008-11-14,37,73.73
2008-11-21,36,65.1
2008-11-28,34,73.8
2008-12-05,33,60.43
2008-12-12,37,68.06
2008-12-19,35,58.58
2008-12-26,39,57.86
2009-01-02,44,63.12
2009-01-09,38,61.76
2009-01-16,38,57.97
2009-01-23,37,63.27
2009-01-30,36,62.76
2009-02-06,38,67.49
2009-02-13,41,63.41
2009-02-20,40,63.01
2009-02-27,42,62.64
2009-03-06,42,55.48
2009-03-13,41,59
2009-03-20,42,66.17
2009-03-27,36,65.62
2009-04-03,42,68.96
2009-04-17,42,73.44
2009-04-24,44,76.19
2009-05-01,44,74.81
2009-05-08,43,79.65
2009-05-15,46,72.48
2009-05-22,42,76.29
2009-05-29,44,84.28
2009-06-05,42,87.24
2009-06-12,49,91.71
2009-06-19,48,87.67
2009-06-26,45,84.58
2009-07-10,48,77.95
2009-07-17,49,85.05
2009-07-24,52,93.13
2009-07-31,53,89.87
2009-08-07,56,89.04
2009-08-14,53,87.63
