"Date","buy.BEAM","Price"
2008-04-25,52,68.48
2008-06-13,56,66.16
2008-08-22,51,58.45
2008-10-17,41,39.09
2008-10-24,39,35.12
2008-10-31,39,38.14
2008-11-07,39,37.33
2008-11-14,39,36.07
2008-11-21,39,32.83
2008-11-28,39,37.8
2008-12-05,39,39.32
2008-12-12,48,38.94
2008-12-19,43,40.23
2008-12-26,58,39.66
2009-01-02,38,42.81
2009-01-09,38,40.45
2009-01-16,37,40.12
2009-01-23,37,36.61
2009-01-30,37,32
2009-03-13,42,21.59
2009-03-20,38,22.87
2009-03-27,38,26.42
2009-04-03,43,30.06
2009-04-17,35,34.85
2009-04-24,35,37.41
2009-05-01,35,42.05
2009-05-08,52,41.49
2009-05-15,41,36.2
2009-05-22,34,34.73
2009-05-29,34,35.01
2009-06-05,34,36.53
2009-06-12,57,37.03
2009-06-19,53,34.9
2009-06-26,53,35.56
2009-07-10,45,32.25
2009-07-17,45,35.73
2009-07-24,55,39.37
2009-07-31,63,39.57
2009-08-07,70,39.88
2009-08-14,38,39.51
2009-08-21,35,40.49
2009-08-28,35,40.43
2009-09-04,35,38.98
2009-09-11,35,41.01
2009-09-18,35,45.78
2009-09-25,35,42.39
2009-10-02,46,40.52
2009-10-09,40,42.49
2009-10-16,43,43.18
2009-10-23,45,43.25
2009-10-30,48,38.95
2009-11-06,35,39.28
2009-11-13,32,40.69
2009-11-20,32,38.53
2009-11-27,42,38.42
2009-12-04,32,40.33
2009-12-11,32,40.38
2009-12-18,33,39.61
2010-01-08,29,44.66
2010-01-15,30,44.23
2010-01-22,33,43.08
2010-01-29,38,41.57
2010-02-05,35,40.73
2010-02-12,35,41.03
2010-02-19,52,43.63
2010-02-26,37,43.83
2010-03-05,29,46.42
2010-03-12,40,47.34
2010-03-19,51,48.89
2010-03-26,40,49.06
2010-04-09,34,50.67
2010-04-16,61,52
2010-04-23,26,53.86
2010-04-30,41,52.42
2010-05-07,49,47.04
2010-05-14,41,48.5
2010-05-21,30,45.78
2010-05-28,30,47.45
2010-06-04,39,45.68
2010-06-11,27,47.11
2010-06-18,55,45.15
2010-06-25,41,42.29
2010-07-02,41,38.71
2010-07-09,37,40.7
2010-07-16,34,40.48
2010-07-23,44,43.76
2010-07-30,49,43.88
2010-08-06,52,45.56
2010-08-13,62,44.33
2010-08-20,62,42.58
2010-08-27,65,44.72
2010-09-03,39,47.95
2010-09-10,42,47.94
2010-09-17,59,49.24
2010-09-24,38,50.39
2010-10-01,32,49.58
2010-10-08,49,55.85
2010-10-15,37,56.13
2010-10-22,50,56.05
2010-10-29,34,54.05
2010-11-05,63,54.39
2010-11-12,38,58.6
2010-11-19,56,60.16
2010-11-26,49,58.79
2010-12-03,50,61.5
2010-12-10,51,63.01
2010-12-17,53,61.47
2010-12-31,63,60.25
2011-01-07,46,61.47
2011-01-14,44,61.55
2011-01-21,45,60.93
2011-01-28,35,61.03
2011-02-04,31,62.09
2011-02-11,51,60.87
2011-02-18,34,62.67
2011-02-25,37,61.57
2011-03-04,32,60.85
2011-03-11,42,61.18
2011-03-18,60,60.12
2011-03-25,49,60.65
2011-04-01,26,62.86
2011-04-08,67,63.2
2011-04-15,28,63.31
2011-04-29,43,65.08
2011-05-06,40,63.82
2011-05-13,72,64.11
2011-05-20,44,63.88
2011-05-27,38,63.92
2011-06-03,35,63.27
2011-06-10,35,63.11
2011-06-17,40,63.47
2011-06-24,50,62.51
2011-07-01,34,64.76
2011-07-08,30,64.64
2011-07-15,45,62.92
2011-07-22,46,63.18
2011-07-29,46,60.21
2011-08-05,38,54.72
2011-08-12,31,56.18
2011-08-19,29,51.47
2011-08-26,45,54.77
2011-09-02,28,54.84
2011-09-09,49,55.04
2011-09-16,25,57.58
2011-09-23,56,55.52
2011-09-30,31,54.08
2011-10-07,41,46.05
2011-10-14,50,47.18
2011-10-21,30,49.17
2011-10-28,55,49.37
2011-11-04,29,49.42
2011-11-11,37,50.63
2011-11-18,33,49.72
2011-11-25,36,48.53
2011-12-02,53,51.98
2011-12-09,41,52.15
2011-12-16,62,49.15
2011-12-23,62,50.6
2011-12-30,38,51.23
2012-01-06,36,50.58
2012-01-13,58,51.4
2012-01-20,24,52.71
2012-01-27,46,52.77
2012-02-03,44,54.32
2012-02-10,50,53.66
2012-02-17,51,56.02
2012-02-24,39,55.6
2012-03-02,69,54.5
2012-03-09,53,56.15
2012-03-16,51,56.82
2012-03-23,61,58.24
2012-03-30,66,58.57
2012-04-13,44,57.02
2012-04-20,43,57.02
2012-04-27,65,56.96
2012-05-04,40,58.83
2012-05-11,38,58.81
2012-05-18,54,56.03
2012-05-25,42,57.99
2012-06-01,42,59.35
2012-06-08,45,61.25
2012-06-15,46,62.35
2012-06-22,37,61.7
2012-06-29,43,62.49
2012-07-06,47,61
2012-07-13,62,61.94
2012-07-20,48,61.87
2012-07-27,58,63.04
2012-08-03,65,61.94
2012-08-10,71,60.37
2012-08-17,58,60.2
2012-08-24,55,58.2
2012-08-31,69,58.36
2012-09-07,47,60.78
2012-09-14,53,58.97
2012-09-21,54,57.76
2012-09-28,59,57.54
2012-10-05,64,59.27
2012-10-12,52,56.8
2012-10-19,54,55.3
2012-10-26,55,55.69
2012-11-02,55,57.15
2012-11-09,53,54.5
2012-11-16,59,53.44
2012-11-23,60,55.51
2012-11-30,39,56.11
2012-12-07,59,59.73
2012-12-14,65,61.06
2012-12-21,57,61.28
2012-12-28,63,60.05
2013-01-04,62,61.09
2013-01-11,46,59.7
2013-01-18,36,61.73
2013-01-25,45,61.98
2013-02-01,54,60.95
2013-02-08,47,61.52
2013-02-15,56,61.5
2013-02-22,42,62.03
2013-03-01,35,61.03
2013-03-08,44,60.51
2013-03-15,48,62.81
2013-03-22,37,62.8
2013-04-05,52,60.54
2013-04-12,45,62.13
2013-04-19,57,64.87
2013-04-26,41,64.49
2013-05-03,45,66.86
2013-05-10,49,67.51
2013-05-17,40,68.94
2013-05-24,62,67.26
2013-05-31,40,64.84
2013-06-07,38,65.18
2013-06-14,39,65.35
2013-06-21,49,62.88
2013-06-28,42,63.11
2013-07-05,44,63.46
2013-07-12,47,65.27
2013-07-19,48,65.39
2013-07-26,45,64.77
2013-08-02,54,65.77
2013-08-09,54,65.68
2013-08-16,52,62.2
2013-08-23,55,62.12
2013-08-30,64,62.65
2013-09-06,48,63.75
2013-09-13,55,65.3
2013-09-20,48,65.74
2013-09-27,56,64.37
2013-10-04,60,67.17
2013-10-11,58,68.26
2013-10-18,47,69.83
2013-10-25,53,68.65
2013-11-01,50,67.01
2013-11-08,60,68.12
2013-11-15,52,68.02
2013-11-22,68,67.85
2013-11-29,59,67.53
2013-12-06,64,66.71
2013-12-13,47,65.77
2013-12-20,51,67.34
2013-12-27,54,67.29
2014-01-03,57,66.65
2014-01-10,42,66.97
2014-01-17,100,83.34
2014-01-24,55,83.45
2014-01-31,54,83.3
2014-02-07,62,83.4
2014-02-14,51,83.28
2014-02-21,44,83.23
2014-02-28,41,82.96
2014-03-07,49,83.25
2014-03-14,42,83.19
2014-03-21,43,83.18
2014-03-28,46,83.28
2014-04-04,45,83.28
2014-04-11,55,83.27
2014-04-25,47,83.45
