"Date","M","Price"
2004-02-06,59,50.08
2004-02-13,58,49.35
2004-02-20,58,50.25
2004-02-27,57,52.37
2004-03-05,59,53.55
2004-03-12,62,51.94
2004-03-19,60,49.75
2004-03-26,57,50.5
2004-04-02,58,53.95
2004-04-16,58,53.3
2004-04-23,57,51.17
2004-04-30,57,49
2004-05-07,57,46.6
2004-05-14,57,46.34
2004-05-21,57,47.05
2004-05-28,57,47.71
2004-06-04,58,48.75
2004-06-18,58,50.19
2004-06-25,58,49.18
2004-07-02,56,47.58
2004-07-09,59,46.73
2004-07-16,59,44.75
2004-07-23,60,46.5
2004-07-30,60,47.92
2004-08-06,59,44.85
2004-08-13,57,44.58
2004-08-20,58,44.6
2004-08-27,61,45
2004-09-03,58,45.28
2004-09-10,58,44.97
2004-09-17,61,46.1
2004-09-24,59,46.55
2004-10-01,60,45.83
2004-10-08,60,47.33
2004-10-15,61,44.81
2004-10-22,60,46.86
2004-10-29,59,50.45
2004-11-05,60,53.72
2004-11-12,64,54.73
2004-11-19,62,54.81
2004-11-26,63,57.33
2004-12-03,63,55.09
2004-12-10,62,55.78
2004-12-17,62,54.35
2004-12-31,63,57.79
2005-01-07,59,56.56
2005-01-14,62,58.37
2005-01-21,61,55.15
2005-01-28,63,55.22
2005-02-04,61,58.62
2005-02-11,63,57.5
2005-02-18,61,56.72
2005-02-25,64,56.79
2005-03-04,64,60.95
2005-03-11,65,62.15
2005-03-18,63,63.03
2005-04-01,65,62.81
2005-04-08,62,64.25
2005-04-15,63,61.54
2005-04-22,62,61.35
2005-04-29,64,57.5
2005-05-06,65,63.18
2005-05-13,62,63.25
2005-05-20,63,68.86
2005-05-27,62,67.72
2005-06-03,64,67.9
2005-06-10,65,70.97
2005-06-17,64,73.15
2005-06-24,65,72.15
2005-07-01,62,73.36
2005-07-08,62,75.46
2005-07-15,63,73.79
2005-07-22,62,75.75
2005-07-29,63,75.87
2005-08-05,63,73.38
2005-08-12,63,74.92
2005-08-19,63,72.35
2005-08-26,64,70.5
2005-09-02,64,66.22
2005-09-09,64,68.5
2005-09-16,66,66.36
2005-09-23,68,66.19
2005-09-30,66,66.87
2005-10-07,66,65
2005-10-14,67,64.05
2005-10-21,66,61.01
2005-10-28,64,59.51
2005-11-04,66,64.14
2005-11-11,67,68.82
2005-11-18,68,69.53
2005-11-25,69,67.07
2005-12-02,69,66.65
2005-12-09,68,68.1
2005-12-16,70,64.97
2005-12-23,67,66.25
2005-12-30,72,66.33
2006-01-06,65,69.96
2006-01-13,65,74.73
2006-01-20,66,70.1
