"Date","sell.UPS","Price"
2009-05-22,43,49.65
2009-05-29,44,51.14
2009-06-05,45,51.52
2009-06-12,46,50.53
2009-06-19,47,48.14
2009-06-26,49,49.86
2009-07-10,53,48.57
2009-08-28,42,53.71
2009-09-04,41,53.81
2009-09-11,41,58.8
2009-09-18,40,58.77
2009-09-25,40,56.81
2009-10-02,40,54.94
2009-10-09,44,55.97
2009-10-16,48,57.12
2009-10-23,52,55.7
2009-10-30,57,53.68
2009-11-06,41,54.86
2009-11-13,41,56.69
2009-11-20,41,57.51
2009-11-27,47,57.43
2009-12-04,54,57.87
2009-12-11,60,58.01
2009-12-18,45,57.98
2010-01-08,39,60.17
2010-01-15,39,61.93
2010-01-22,40,58.75
2010-01-29,41,57.77
2010-02-05,48,57.2
2010-02-12,38,56.15
2010-02-19,38,57.81
2010-02-26,38,58.74
2010-03-05,38,59.49
2010-03-12,37,62.32
2010-03-19,54,64.33
2010-03-26,43,63.67
2010-04-09,46,64.44
2010-04-16,47,68.21
2010-04-23,44,68.86
2010-04-30,41,69.14
2010-05-07,41,63.93
2010-05-14,53,65.75
2010-05-21,42,62.38
2010-05-28,42,62.76
2010-06-04,43,60.56
2010-06-11,49,61.2
2010-06-18,43,62.5
2010-06-25,35,60.35
2010-07-02,42,56.76
2010-07-09,51,60.06
2010-07-16,33,59.68
2010-07-23,34,63.67
2010-07-30,50,65
2010-08-06,46,66.7
2010-08-13,46,64.44
2010-08-20,40,65.1
2010-08-27,51,64.47
2010-09-03,62,67.64
2010-09-10,47,67.76
2010-09-17,33,66.68
2010-09-24,49,67.27
2010-10-01,41,66.44
2010-10-08,41,67.53
2010-10-15,41,69.31
2010-10-22,41,69.83
2010-10-29,37,67.34
2010-11-05,35,69.79
2010-11-12,46,68.12
2010-11-19,28,69.11
2010-11-26,31,69.1
2010-12-03,33,71.8
2010-12-10,39,72.89
2010-12-17,74,73.06
2010-12-31,57,72.58
2011-01-07,51,72.15
2011-01-14,75,72.48
2011-01-21,60,72.89
2011-01-28,34,70.73
2011-02-04,43,74.34
2011-02-11,52,75.32
2011-02-18,44,76.47
2011-02-25,51,73.46
2011-03-04,41,72.44
2011-03-11,28,74.09
2011-03-18,43,71.6
2011-03-25,30,72.04
2011-04-01,46,74.48
2011-04-08,36,73.25
2011-04-15,36,72.71
2011-04-29,53,74.97
2011-05-06,67,74.1
2011-05-13,49,74.14
2011-05-20,33,74.05
2011-05-27,36,72.96
2011-06-03,39,71.15
2011-06-10,45,68.5
2011-06-17,63,69.17
2011-06-24,33,71.12
2011-07-01,25,73.96
2011-07-08,41,74.57
2011-07-15,52,73.08
2011-07-22,46,74.16
2011-07-29,41,69.22
2011-08-05,46,65.69
2011-08-12,30,65.2
2011-08-19,40,61.7
2011-08-26,46,64.7
2011-09-02,60,65.61
2011-09-09,55,64.22
2011-09-16,49,66.59
2011-09-23,28,62
2011-09-30,39,63.15
2011-10-07,45,66.26
2011-10-14,66,68.96
