"Date","buy.FE","Price"
2006-12-22,100,60.68
2007-02-09,63,63.15
2007-02-16,68,63.07
2007-02-23,72,63.51
2007-03-02,77,61.65
2007-03-09,81,62.27
2007-03-16,78,63.11
2007-03-23,78,66.05
2007-03-30,78,66.24
2007-06-01,74,69.34
2007-06-08,56,65.53
2007-06-15,56,66.9
2007-06-22,57,63.57
2007-06-29,59,64.73
2007-07-06,60,65.58
2007-07-13,62,67.45
2007-07-20,57,66.64
2007-07-27,56,60.44
2007-09-07,52,61.6
2007-09-14,66,62.7
2007-09-21,80,64.71
2007-11-16,46,67.66
2007-11-23,62,67.87
2007-11-30,65,68.56
2007-12-07,50,73.93
2007-12-14,49,72.43
2007-12-21,62,74.76
2007-12-28,76,73.47
2008-01-04,51,74.32
2008-01-11,51,76.87
2008-01-18,51,71.73
2008-01-25,59,68.55
2008-02-01,65,72.39
2008-02-08,71,69.97
2008-02-15,76,71.38
2008-02-22,62,70.4
2008-02-29,44,67.59
2008-03-07,44,68.42
2008-03-14,44,67.73
2008-03-28,66,67.88
2008-04-04,40,72.21
2008-04-11,40,74.96
2008-04-18,48,75.77
2008-04-25,57,76.9
2008-05-02,54,79.02
2008-05-09,45,75.99
2008-05-16,48,76.82
2008-05-23,52,77.76
2008-05-30,56,78.71
2008-06-06,39,76.83
2008-06-13,56,79.79
2008-06-20,72,80.94
2008-06-27,45,80.01
2008-07-11,49,83.21
2008-07-18,45,76.69
2008-07-25,66,72.22
2008-08-01,61,71.49
2008-08-08,57,69.76
2008-08-15,42,71.51
2008-08-22,40,73.63
2008-08-29,50,72.64
2008-09-05,56,68.7
2008-09-12,40,69.42
2008-09-19,51,68.93
2008-09-26,43,68.64
2008-10-03,42,61.01
2008-10-10,42,45.45
2008-10-17,38,49.99
2008-10-24,62,49.18
2008-10-31,47,52.16
2008-11-07,47,54.74
2008-11-14,47,52.75
2008-11-21,53,56.82
2008-11-28,54,58.58
2008-12-05,50,54.59
2008-12-12,65,54.13
2008-12-19,85,49.98
2008-12-26,83,45.93
2009-01-02,53,49.66
2009-01-09,55,48.9
2009-01-16,41,50.03
2009-01-23,34,49.57
2009-01-30,51,49.99
2009-02-06,59,52.96
2009-02-13,46,51.36
2009-02-20,43,47.39
2009-02-27,56,42.56
2009-03-06,43,37.54
2009-03-13,66,35.79
2009-03-20,42,39.65
2009-03-27,38,40.3
2009-04-03,38,39.44
2009-04-17,34,40.16
2009-04-24,38,40.04
2009-05-01,42,42.38
2009-05-08,33,42.48
2009-05-15,56,36.47
2009-05-22,38,37
2009-05-29,32,37.79
2009-06-05,49,39.13
2009-06-12,37,40.48
2009-06-19,57,38.58
2009-06-26,66,39.39
2009-07-10,39,39.02
2009-07-17,51,40.65
2009-07-24,45,42.82
2009-07-31,51,41.2
2009-08-07,48,42.87
2009-08-14,48,44.18
2009-08-21,59,45.38
2009-08-28,57,45.73
2009-09-04,33,45.87
2009-09-11,63,45.91
2009-09-18,35,46.98
2009-09-25,46,45.67
2009-10-02,45,44.79
2009-10-09,67,45.81
2009-10-16,66,47.13
2009-10-23,44,45.93
2009-10-30,61,43.28
2009-11-06,51,42.39
2009-11-13,45,42.07
2009-11-20,50,41.95
2009-11-27,83,42.61
2009-12-04,72,44.6
2009-12-11,78,46.69
2009-12-18,61,46.87
2010-01-08,51,45.81
2010-01-15,43,46.69
2010-01-22,73,44.13
2010-01-29,62,43.62
2010-02-05,55,41.55
2010-02-12,49,39.19
2010-02-19,50,39.7
2010-02-26,54,38.65
2010-03-05,69,39.61
2010-03-12,52,39.45
2010-03-19,64,39.78
2010-03-26,46,38.79
2010-04-09,67,39.57
2010-04-16,39,37.85
2010-04-23,61,37.51
2010-04-30,58,37.87
2010-05-07,69,35.06
2010-05-14,54,36.74
2010-05-21,54,34.88
2010-05-28,54,35.21
2010-06-04,60,35.22
2010-06-11,56,36.88
2010-06-18,67,38.47
2010-06-25,62,36.01
2010-07-02,64,34.6
2010-07-09,63,37.01
2010-07-16,47,37.11
2010-07-23,76,37.84
2010-07-30,49,37.7
2010-08-06,61,37.52
2010-08-13,71,36.24
2010-08-20,74,35.84
2010-08-27,66,36.66
2010-09-03,67,37.78
2010-09-10,69,37.4
2010-09-17,57,36.31
2010-09-24,42,38.1
2010-10-01,63,38.89
2010-10-08,48,38.47
2010-10-15,42,38.93
2010-10-22,76,37.52
2010-10-29,85,36.32
2010-11-05,44,35.89
2010-11-12,50,35.37
2010-11-19,50,36.25
2010-11-26,76,35.23
2010-12-03,59,35.63
2010-12-10,64,35.65
2010-12-17,60,36.28
2010-12-31,73,37.02
2011-01-07,55,38.25
2011-01-14,63,38.6
2011-01-21,57,39.57
2011-01-28,55,38.77
2011-02-04,60,39.63
2011-02-11,49,39.74
2011-02-18,45,37.9
2011-02-25,63,37.75
2011-03-04,56,37.01
2011-03-11,65,38.45
2011-03-18,41,36.52
2011-03-25,76,36.54
2011-04-01,43,37.25
2011-04-08,70,37.13
2011-04-15,50,38.4
2011-04-29,66,39.96
2011-05-06,81,41.58
2011-05-13,51,42.53
2011-05-20,60,44.76
2011-05-27,57,44.35
2011-06-03,76,43.67
2011-06-10,45,43.21
2011-06-17,75,43.74
2011-06-24,55,43.05
2011-07-01,69,44.63
2011-07-08,48,44.64
2011-07-15,61,43.28
2011-07-22,58,44.36
2011-07-29,77,44.65
2011-08-05,70,41.36
2011-08-12,64,41.31
2011-08-19,62,41.75
2011-08-26,72,42.53
2011-09-02,80,43.02
2011-09-09,75,42.71
2011-09-16,50,45.43
2011-09-23,51,45.12
2011-09-30,67,44.91
2011-10-07,67,44.29
2011-10-14,61,44.3
2011-10-21,47,45.86
2011-10-28,45,45.41
2011-11-04,61,45.51
2011-11-11,60,45.45
2011-11-18,68,44.28
2011-11-25,93,41.94
2011-12-02,66,44.29
2011-12-09,58,44.77
2011-12-16,85,43.43
2011-12-23,72,44.38
2011-12-30,81,44.3
2012-01-06,57,42.21
2012-01-13,65,42.17
2012-01-20,60,41.53
2012-01-27,60,42.26
2012-02-03,53,43.53
2012-02-10,66,42.65
2012-02-17,63,43.38
2012-02-24,48,44.07
2012-03-02,47,44.48
2012-03-09,66,44.71
2012-03-16,52,44.5
2012-03-23,51,44.72
2012-03-30,50,45.59
2012-04-13,61,44.94
2012-04-20,56,45.75
2012-04-27,67,47.01
2012-05-04,50,46.97
2012-05-11,55,47.81
2012-05-18,57,47.8
2012-05-25,57,46.85
2012-06-01,57,46.51
2012-06-08,56,47.86
2012-06-15,51,48.49
2012-06-22,67,48.12
2012-06-29,68,49.19
2012-07-06,57,49.18
2012-07-13,57,49.34
2012-07-20,54,50.37
2012-07-27,64,50.45
2012-08-03,41,49.51
2012-08-10,60,45.85
2012-08-17,71,45.87
2012-08-24,77,44.74
2012-08-31,52,43.7
2012-09-07,57,43.12
2012-09-14,56,43.28
2012-09-21,59,44.19
2012-09-28,63,44.1
2012-10-05,54,44.82
2012-10-12,57,44.91
2012-10-19,49,45.98
2012-10-26,68,45.63
2012-11-02,55,44.46
2012-11-09,48,42.48
2012-11-16,66,41.37
2012-11-23,63,41.07
2012-11-30,51,42.46
2012-12-07,53,41.45
2012-12-14,67,40.76
2012-12-21,71,41.61
2012-12-28,80,41.18
2013-01-04,55,42.01
2013-01-11,70,39.89
2013-01-18,62,39.89
2013-01-25,58,40.27
2013-02-01,55,40.49
2013-02-08,76,40.22
2013-02-15,53,40.57
2013-02-22,62,40.54
2013-03-01,76,39.5
2013-03-08,59,40.9
2013-03-15,58,42.1
2013-03-22,54,40.85
2013-04-05,57,44.09
2013-04-12,64,45.72
2013-04-19,56,45.65
2013-04-26,62,46.48
2013-05-03,66,44.99
2013-05-10,53,42.91
2013-05-17,66,43.78
2013-05-24,69,42.62
2013-05-31,56,39.01
2013-06-07,53,38.94
2013-06-14,65,38.33
2013-06-21,50,36.51
2013-06-28,57,37.34
2013-07-05,52,35.85
2013-07-12,72,37.45
2013-07-19,57,38.92
2013-07-26,57,38.91
2013-08-02,77,38.13
2013-08-09,77,37.9
2013-08-16,55,36.81
2013-08-23,78,38.13
2013-08-30,71,37.47
2013-09-06,82,36.99
2013-09-13,53,37.11
2013-09-20,65,36.66
2013-09-27,65,36.59
2013-10-04,61,36.97
2013-10-11,50,37.91
2013-10-18,49,37.94
2013-10-25,68,37.88
2013-11-01,61,38.12
2013-11-08,57,38.84
2013-11-15,66,35.47
2013-11-22,58,33.35
2013-11-29,80,32.63
2013-12-06,60,32.44
2013-12-13,71,31.71
2013-12-20,74,32.61
2013-12-27,93,32.79
2014-01-03,81,32.01
2014-01-10,66,32.4
2014-01-17,57,32.61
2014-01-24,68,31.07
2014-01-31,61,31.49
2014-02-07,48,30.76
2014-02-14,62,31.75
2014-02-21,59,31.7
2014-02-28,74,30.78
2014-03-07,57,30.67
2014-03-14,51,31.4
2014-03-21,51,32.85
2014-03-28,52,34.08
2014-04-04,53,34.03
2014-04-11,62,33.15
2014-04-25,52,34.65
