"Date","sell.X","Price"
2006-08-04,59,59.15
2006-11-10,47,66.53
2006-11-17,38,70.57
2006-11-24,42,75.27
2006-12-01,45,73
2007-02-16,34,90.65
2007-02-23,33,93.09
2007-03-02,33,86.01
2007-03-09,33,91.24
2007-03-16,33,89.24
2007-03-23,39,96.31
2007-05-11,30,111.08
2007-05-18,39,109.62
2007-05-25,33,108.88
2007-06-01,33,116.8
2007-06-08,34,125.05
2007-06-15,35,116.12
2007-06-22,36,113.41
2007-06-29,36,108.75
2007-07-06,36,113.27
2007-07-13,36,116.1
2007-07-20,33,105.33
2007-07-27,30,97.73
2007-08-03,30,91.53
2007-08-10,30,86.66
2007-08-17,31,82.24
2007-08-24,31,93.39
2007-08-31,31,94.48
2007-09-07,30,93.9
2007-09-14,29,91.64
2007-09-21,29,105.07
2007-09-28,29,105.94
2007-10-05,29,105.29
2007-10-12,31,106.07
2007-10-19,33,104.99
2007-10-26,35,111.28
2007-11-02,29,101.2
2007-11-09,29,94.06
2007-11-16,29,89.58
2007-11-23,30,93.9
2007-11-30,31,97.7
2007-12-07,42,103.64
2007-12-14,38,108.73
2007-12-21,33,115.22
2007-12-28,31,119.77
2008-01-04,31,106.05
2008-01-11,31,106.58
2008-01-18,32,104.72
2008-01-25,31,108.99
2008-02-01,27,107.21
2008-02-08,23,98.99
2008-02-15,23,104.1
2008-02-22,33,108.5
2008-02-29,26,108.45
2008-03-07,29,109.27
2008-03-14,31,117.65
2008-03-28,39,125.69
2008-04-04,23,140.7
2008-04-11,23,142.4
2008-04-18,24,154.55
2008-04-25,32,152.48
2008-05-02,33,157.06
2008-05-09,28,171.12
2008-05-16,29,181.27
2008-05-23,31,172.23
2008-05-30,32,172.71
2008-06-06,27,180.27
2008-06-13,31,174.61
2008-06-20,34,182.79
2008-06-27,24,186.93
2008-07-11,43,163.56
2008-07-18,26,142.49
2008-07-25,22,141.07
2008-08-01,24,151.43
2008-08-08,32,137.7
2008-08-15,24,130.88
2008-08-22,32,133.76
2008-08-29,31,133.07
2008-09-05,40,113.61
2008-09-12,27,108.73
2008-09-19,35,103
2008-09-26,31,87.26
