"Date","PAYX","Price"
2006-03-10,87,39.59
2006-03-17,92,40.34
2006-03-24,96,40.12
2006-03-31,100,41.66
2006-09-29,61,36.85
2006-10-06,68,38.21
2007-01-12,57,40.67
2007-01-19,92,40.11
2007-03-09,49,39.48
2007-03-16,52,39.73
2007-03-23,55,40.73
2007-03-30,58,37.87
2007-04-13,59,36.75
2007-05-25,47,40.07
2007-06-01,52,40.6
2007-07-20,44,42.67
2007-07-27,52,41.61
2007-08-03,65,42.54
2007-08-10,78,45.27
2007-09-28,50,41
2007-10-05,38,42.02
2007-10-12,50,42.05
2007-11-30,46,39
2007-12-07,46,40.1
2007-12-14,41,38.36
2007-12-21,44,37.29
2007-12-28,46,36.59
2008-01-04,48,34.01
2008-01-11,45,33.78
2008-01-18,40,33.21
2008-01-25,36,33.14
2008-02-01,33,33.87
2008-02-08,40,32.15
2008-02-15,35,33.67
2008-02-22,35,33.03
2008-02-29,38,31.46
2008-03-07,38,30.5
2008-03-14,41,31.1
2008-03-28,48,33.45
2008-04-04,53,36.39
2008-04-11,50,35.55
2008-04-18,34,36.75
2008-04-25,32,36.5
2008-05-02,39,37.11
2008-05-09,35,35.95
2008-05-16,43,36.54
2008-05-23,46,34.11
2008-05-30,34,34.55
2008-06-06,34,33.17
2008-06-13,34,33.65
2008-06-20,41,32.39
2008-08-08,32,34.55
2008-08-15,32,35.02
2008-08-22,30,35.02
2008-08-29,30,34.08
2008-09-05,35,33.35
2008-09-12,40,34.01
2008-09-19,36,32.89
2008-09-26,36,33.35
2008-10-03,36,31.03
2008-10-10,57,28.34
2008-10-17,35,26.6
2008-10-24,37,24.47
2008-10-31,38,28.54
2008-11-07,39,26.89
2009-01-23,24,24.41
2009-01-30,28,24.29
2009-02-06,31,26.93
2009-02-13,29,25.03
2009-02-20,29,23.97
2009-02-27,29,22.06
2009-03-06,26,20.94
2009-03-13,27,22.75
2009-03-20,29,23.03
2009-03-27,28,25.35
2009-04-03,35,27.34
2009-04-17,31,27.41
2009-04-24,26,27.46
2009-05-01,26,26.93
2009-05-08,25,27.87
2009-05-15,41,26.72
2009-05-22,25,26.62
2009-05-29,29,27.34
2009-06-05,34,27.67
2009-06-12,24,27.57
2009-06-19,24,26.71
2009-06-26,42,25.47
2009-07-10,23,24.25
2009-07-17,23,25.36
2009-07-24,23,26.2
2009-07-31,28,26.5
2009-08-07,30,27.8
2009-08-14,32,28.02
2009-08-21,30,28.4
2009-08-28,24,28.42
2009-09-04,24,28.04
2009-09-11,26,28.57
2009-09-18,27,29.68
2009-09-25,34,28.78
2009-10-02,31,28.06
2009-10-09,41,28.7
2009-10-16,20,28.75
2009-10-23,20,28.52
2009-10-30,20,28.41
2009-11-06,22,30.37
2009-11-13,25,31.02
2009-11-20,19,31.05
2009-11-27,22,31.33
2009-12-04,23,32.35
2009-12-11,23,31.84
2009-12-18,24,30.92
2010-01-08,25,31.56
2010-01-15,35,30.67
2010-01-22,24,29.64
2010-01-29,39,28.99
2010-02-05,29,28.94
2010-02-12,25,29.53
2010-02-19,25,30.23
2010-02-26,24,29.94
2010-03-05,23,31.12
2010-03-12,23,32.13
2010-03-19,25,32.17
2010-03-26,23,31.21
2010-04-09,24,31.22
2010-04-16,32,30.82
2010-04-23,23,31.72
2010-04-30,20,30.57
2010-05-07,20,28.95
2010-05-14,23,29.46
2010-05-21,25,29.45
2010-05-28,18,28.54
2010-06-04,22,27.97
2010-06-11,25,28.36
2010-06-18,24,28.33
2010-06-25,26,26.51
2010-07-02,24,25.47
2010-07-09,21,26.28
2010-07-16,24,25.67
2010-07-23,19,26.64
2010-07-30,19,25.99
2010-08-06,23,25.56
2010-08-13,17,24.97
2010-08-20,26,25.38
2010-08-27,20,25.37
2010-09-03,24,26.27
2010-09-10,16,25.85
2010-09-17,17,25.95
2010-09-24,23,27.23
2010-10-01,28,27.26
2010-10-08,17,27.48
2010-10-15,23,27.61
2010-10-22,18,28
2010-10-29,23,27.74
2010-11-05,19,28.2
2010-11-12,25,27.75
2010-11-19,16,28.37
2010-11-26,22,28.66
2010-12-03,28,29.68
2010-12-10,33,30.35
2010-12-17,25,31.02
2010-12-31,26,30.91
2011-01-07,26,31.87
2011-01-14,29,32.31
2011-01-21,25,32.6
2011-01-28,16,31.69
2011-02-04,17,33.26
2011-02-11,26,33.33
2011-02-18,21,33.6
2011-02-25,13,33.07
2011-03-04,13,33.3
2011-03-11,16,33.21
2011-03-18,20,31.6
2011-03-25,25,31.02
2011-04-01,16,31.83
2011-04-08,17,31.96
2011-04-15,17,32.39
2011-04-29,22,32.71
2011-05-06,15,31.99
2011-05-13,17,32.42
2011-05-20,20,31.91
2011-05-27,23,31.94
2011-06-03,17,30.54
2011-06-10,17,29.71
2011-06-17,19,29.63
2011-06-24,21,29.99
2011-07-01,18,31.05
2011-07-08,18,31.33
2011-07-15,18,30.07
2011-07-22,18,29.89
2011-07-29,20,28.23
2011-08-05,15,27.09
2011-08-12,21,26.66
2011-08-19,25,25.35
2011-08-26,18,26.23
2011-09-02,12,26.07
2011-09-09,12,25.93
2011-09-16,16,27.08
2011-09-23,18,26.22
2011-09-30,31,26.37
2011-10-07,35,27.11
2011-10-14,15,28.5
2011-10-21,18,28.78
2011-10-28,19,29.36
2011-11-04,18,29.41
2011-11-11,21,29.4
2011-11-18,15,28.22
2011-11-25,15,27.33
2011-12-02,18,29.22
2011-12-09,20,30.06
2011-12-16,12,29.59
