"Date","buy.PH","Price"
2005-02-18,94,65.52
2005-11-04,100,63.9
2005-11-11,67,66.91
2005-11-18,67,67.63
2005-11-25,67,68.75
2005-12-02,67,69.88
2005-12-09,67,68.19
2006-01-27,68,76.01
2006-04-07,57,78.4
2006-04-21,58,84.52
2006-06-30,62,77.6
2006-07-07,57,76.98
2006-07-14,57,72.48
2006-07-21,57,69.75
2006-07-28,74,71.58
2006-08-04,51,74.5
2006-08-11,51,70.96
2006-08-18,51,74.74
2006-08-25,51,74.16
2006-09-01,51,75.44
2006-09-08,52,74.91
2006-09-15,54,76
2006-09-22,55,76.43
2006-09-29,57,77.73
2006-10-06,58,79.84
2006-12-08,56,83.86
2006-12-15,61,79
2006-12-22,66,76.98
2006-12-29,71,76.88
2007-01-05,77,76.38
2007-01-12,53,78.1
2007-01-19,40,81.85
2007-03-02,71,82.52
2007-03-09,54,84.07
2007-03-16,61,82.41
2007-03-23,42,86.85
2007-03-30,42,86.31
2007-04-13,42,87.84
2007-04-20,37,90.06
2007-04-27,37,92.45
2007-05-04,47,94.92
2007-05-11,57,95.65
2007-05-18,38,96.82
2007-05-25,39,98.52
2007-06-01,41,102.59
2007-06-08,38,97.26
2007-06-15,64,100.06
2007-06-22,69,99.21
2007-06-29,37,97.91
2007-07-06,45,99.67
2007-07-13,34,104.7
2007-07-20,59,102.95
2007-07-27,34,98.63
2007-08-03,41,99.5
2007-08-10,41,95.57
2007-08-17,41,95.25
2007-08-24,33,105.16
2007-08-31,52,107.47
2007-09-07,38,105.3
2007-09-14,31,107.19
2007-09-21,46,113.96
2007-09-28,51,111.83
2007-10-05,56,73.54
2007-10-12,42,77.06
2007-10-19,43,74.47
2007-10-26,28,78.53
2007-11-02,34,78.99
2007-11-09,39,82.91
2007-11-16,48,78.37
2007-11-23,60,76.48
2007-11-30,45,79.43
2007-12-07,45,81.55
2007-12-14,43,76.68
2007-12-21,32,75.55
2007-12-28,37,76.16
2008-01-04,41,70.22
2008-01-11,38,64.47
2008-01-18,39,61.76
2008-01-25,70,64.03
2008-02-01,54,68.89
2008-02-08,50,64.96
2008-02-15,49,65.87
2008-02-22,51,64.91
2008-02-29,52,64.63
2008-03-07,37,62.39
2008-03-14,44,62.88
2008-03-28,37,67.56
2008-04-04,27,73.71
2008-04-11,61,71.72
2008-04-18,51,76.32
2008-04-25,27,79.45
2008-05-02,41,81.98
2008-05-09,42,83.59
2008-05-16,48,85
2008-05-23,38,80.57
2008-05-30,46,84.67
2008-06-06,59,78.17
2008-06-13,59,78.67
2008-06-20,47,75.99
2008-06-27,45,70.94
2008-07-11,52,68.96
2008-07-18,45,66.88
2008-07-25,50,67.19
2008-08-01,64,60.56
2008-08-08,42,63.03
2008-08-15,38,65.24
2008-08-22,24,63.02
2008-08-29,45,64.07
2008-09-05,23,60.37
2008-09-12,49,61.25
2008-09-19,38,59.32
2008-09-26,37,53.24
2008-10-03,53,47.34
2008-10-10,47,40.18
2008-10-17,43,41.54
2008-10-24,46,36.92
2008-10-31,28,38.77
2008-11-07,30,36.95
2008-11-14,47,35.95
2008-11-21,41,34.44
2008-11-28,58,41.08
2008-12-05,48,38.17
2008-12-12,41,37.03
2008-12-19,37,37.72
2008-12-26,35,39.8
2009-01-02,34,45.16
2009-01-09,44,42.27
2009-01-16,39,39.77
2009-01-23,57,39.08
2009-01-30,52,38.21
2009-02-06,56,41.87
2009-02-13,33,40.69
2009-02-20,49,37.47
2009-02-27,45,33.37
2009-03-06,48,28.63
2009-03-13,68,30.77
2009-03-20,47,31.41
2009-03-27,56,35.38
2009-04-03,59,38.55
2009-04-17,36,40.07
2009-04-24,44,43.9
2009-05-01,61,46.18
2009-05-08,62,47.16
2009-05-15,56,43.66
2009-05-22,53,42.53
2009-05-29,59,42.26
2009-06-05,44,47.79
2009-06-12,53,46.19
2009-06-19,42,42.5
2009-06-26,56,42.74
2009-07-10,40,40.68
2009-07-17,56,44.47
2009-07-24,40,47.93
2009-07-31,44,44.28
2009-08-07,51,48.75
2009-08-14,33,48.87
2009-08-21,68,49.49
2009-08-28,56,49.36
2009-09-04,40,48.32
2009-09-11,59,50.2
2009-09-18,64,55.18
2009-09-25,48,52.2
2009-10-02,60,49.5
2009-10-09,45,52.87
2009-10-16,41,53.27
2009-10-23,31,56.86
2009-10-30,37,52.96
2009-11-06,60,56.14
2009-11-13,53,55
2009-11-20,41,53.98
2009-11-27,39,53.57
2009-12-04,47,55.31
2009-12-11,53,54
2009-12-18,34,53.99
2010-01-08,65,56.22
2010-01-15,45,58.56
2010-01-22,41,57.62
2010-01-29,64,55.91
2010-02-05,46,54.97
2010-02-12,59,56.08
2010-02-19,49,59
2010-02-26,35,60.31
2010-03-05,51,62.93
2010-03-12,59,63.61
2010-03-19,37,65.11
2010-03-26,64,64.61
2010-04-09,49,68.48
2010-04-16,48,69.07
2010-04-23,47,70.99
2010-04-30,47,69.18
2010-05-07,38,62.25
2010-05-14,40,66.46
2010-05-21,63,60.57
2010-05-28,46,61.46
2010-06-04,55,58.52
2010-06-11,51,61.06
2010-06-18,51,60.86
2010-06-25,42,58.21
2010-07-02,61,55.02
2010-07-09,61,57.32
2010-07-16,51,56.26
2010-07-23,48,62.19
2010-07-30,54,62.12
2010-08-06,49,65.48
2010-08-13,44,63.52
2010-08-20,53,63.23
2010-08-27,52,60.69
2010-09-03,53,64.97
2010-09-10,58,65.05
2010-09-17,52,68.53
2010-09-24,50,69.88
2010-10-01,53,70.41
2010-10-08,54,71.18
2010-10-15,64,71.03
2010-10-22,78,76.31
2010-10-29,59,76.55
2010-11-05,61,81.68
2010-11-12,53,79.39
2010-11-19,67,81.18
2010-11-26,55,81.46
2010-12-03,54,84.22
2010-12-10,49,86.14
2010-12-17,55,84.82
2010-12-31,58,86.3
2011-01-07,58,86.05
2011-01-14,63,89.65
2011-01-21,58,86
2011-01-28,60,87.19
2011-02-04,65,91.01
2011-02-11,62,93.56
2011-02-18,48,91.88
2011-02-25,39,88.55
2011-03-04,61,87.33
2011-03-11,60,85.39
2011-03-18,49,88.71
2011-03-25,44,92.96
2011-04-01,51,95.91
2011-04-08,53,95.31
2011-04-15,57,93.59
2011-04-29,58,94.32
2011-05-06,47,88.9
2011-05-13,57,87.5
2011-05-20,58,86.44
2011-05-27,56,89.38
2011-06-03,62,86.29
2011-06-10,50,85.83
2011-06-17,49,85.32
2011-06-24,56,85.04
2011-07-01,58,91.58
2011-07-08,56,89.27
2011-07-15,50,87.46
2011-07-22,47,87.45
2011-07-29,53,79.02
2011-08-05,33,67.6
2011-08-12,55,69.58
2011-08-19,53,64.03
2011-08-26,46,67.7
2011-09-02,48,69.41
2011-09-09,52,66.38
2011-09-16,37,70.07
2011-09-23,48,62.32
2011-09-30,53,63.13
2011-10-07,55,66.01
2011-10-14,47,73.61
2011-10-21,61,77.85
2011-10-28,76,83.89
2011-11-04,59,84.55
2011-11-11,57,84.22
2011-11-18,58,81.09
2011-11-25,46,74.98
2011-12-02,56,82.11
2011-12-09,52,81.02
2011-12-16,37,75.02
2011-12-23,48,77.42
2011-12-30,58,76.25
2012-01-06,54,77.64
2012-01-13,55,82.44
2012-01-20,57,81.52
2012-01-27,48,81.5
2012-02-03,67,85.72
2012-02-10,49,87.51
2012-02-17,51,88.57
2012-02-24,46,89.63
2012-03-02,66,88.54
2012-03-09,44,88.22
2012-03-16,57,90.15
2012-03-23,53,85.63
2012-03-30,41,84.55
2012-04-13,61,82.03
2012-04-20,62,82.79
2012-04-27,62,88.99
2012-05-04,62,85.14
2012-05-11,51,86.85
2012-05-18,53,80.61
2012-05-25,55,84.36
2012-06-01,44,77.87
2012-06-08,42,81.27
2012-06-15,57,78.73
2012-06-22,55,76.68
2012-06-29,56,76.88
2012-07-06,66,75.74
2012-07-13,52,73.9
2012-07-20,52,76.96
2012-07-27,60,81.4
2012-08-03,49,79.97
2012-08-10,65,83.47
2012-08-17,53,83.83
2012-08-24,54,81.58
2012-08-31,66,79.98
2012-09-07,59,83.69
2012-09-14,55,86.38
2012-09-21,74,85.5
2012-09-28,57,83.58
2012-10-05,50,84.41
2012-10-12,71,79.4
2012-10-19,39,78.5
2012-10-26,50,77.58
2012-11-02,55,79.43
2012-11-09,49,79.09
2012-11-16,47,80.01
2012-11-23,54,81.43
2012-11-30,60,82.15
2012-12-07,57,83.81
2012-12-14,48,83.49
2012-12-21,45,85.15
2012-12-28,48,83.86
2013-01-04,54,88.82
2013-01-11,55,89.04
2013-01-18,58,93.7
2013-01-25,58,94.37
2013-02-01,46,93.85
2013-02-08,54,94.32
2013-02-15,48,96.04
2013-02-22,52,94.54
2013-03-01,55,94.45
2013-03-08,58,97.95
2013-03-15,50,96.72
2013-03-22,53,92.08
2013-04-05,48,89.38
2013-04-12,61,89.04
2013-04-19,46,85.55
2013-04-26,53,88.74
2013-05-03,53,91.38
2013-05-10,46,94.05
2013-05-17,54,100.01
2013-05-24,46,98.29
2013-05-31,66,99.76
2013-06-07,47,98.34
2013-06-14,61,97.41
2013-06-21,48,94.85
2013-06-28,50,95.4
2013-07-05,57,97.62
2013-07-12,55,99.16
2013-07-19,56,103.11
2013-07-26,60,102.12
2013-08-02,59,105.24
2013-08-09,52,104.14
2013-08-16,48,103.4
2013-08-23,45,103.09
2013-08-30,49,99.95
2013-09-06,54,103.22
2013-09-13,49,104.36
2013-09-20,50,107.54
2013-09-27,59,108.95
2013-10-04,54,107.58
2013-10-11,54,107.78
2013-10-18,57,112.41
2013-10-25,61,116.42
2013-11-01,62,115.99
2013-11-08,52,116.13
2013-11-15,55,117.61
2013-11-22,63,118.62
2013-11-29,57,117.84
2013-12-06,69,121.1
2013-12-13,65,118.97
2013-12-20,66,126.21
2013-12-27,60,128.11
2014-01-03,60,127.25
2014-01-10,56,127.2
2014-01-17,60,127.43
2014-01-24,63,114.63
2014-01-31,44,113.37
2014-02-07,59,118.67
2014-02-14,54,117.85
2014-02-21,56,117.77
2014-02-28,51,120.55
2014-03-07,52,124.38
2014-03-14,51,116.19
2014-03-21,54,119.38
2014-03-28,56,119.24
2014-04-04,61,121.8
2014-04-11,53,119.14
2014-04-25,59,122.4
