"Date","SWY","Price"
2006-08-11,63,28.33
2006-11-17,50,30.64
2006-11-24,63,30.35
2006-12-01,75,30.78
2006-12-08,88,31.55
2006-12-15,100,34.04
2006-12-22,64,34.81
2006-12-29,64,34.56
2007-01-05,60,33.23
2007-01-12,56,33.79
2007-01-19,55,34.36
2007-01-26,55,34.77
2007-02-02,68,36.13
2007-02-09,62,35.71
2007-02-16,58,36.51
2007-02-23,59,35.15
2007-03-02,56,33.88
2007-03-09,52,34.27
2007-03-16,48,34.5
2007-03-23,52,36.85
2007-03-30,56,36.64
2007-04-13,52,36.44
2007-04-20,55,37.77
2007-04-27,51,36.67
2007-05-04,51,35.86
2007-06-22,43,34.75
2007-06-29,43,34.03
2007-07-06,43,34.52
2007-07-13,43,35.62
2007-07-20,55,34.22
2007-07-27,66,31.12
2007-08-03,47,31.59
2007-08-10,47,32.48
2007-08-17,47,32.48
2007-08-24,41,32.94
2007-08-31,41,31.73
2007-09-07,42,30.64
2007-09-14,44,32.61
2007-09-21,45,33.02
2007-09-28,47,33.11
2007-10-05,49,33.15
2007-10-12,51,34.95
2007-10-19,53,31.5
2007-10-26,38,33.11
2007-11-02,38,32.96
2007-11-09,38,30.71
2007-11-16,37,32.53
2007-11-23,31,33.69
2007-11-30,31,34.8
2007-12-07,31,35.05
2007-12-14,31,35.06
2007-12-21,33,35.39
2007-12-28,34,34.95
2008-01-04,36,33.03
2008-01-11,37,33.54
2008-01-18,32,31.91
2008-01-25,41,31.09
2008-02-01,38,31.55
2008-02-08,42,31.37
2008-02-15,38,31.99
2008-02-22,38,29.75
2008-02-29,40,28.74
2008-03-07,31,28.98
2008-03-14,34,29.06
2008-03-28,34,28.33
2008-04-04,39,28.93
2008-04-11,41,28.3
2008-04-18,43,28.31
2008-04-25,45,29.04
2008-05-02,43,31.43
2008-05-09,31,30.65
2008-05-16,39,31.22
2008-05-23,36,30.53
2008-05-30,36,31.87
2008-06-06,28,31.43
2008-06-13,28,31.04
2008-06-20,28,29.76
2008-06-27,42,29.38
2008-07-11,28,29.09
2008-07-18,46,25.62
2008-08-29,48,26.34
2008-09-05,41,26.15
2008-09-12,28,25.48
2008-09-19,30,25.49
2008-09-26,33,24.72
2008-10-03,48,22.55
2008-10-10,39,20.44
2008-10-17,32,22.46
2008-10-24,23,20.87
2008-10-31,23,21.27
2008-11-07,37,22.54
2008-11-14,26,20.99
2008-11-21,26,18.52
2008-11-28,40,21.8
2008-12-05,49,23.7
2008-12-12,31,22.82
2008-12-19,30,23.25
2008-12-26,34,22.31
2009-01-02,32,24.05
2009-01-09,32,23.2
2009-01-16,40,23.51
2009-01-23,33,23.11
2009-01-30,39,21.43
2009-02-06,32,21.31
2009-02-13,38,20.75
2009-02-20,30,20.9
2009-02-27,32,18.5
2009-03-06,36,17.53
2009-03-13,29,19.24
2009-03-20,25,19.55
2009-03-27,25,20.73
2009-04-03,40,21.18
2009-04-17,26,20.6
2009-04-24,33,20.15
2009-05-01,34,19.5
2009-05-08,31,19.45
2009-05-15,31,19.23
2009-05-22,20,20.04
2009-05-29,27,20.26
2009-06-05,34,20.6
2009-06-12,34,21.26
2009-06-19,30,20.93
2009-06-26,26,20.42
2009-07-10,33,19.36
2009-07-17,58,19.7
2009-07-24,58,18.64
2009-07-31,44,18.93
2009-08-07,42,18.53
2009-08-14,33,18.78
2009-08-21,35,19.21
2009-08-28,24,19.47
2009-09-04,29,19.54
2009-09-11,29,20.01
2009-09-18,38,19.51
2009-09-25,30,19.49
2009-10-02,41,19.77
2009-10-09,30,21.32
2009-10-16,33,23.31
2009-10-23,32,22.4
2009-10-30,35,22.33
2009-11-06,32,22.84
2009-11-13,23,23.2
2009-11-20,24,22.62
2009-11-27,27,22.44
2009-12-04,34,22.3
2009-12-11,35,21.73
2009-12-18,26,20.89
2010-01-08,29,21.13
2010-01-15,26,21.31
2010-01-22,29,22.74
2010-01-29,21,22.45
2010-02-05,24,22.05
2010-02-12,26,22.41
2010-02-19,26,23.79
2010-02-26,25,24.92
2010-03-05,27,24.67
2010-03-12,44,24.83
2010-03-19,30,24.04
2010-03-26,19,24.44
2010-04-09,22,25.51
2010-04-16,35,26.34
2010-04-23,30,26.77
2010-04-30,34,23.6
2010-05-07,40,23.3
2010-05-14,25,23.34
2010-05-21,34,22.78
2010-05-28,28,22.14
2010-06-04,27,21.3
2010-06-11,31,20.84
2010-06-18,38,20.83
2010-06-25,41,19.86
2010-07-02,31,19.6
2010-07-09,41,20.05
2010-07-16,31,19.83
2010-07-23,35,19.56
2010-07-30,32,20.54
2010-08-06,36,21.31
2010-08-13,36,21.18
2010-08-20,36,20.01
2010-08-27,42,19.45
2010-09-03,38,19.63
2010-09-10,41,19.92
2010-09-17,38,20.35
2010-09-24,34,21.19
2010-10-01,30,21.21
2010-10-08,41,21.19
2010-10-15,48,21.76
2010-10-22,35,22.29
2010-10-29,36,22.9
2010-11-05,27,23.74
2010-11-12,32,23.05
2010-11-19,27,22.76
2010-11-26,23,22.62
2010-12-03,45,21.8
2010-12-10,27,21.45
2010-12-17,32,21.56
2010-12-31,24,22.49
2011-01-07,46,21.13
2011-01-14,25,21.04
2011-01-21,32,21.02
2011-01-28,21,20.51
2011-02-04,35,21.02
2011-02-11,22,21.61
2011-02-18,37,22.39
