"Date","JWN","Price"
2006-09-22,55,42.58
2006-09-29,55,42.3
2006-10-06,55,44.69
2006-10-13,54,47.07
2006-11-24,51,50
2006-12-01,62,47.81
2006-12-08,74,48.61
2006-12-15,50,50.3
2006-12-22,57,48.85
2006-12-29,64,49.34
2007-01-05,71,51.28
2007-01-12,79,54.81
2007-01-19,57,55.03
2007-01-26,57,53.65
2007-02-02,57,56.68
2007-02-09,57,56.88
2007-02-16,66,58.46
2007-02-23,76,58.22
2007-03-02,85,52.41
2007-03-09,66,51.57
2007-03-16,47,50.96
2007-03-23,47,53.45
2007-03-30,49,52.94
2007-04-13,53,54.92
2007-04-20,38,56.72
2007-04-27,38,56.21
2007-05-04,38,55.6
2007-05-11,38,53.98
2007-05-18,70,53.35
2007-05-25,42,51.79
2007-08-17,43,47.01
2007-08-24,45,48.83
2007-08-31,40,48.1
2007-09-07,40,46.98
2007-09-14,40,49.42
2007-09-21,40,50.74
2007-09-28,41,46.89
2007-10-05,37,50.01
2007-10-12,58,43.8
2007-10-19,49,38.59
2007-10-26,49,38.85
2007-11-02,100,36.5
2007-11-09,76,32.38
2007-11-16,63,32.51
2007-11-23,75,35.72
2007-11-30,90,33.54
2007-12-07,76,38.52
2007-12-14,62,34.62
2007-12-21,73,36.28
2007-12-28,68,36.93
2008-01-04,68,31.5
2008-01-11,58,31.47
2008-01-18,50,29.87
2008-01-25,50,35
2008-02-01,53,39.74
2008-02-08,69,37.1
2008-02-15,47,36.27
2008-02-22,37,36
2008-02-29,76,37.03
2008-03-07,62,32.75
2008-03-14,45,33.02
2008-03-28,42,32.62
2008-04-04,42,33.96
2008-04-11,50,33.84
2008-04-18,36,36.19
2008-04-25,37,36.61
2008-05-02,38,36.46
2008-05-09,40,34.39
2008-05-16,28,38.44
2008-05-23,36,33.17
2008-05-30,36,34.98
2008-06-06,37,33.99
2008-06-13,28,34.73
2008-06-20,31,33.78
2008-06-27,34,31.07
2008-07-11,54,27.38
2008-07-18,37,30.03
2008-07-25,29,28.94
2008-08-01,40,28.92
2008-08-08,51,29.59
2008-08-15,81,31.54
2008-08-22,42,29.91
2008-08-29,27,31.1
2008-09-05,28,32.56
2008-09-12,25,34.07
2008-09-19,38,33.93
2008-09-26,25,29.19
2008-10-03,55,23.62
2008-10-10,73,18.38
2008-10-17,27,16.66
