"Date","XOM","Price"
2004-02-06,12,40.51
2004-02-13,12,41.91
2004-02-20,13,42.03
2004-02-27,13,42.17
2004-03-05,11,42.49
2004-03-12,11,42.03
2004-03-19,11,41.5
2004-03-26,10,40.74
2004-04-02,10,41.91
2004-04-16,10,43.86
2004-04-23,11,42.97
2004-04-30,12,42.55
2004-05-07,11,43.25
2004-05-14,15,43.27
2004-05-21,11,42.6
2004-05-28,10,43.25
2004-06-04,11,43.37
2004-06-18,9,44.98
2004-06-25,11,44.25
2004-07-02,13,44.72
2004-07-09,11,45.45
2004-07-16,9,45.83
2004-07-23,9,45.32
2004-07-30,10,46.3
2004-08-06,14,45.12
2004-08-13,9,44.92
2004-08-20,10,45.25
2004-08-27,12,45.44
2004-09-03,11,47.06
2004-09-10,11,47.37
2004-09-17,11,48.37
2004-09-24,11,47.83
2004-10-01,8,48.89
2004-10-08,13,49.84
2004-10-15,11,49.02
2004-10-22,7,48.7
2004-10-29,13,49.22
2004-11-05,15,50.39
2004-11-12,11,50.42
2004-11-19,12,50.38
2004-11-26,12,51.65
2004-12-03,8,50.27
2004-12-10,14,50.15
2004-12-17,11,49.8
2004-12-31,11,51.26
2005-01-07,13,49.79
2005-01-14,15,51.07
2005-01-21,10,50.44
2005-01-28,10,51.27
2005-02-04,21,55.29
2005-02-11,11,56.11
2005-02-18,16,59.41
2005-02-25,21,63.26
2005-03-04,23,63.57
2005-03-11,23,61.05
2005-03-18,12,62.65
2005-04-01,11,60.55
2005-04-08,22,60.01
2005-04-15,15,56.19
2005-04-22,21,59.42
2005-04-29,19,57.03
2005-05-06,19,57.6
2005-05-13,25,53.7
2005-05-20,14,54.01
2005-05-27,20,56.8
2005-06-03,15,57.15
2005-06-10,19,58.38
2005-06-17,20,60.89
2005-06-24,21,58.15
2005-07-01,20,58.31
2005-07-08,20,59.4
2005-07-15,26,58.16
2005-07-22,16,59.5
2005-07-29,25,58.75
2005-08-05,22,58.09
2005-08-12,23,61.05
2005-08-19,19,58.82
2005-08-26,19,58.41
2005-09-02,33,60.68
2005-09-09,17,63.2
2005-09-16,20,63.7
2005-09-23,32,63.83
2005-09-30,23,63.54
2005-10-07,27,59.6
2005-10-14,27,58.64
2005-10-21,31,55.37
2005-10-28,36,56.31
2005-11-04,34,57.9
2005-11-11,26,56.52
2005-11-18,24,58.25
2005-11-25,21,60.11
2005-12-02,30,59.07
2005-12-09,26,58.5
2005-12-16,22,58.06
2005-12-23,24,57.1
2005-12-30,28,56.17
2006-01-06,27,59.43
2006-01-13,27,60.97
2006-01-20,24,60.53
2006-01-27,34,61.29
2006-02-03,44,61.39
2006-02-10,29,59.43
2006-02-17,28,60.55
2006-02-24,21,60.42
2006-03-03,26,60.98
2006-03-10,30,59.18
2006-03-17,30,61.05
2006-03-24,33,61.17
2006-03-31,31,60.86
2006-04-07,30,61.33
2006-04-21,43,65
2006-04-28,53,63.08
2006-05-05,39,64
2006-05-12,35,62.24
2006-05-19,29,60.45
2006-05-26,27,61.58
2006-06-02,23,61.65
2006-06-09,26,58.8
2006-06-16,26,58.8
2006-06-23,26,58.1
2006-06-30,27,61.35
2006-07-07,24,62.84
2006-07-14,38,64.9
2006-07-21,32,63.93
2006-07-28,49,67
2006-08-04,37,68.69
2006-08-11,46,69.73
2006-08-18,37,69.1
2006-08-25,40,70.43
2006-09-01,35,68.1
2006-09-08,30,66.81
2006-09-15,31,64.65
2006-09-22,28,64.91
2006-09-29,24,67.1
2006-10-06,28,67.52
2006-10-13,29,68.4
2006-10-20,23,69.55
2006-10-27,34,71.46
2006-11-03,28,72.15
2006-11-10,33,74.42
