"Date","sell.GM","Price"
2010-11-19,21,34.26
2010-11-26,10,33.8
2010-12-03,9,34.55
2011-01-28,11,36.6
2011-04-15,10,30.24
2011-04-29,11,32.09
2011-05-06,11,31.91
2011-05-13,10,31.07
2011-05-20,9,31.18
2011-05-27,9,31.28
2011-06-03,9,29.12
2011-06-10,9,28.85
2011-06-17,8,29
2011-06-24,8,29.92
2011-07-01,8,30.58
2011-07-08,8,31.58
2011-07-15,8,29.76
2011-07-22,8,30.1
2011-07-29,8,27.68
2011-11-25,8,20.34
2011-12-02,7,21.28
2011-12-09,7,21.15
2011-12-16,7,20.15
2011-12-23,8,20.5
2011-12-30,7,20.27
2012-01-06,7,22.92
2012-01-13,7,24.29
2012-01-20,8,25
2012-01-27,9,24.37
2012-02-03,8,26.18
2012-02-10,7,25.5
2012-02-17,7,27.34
2012-02-24,8,26.07
2012-03-02,10,26.45
2012-03-09,10,25.62
2012-03-16,8,25.57
2012-03-23,8,25.17
2012-03-30,7,25.65
2012-04-13,7,23.8
2012-04-20,7,23.6
2012-04-27,8,23.53
2012-05-04,9,22.36
2012-05-11,9,22
2012-06-22,9,20.6
2012-06-29,7,19.72
2012-07-06,7,20.31
2012-07-13,9,19.62
2012-07-20,8,19.36
2012-07-27,8,19.67
2012-08-03,9,20.04
2012-08-10,7,20.54
2012-08-17,7,22.01
2012-08-24,8,21.18
2012-08-31,6,21.35
2012-09-07,10,23.37
2012-09-14,8,24.14
2012-09-21,9,24.8
2012-09-28,9,22.75
2012-10-05,8,24.8
2012-10-12,7,24.44
2012-10-19,8,24.59
2012-10-26,9,23.28
2012-11-02,9,25.79
2012-11-09,8,25.04
2012-11-16,8,23.85
2012-11-23,6,25.21
2012-11-30,6,25.88
2012-12-07,7,25.19
2012-12-14,8,24.61
2012-12-21,11,27.32
2012-12-28,8,27.85
2013-01-04,10,29.86
2013-01-11,5,30.36
2013-01-18,5,29.28
2013-01-25,5,29.07
2013-02-01,6,28.17
2013-02-08,6,28.57
2013-02-15,7,27.76
2013-02-22,5,27.11
2013-03-01,5,27.21
2013-03-08,7,28
2013-03-15,6,28.21
2013-03-22,6,28.22
2013-04-05,6,27.52
2013-04-12,9,29.62
2013-04-19,7,29.15
2013-04-26,7,30.5
2013-05-03,7,32.1
2013-05-10,7,31.42
2013-05-17,6,33.42
2013-05-24,8,32.87
2013-05-31,5,33.89
2013-06-07,8,35.03
2013-06-14,9,34.29
2013-06-21,6,32.21
2013-06-28,6,33.31
2013-07-05,7,34.67
2013-07-12,7,36.4
2013-07-19,6,36.61
2013-07-26,9,36.67
2013-08-02,8,36.95
2013-08-09,7,36.02
2013-08-16,7,34.38
2013-08-23,8,35.06
2013-08-30,5,34.08
2013-09-06,5,36.15
2013-09-13,5,36.06
2013-09-20,6,36.83
2013-09-27,8,36.37
2013-10-04,5,35.7
2013-10-11,6,35.35
2013-10-18,7,35.89
2013-10-25,8,35.59
2013-11-01,6,37.39
2013-11-08,6,36.66
2013-11-15,8,38.77
2013-11-22,11,37.63
2013-11-29,5,38.73
2013-12-06,5,40.17
2013-12-13,14,40.04
2013-12-20,6,40.99
2013-12-27,6,40.94
2014-01-03,8,39.57
2014-01-10,7,40.03
2014-01-17,7,38.6
2014-01-24,7,36.83
2014-01-31,7,36.08
2014-02-07,8,36.11
2014-02-14,6,35.95
2014-02-21,7,36.69
2014-02-28,8,36.2
2014-03-07,9,37.69
2014-03-14,8,34.09
2014-03-21,10,35.01
2014-03-28,8,34.73
2014-04-04,10,34.81
2014-04-11,8,31.93
2014-04-25,8,33.72
