"Date","Automatic.Data.Processing","Price"
2004-04-30,77,43.81
2004-07-02,100,39.9
2006-02-03,35,44
2006-03-24,35,46.75
2006-03-31,32,45.68
2006-04-07,32,46.46
2006-07-07,33,44.01
2007-01-26,25,47.13
2007-04-13,25,44.72
2007-04-20,25,44.76
2007-04-27,21,45.17
2007-05-04,21,46.5
2007-05-11,21,48.12
2007-05-18,21,48.63
2007-05-25,21,49.23
2007-06-01,21,49.79
2007-06-08,21,48.41
2007-07-20,22,47.95
2007-07-27,22,45.45
2007-08-03,23,47.56
2007-08-10,23,48.42
2007-08-17,23,47.04
2007-08-24,26,46.65
2007-08-31,27,45.74
2007-09-07,29,44.73
2007-09-14,20,44.47
2007-09-21,20,46.35
2007-09-28,20,45.93
2007-10-05,20,47.97
2007-10-12,20,48.25
2007-10-19,16,47.52
2007-10-26,16,46.57
2007-11-02,17,48.67
2007-11-09,14,46.73
2007-11-16,14,47.16
2007-11-23,16,45.73
2007-11-30,18,45.06
2007-12-07,15,45.55
2007-12-14,23,44.94
2007-12-21,23,44.97
2007-12-28,23,44.71
2008-01-04,23,41
2008-01-11,23,41.08
2008-01-18,22,39.55
2008-01-25,20,38.75
2008-02-01,20,39.97
2008-02-08,20,37.9
2008-02-15,23,39.74
2008-02-22,14,40.71
2008-02-29,14,39.95
2008-03-07,15,39.21
2008-03-14,17,39.37
2008-03-28,18,41.79
2008-04-04,16,43.89
2008-04-11,16,41.98
2008-04-18,16,43.82
2008-04-25,16,44.08
2008-05-02,16,43.09
2008-05-09,17,43.1
2008-05-16,14,43.87
2008-05-23,14,41.81
2008-05-30,14,43.05
2008-06-06,18,42.39
2008-06-13,15,43.14
2008-06-20,18,42.6
2008-06-27,21,41.64
2008-07-11,16,41.47
2008-07-18,16,42.6
2008-07-25,16,41.09
2008-08-01,16,42.95
2008-08-08,16,45.01
2008-08-15,16,45.71
2008-08-22,16,45.13
2008-08-29,14,44.38
2008-09-05,14,44.16
2008-09-12,14,45.27
