"Date","GMCR","Price"
2007-05-04,11,70.7
2007-07-20,8,88.8
2007-07-27,10,85.05
2007-08-03,13,28.02
2007-08-10,15,33.9
2007-09-28,7,33.19
2007-12-07,7,33.3
2008-11-21,6,32.73
2009-01-09,5,34.74
2009-01-16,5,37.1
2009-01-23,5,39.8
2009-01-30,5,38.26
2009-03-20,4,45.27
2009-03-27,7,47.15
2009-04-03,5,50.2
2009-04-17,7,52.67
2009-04-24,5,53.28
2009-05-01,16,72
2009-05-08,15,80.5
2009-05-15,6,77.82
2009-05-22,8,79.78
2009-05-29,7,83.24
2009-06-05,13,91.42
2009-06-12,14,60.43
2009-06-19,7,56.53
2009-06-26,6,56.08
2009-07-10,9,56.42
2009-07-17,9,60.15
2009-07-24,12,68.64
2009-07-31,20,70.44
2009-08-07,9,69.9
2009-08-14,7,63.37
2009-08-21,7,58.34
2009-08-28,8,60.37
2009-09-04,6,58.6
2009-09-11,6,62.46
2009-09-18,6,68.89
2009-09-25,11,68.93
2009-10-02,11,69.56
2009-10-09,6,73.43
2009-10-16,4,73.35
2009-10-23,9,74.64
2009-10-30,5,66.55
2009-11-06,4,67.61
2009-11-13,11,68.46
2009-11-20,7,65.01
2009-11-27,5,62.95
2009-12-04,8,61.19
2009-12-11,10,65.47
2009-12-18,8,69.25
2010-01-08,7,81.85
2010-01-15,7,80.41
2010-01-22,6,81.16
2010-01-29,8,84.82
2010-02-05,6,82.6
2010-02-12,6,83.71
2010-02-19,7,83.41
2010-02-26,8,84.39
2010-03-05,7,87.74
2010-03-12,9,92.65
2010-03-19,6,93.9
2010-03-26,7,93.13
2010-04-09,7,96.57
2010-04-16,5,94.35
2010-04-23,11,87.3
2010-04-30,15,72.76
2010-05-07,13,71.45
2010-05-14,12,75.85
2010-05-21,16,23.32
2010-05-28,6,23.65
2010-06-04,7,23.47
2010-06-11,8,23.81
2010-06-18,9,27.3
2010-06-25,7,27.21
2010-07-02,6,26.01
2010-07-09,7,27.15
2010-07-16,5,27.83
2010-07-23,7,29.35
2010-07-30,10,30.79
2010-08-06,6,30.73
2010-08-13,14,30.91
2010-08-20,7,32.46
2010-08-27,8,30.58
2010-09-03,7,31.97
2010-09-10,13,34.19
2010-09-17,17,35.43
2010-09-24,10,36.22
2010-10-01,45,29.57
2010-10-08,20,26.98
2010-10-15,15,29.99
2010-10-22,11,31.29
2010-10-29,11,32.99
2010-11-05,14,34.63
2010-11-12,15,31.45
2010-11-19,14,30.26
2010-11-26,11,37.63
2010-12-03,13,36.28
2010-12-10,21,33.81
2010-12-17,12,31.84
2010-12-31,7,32.86
2011-01-07,12,35.92
2011-01-14,11,35.33
2011-01-21,8,34.47
2011-01-28,8,33.76
2011-02-04,14,39.61
