"Date","CTSH","Price"
2005-04-22,35,41.41
2005-06-24,35,45.99
2005-07-01,31,47.23
2005-07-08,31,48.45
2005-07-15,31,48.11
2005-07-22,31,48.32
2005-07-29,31,49.08
2005-11-18,25,48.36
2005-11-25,29,49.39
2005-12-02,34,49.4
2005-12-09,27,49.47
2005-12-16,27,50.02
2005-12-23,30,51.49
2005-12-30,31,50.27
2006-01-06,28,51.35
2006-01-13,27,49.35
2006-01-20,27,49.96
2006-01-27,27,50.9
2006-02-03,30,50.63
2006-02-10,34,55.25
2006-02-17,30,55.24
2006-02-24,30,57.42
2006-03-03,27,58.73
2006-03-10,23,56.13
2006-03-17,33,57.07
2006-03-24,41,57.68
2006-03-31,34,59.49
2006-04-07,26,58.06
2006-04-21,23,62.9
2006-04-28,30,63.61
2006-05-05,59,69.01
2006-05-12,44,65.56
2006-05-19,30,64.2
2006-05-26,38,60.01
2006-06-02,31,62.83
2006-06-09,28,61.79
2006-06-16,23,63.62
2006-06-23,30,66.56
2006-06-30,36,67.37
2006-07-07,25,65.63
2006-07-14,43,62.5
2006-07-21,33,61.05
2006-07-28,31,64.54
2006-08-04,54,68.37
2006-08-11,44,65.7
2006-08-18,38,70.82
2006-08-25,42,69.08
2006-09-01,36,69.74
2006-09-08,40,69.25
2006-09-15,30,71.57
2006-09-22,31,72.64
2006-09-29,36,74.01
2006-10-06,30,74.71
2006-10-13,36,77.24
2006-10-20,50,76.7
2006-10-27,37,77.97
2006-11-03,63,74.34
2006-11-10,56,76.24
2006-11-17,55,80.1
2006-11-24,42,79.71
2006-12-01,28,80.42
2006-12-08,37,80.67
2006-12-15,32,80.44
2006-12-22,29,76.06
2006-12-29,46,77.16
2007-01-05,47,77.11
2007-01-12,45,81.44
2007-01-19,36,81.66
2007-01-26,39,83.12
2007-02-02,42,85.83
2007-02-09,71,92.35
2007-02-16,69,93.68
2007-02-23,53,94.59
2007-03-02,56,86.93
2007-03-09,56,91.52
2007-03-16,44,88.83
2007-03-23,42,92.93
2007-03-30,41,88.27
2007-04-13,51,87.38
2007-04-20,38,88.21
2007-04-27,53,90.62
2007-05-04,72,83.9
2007-05-11,76,80.65
2007-05-18,75,78.83
2007-05-25,73,75.71
2007-06-01,53,78.11
2007-06-08,54,75.47
2007-06-15,65,79.02
2007-06-22,48,75.93
2007-06-29,51,75
2007-07-06,43,78.89
2007-07-13,83,86.18
2007-07-20,81,85.84
2007-07-27,60,81.54
2007-08-03,68,82.85
2007-08-10,68,82.34
2007-08-17,64,74.95
2007-08-24,46,73.45
2007-08-31,67,73.51
2007-09-07,40,71.07
2007-09-14,64,72.07
2007-09-21,65,75.87
2007-09-28,56,79.79
2007-10-05,64,85.79
2007-10-12,65,81.85
2007-10-19,85,40.02
2007-10-26,55,39.94
2007-11-02,62,40.9
2007-11-09,100,30.79
2007-11-16,82,31.4
2007-11-23,61,30.46
2007-11-30,85,31.1
2007-12-07,69,33.36
2007-12-14,67,32.72
2007-12-21,51,35.83
2007-12-28,55,34.92
2008-01-04,57,31
2008-01-11,69,27.11
2008-01-18,79,26
2008-01-25,73,26.87
2008-02-01,63,29.84
2008-02-08,83,31.84
2008-02-15,61,32.56
2008-02-22,52,32.15
2008-02-29,54,30.21
2008-03-07,67,29.19
2008-03-14,62,27.27
2008-03-28,48,29.18
2008-04-04,43,29.39
2008-04-11,47,26.53
2008-04-18,55,30.96
2008-04-25,58,31.25
2008-05-02,51,33.06
2008-05-09,76,29.73
2008-05-16,61,31.55
2008-05-23,59,30.4
2008-05-30,61,35.28
2008-06-06,83,34.77
2008-06-13,79,35.75
2008-06-20,58,34.97
2008-06-27,42,32.89
2008-07-11,46,28.16
2008-07-18,48,28.09
2008-07-25,49,27.07
2008-08-01,68,29.36
2008-08-08,45,30.76
2008-08-15,38,30.77
2008-08-22,47,30.31
2008-08-29,36,29.32
2008-09-05,23,27.75
2008-09-12,43,26.88
2008-09-19,63,26.57
2008-09-26,32,24.73
2008-10-03,55,19.26
2008-10-10,81,17.36
2008-10-17,58,18.64
2008-10-24,51,16.65
2008-10-31,44,19.2
2008-11-07,45,19.42
2008-11-14,49,16.87
2008-11-21,34,15.58
2008-11-28,30,19.2
2008-12-05,33,17.79
2008-12-12,39,18.13
2008-12-19,26,18
2008-12-26,19,17.62
2009-01-02,27,19.12
2009-01-09,41,20.08
2009-01-16,47,20.36
2009-01-23,31,18.94
2009-01-30,31,18.73
2009-02-06,35,20.17
2009-02-13,38,21.17
2009-02-20,38,19.4
2009-02-27,29,18.4
2009-03-06,31,18.29
2009-03-13,35,20.97
2009-03-20,33,20.53
2009-03-27,29,20.12
2009-04-03,30,22.76
2009-04-17,32,23.38
2009-04-24,37,23.01
2009-05-01,27,24.97
2009-05-08,45,25.19
2009-05-15,36,25.76
2009-05-22,34,24.81
2009-05-29,33,25.19
2009-06-05,33,27.23
2009-06-12,25,26.79
2009-06-19,37,25.74
2009-06-26,28,26.62
2009-07-10,24,26.41
2009-07-17,37,29.02
2009-07-24,39,30.36
2009-07-31,46,29.59
2009-08-07,54,34.14
2009-08-14,47,34.43
2009-08-21,41,34.46
2009-08-28,39,35.27
2009-09-04,34,35.39
2009-09-11,35,37.13
2009-09-18,36,38.49
2009-09-25,25,37.81
2009-10-02,24,37.53
2009-10-09,22,38.74
2009-10-16,23,39.4
2009-10-23,29,40.52
2009-10-30,32,38.65
2009-11-06,45,43
2009-11-13,39,44.83
2009-11-20,39,43.68
2009-11-27,30,43.49
2009-12-04,34,44.42
2009-12-11,29,43.64
2009-12-18,24,44.45
2010-01-08,36,46.86
2010-01-15,27,47.92
2010-01-22,22,45.17
2010-01-29,20,43.66
2010-02-05,23,43.66
2010-02-12,44,47.16
2010-02-19,25,47.51
2010-02-26,21,48.13
2010-03-05,30,50.67
2010-03-12,33,50.8
2010-03-19,28,51.25
2010-03-26,20,51.09
2010-04-09,24,51.72
2010-04-16,26,52.77
2010-04-23,25,53.33
2010-04-30,30,51.11
2010-05-07,30,47.52
2010-05-14,22,49.89
2010-05-21,20,49.49
2010-05-28,26,50.04
2010-06-04,18,50.24
2010-06-11,23,51.79
2010-06-18,27,53.57
2010-06-25,21,52.58
2010-07-02,22,49.38
2010-07-09,23,53.46
2010-07-16,18,52.63
2010-07-23,21,55.34
2010-07-30,23,54.56
2010-08-06,32,60.93
2010-08-13,35,58.28
2010-08-20,23,59.61
2010-08-27,15,58.59
2010-09-03,15,62.37
2010-09-10,19,62.56
2010-09-17,24,64.11
2010-09-24,22,64.22
2010-10-01,17,65.8
2010-10-08,21,64.2
2010-10-15,25,66.55
2010-10-22,27,67.96
2010-10-29,20,65.19
2010-11-05,33,63.36
2010-11-12,26,63.23
2010-11-19,18,65.24
2010-11-26,20,66.25
2010-12-03,17,69.31
2010-12-10,23,70.31
2010-12-17,25,72.4
2010-12-31,21,73.29
2011-01-07,28,75.09
2011-01-14,24,75.01
2011-01-21,20,73.05
2011-01-28,25,71.63
2011-02-04,26,75.42
2011-02-11,32,75.5
2011-02-18,26,77.73
2011-02-25,22,76.51
2011-03-04,19,76.32
2011-03-11,24,76.37
2011-03-18,23,74.19
2011-03-25,24,80.03
2011-04-01,23,82.41
2011-04-08,22,80.26
2011-04-15,23,78.72
2011-04-29,21,82.9
2011-05-06,28,76.77
2011-05-13,22,76.47
2011-05-20,23,74.05
2011-05-27,23,74.77
2011-06-03,21,73.81
2011-06-10,15,73
2011-06-17,24,67.65
2011-06-24,21,71.14
2011-07-01,21,74.8
2011-07-08,21,76.38
2011-07-15,21,74.06
2011-07-22,23,73.77
2011-07-29,23,69.87
2011-08-05,37,67.94
2011-08-12,44,64.6
2011-08-19,30,55.01
2011-08-26,38,60.84
2011-09-02,30,61.1
2011-09-09,23,60.79
2011-09-16,25,65.24
2011-09-23,23,62.54
2011-09-30,23,62.7
2011-10-07,23,65.62
2011-10-14,24,72.22
2011-10-21,26,70.22
2011-10-28,21,75.67
2011-11-04,31,70.84
2011-11-11,19,68.82
2011-11-18,23,66.23
2011-11-25,17,62.48
2011-12-02,21,68.5
2011-12-09,21,69.38
2011-12-16,16,65.49
2011-12-23,24,64.56
2011-12-30,20,64.31
2012-01-06,22,66.41
2012-01-13,22,68.34
2012-01-20,21,70.17
2012-01-27,22,71.33
2012-02-03,21,73.35
2012-02-10,32,70.08
2012-02-17,23,71.08
2012-02-24,15,72.18
2012-03-02,19,71.34
2012-03-09,24,72.7
2012-03-16,24,76.91
2012-03-23,19,76.38
2012-03-30,17,76.95
2012-04-13,16,73.8
2012-04-20,14,71.61
2012-04-27,17,73.98
2012-05-04,13,69.66
2012-05-11,44,61.29
2012-05-18,25,59.63
2012-05-25,19,60
2012-06-01,19,56.9
2012-06-08,19,58.85
2012-06-15,17,60.5
2012-06-22,18,58.47
2012-06-29,24,60
2012-07-06,18,57.66
2012-07-13,22,57.26
2012-07-20,16,57.32
2012-07-27,23,58.53
2012-08-03,20,57.86
2012-08-10,34,64.97
2012-08-17,26,64.48
2012-08-24,23,64.86
2012-08-31,16,64.28
2012-09-07,21,67.2
2012-09-14,23,71
2012-09-21,22,68.61
2012-09-28,17,69.89
2012-10-05,18,71.82
2012-10-12,15,69.54
2012-10-19,17,68.77
2012-10-26,15,66.73
2012-11-02,20,66.15
2012-11-09,23,66
2012-11-16,15,65.74
2012-11-23,12,66.48
2012-11-30,21,67.23
2012-12-07,23,70.32
2012-12-14,20,72.53
2012-12-21,17,73.73
2012-12-28,16,72.31
2013-01-04,20,75.18
2013-01-11,17,78.47
2013-01-18,23,79.32
2013-01-25,21,77.63
2013-02-01,21,78.98
2013-02-08,27,78.73
2013-02-15,25,76.85
2013-02-22,18,76.38
2013-03-01,19,77.94
2013-03-08,25,80.51
2013-03-15,23,78.36
2013-03-22,14,74.9
2013-04-05,13,73.66
2013-04-12,18,75.56
2013-04-19,14,67.81
2013-04-26,20,61.96
2013-05-03,23,66.61
2013-05-10,35,65.03
2013-05-17,24,65.5
2013-05-24,15,63.77
2013-05-31,15,64.65
2013-06-07,17,66.58
2013-06-14,18,62.98
2013-06-21,20,62.31
2013-06-28,18,62.64
2013-07-05,14,65.26
2013-07-12,23,71.43
2013-07-19,25,72.36
2013-07-26,25,72.74
2013-08-02,26,73.51
2013-08-09,33,73.16
2013-08-16,18,71.46
2013-08-23,22,73.75
2013-08-30,21,73.3
2013-09-06,23,77.5
2013-09-13,31,79.69
2013-09-20,23,82.3
2013-09-27,18,82.7
2013-10-04,20,84.85
2013-10-11,21,88.85
2013-10-18,20,85.77
2013-10-25,16,86.68
2013-11-01,17,87.54
2013-11-08,34,90.23
2013-11-15,28,94.37
2013-11-22,28,93.12
2013-11-29,17,93.89
2013-12-06,22,96.2
2013-12-13,18,93.54
2013-12-20,21,98.16
2013-12-27,21,99.15
2014-01-03,25,98.32
2014-01-10,24,100.47
2014-01-17,20,99.34
2014-01-24,20,97.28
2014-01-31,18,96.91
2014-02-07,29,97
2014-02-14,24,100.34
2014-02-21,24,102.73
2014-02-28,26,104.06
2014-03-07,28,107.22
2014-03-14,37,50.25
2014-03-21,28,48.76
2014-03-28,24,49.69
2014-04-04,26,50.19
2014-04-11,18,47.31
2014-04-25,16,48.73
