"Date","People.s.United.Bank","Price"
2007-06-29,15,17.73
2007-07-06,11,18.05
2007-07-13,10,18.29
2007-07-20,11,17.93
2007-07-27,11,16.52
2007-08-03,12,14.99
2007-08-10,12,16.27
2007-08-17,13,17.31
2007-08-24,11,17.87
2007-08-31,14,17.68
2007-09-07,14,17.3
2007-09-14,18,17.02
2007-09-21,12,17.3
2007-09-28,10,17.28
2007-10-05,13,17.6
2007-10-12,13,18.02
2007-10-19,14,17.83
2007-10-26,17,18.05
2007-11-02,23,16.73
2007-11-09,12,16.85
2007-11-16,20,16.59
2007-11-23,15,16.71
2007-11-30,20,16.97
2007-12-07,20,17.06
2007-12-14,20,16.7
2007-12-21,18,16.97
2007-12-28,18,17.47
2008-01-04,19,16.93
2008-01-11,25,16.69
2008-01-18,22,15.41
2008-01-25,24,16.03
2008-02-01,25,17.45
2008-02-08,22,17.08
2008-02-15,22,17.34
2008-02-22,20,16.93
2008-02-29,30,16.86
2008-03-07,22,15.95
2008-03-14,23,16.5
2008-03-28,24,17.25
2008-04-04,33,17.86
2008-04-11,25,17.69
2008-04-18,24,17.35
2008-04-25,19,17.89
2008-05-02,31,17.29
2008-05-09,24,17.05
2008-05-16,25,16.65
2008-05-23,29,16.43
2008-05-30,21,16.53
2008-06-06,24,16.37
2008-06-13,32,16.99
2008-06-20,18,16.35
2008-06-27,22,15.83
2008-07-11,27,15.26
2008-07-18,32,16.74
2008-07-25,26,16.26
2008-08-01,25,17.38
2008-08-08,26,17.22
2008-08-15,21,17.5
2008-08-22,25,17.06
2008-08-29,29,17.92
2008-09-05,30,18.43
2008-09-12,20,18.93
2008-09-19,31,21.75
2008-09-26,22,17.8
2008-10-03,26,18.25
2008-10-10,24,15
2008-10-17,28,16.97
2008-10-24,26,16.09
2008-10-31,28,17.5
2008-11-07,28,16.65
2008-11-14,36,18.15
2008-11-21,29,17.48
2008-11-28,24,19.07
2008-12-05,29,18.37
2008-12-12,28,17.43
2008-12-19,29,17.5
2008-12-26,26,17.31
2009-01-02,28,17.79
2009-01-09,33,16.57
2009-01-16,24,16.83
2009-01-23,29,17.35
2009-01-30,22,16.36
2009-02-06,28,17.59
2009-02-13,26,17.09
2009-02-20,28,16.17
2009-02-27,30,17.41
2009-03-06,31,16.87
2009-03-13,33,17.42
2009-03-20,28,16.64
2009-03-27,26,17.44
2009-04-03,30,17.83
2009-04-17,28,16.36
2009-04-24,31,15.85
2009-05-01,28,15.44
2009-05-08,31,16.37
2009-05-15,31,16.09
2009-05-22,28,15.54
2009-05-29,19,15.8
2009-06-05,24,15.61
2009-06-12,23,15.46
2009-06-19,29,15.11
2009-06-26,27,15.05
2009-07-10,26,15.2
2009-07-17,22,15.31
2009-07-24,27,15.75
2009-07-31,25,16.25
2009-08-07,23,17.1
