"Date","KSU","Price"
2004-02-06,33,14.64
2004-02-13,35,14.3
2004-02-20,37,14.35
2004-02-27,26,14.05
2004-03-05,52,14.06
2004-03-12,27,14.02
2004-03-19,32,13.66
2004-03-26,22,13.75
2004-04-02,41,14.25
2004-04-16,35,14.14
2004-04-23,33,14.34
2004-04-30,38,13.85
2004-05-07,39,13.5
2004-05-14,37,13.24
2004-05-21,44,12.67
2004-05-28,46,13
2004-06-04,28,13.66
2004-06-18,42,14.39
2004-06-25,36,14.95
2004-07-02,37,15.25
2004-07-09,34,14.88
2004-07-16,40,14.6
2004-07-23,39,14.47
2004-07-30,38,14.62
2004-08-06,35,13.61
2004-08-13,30,13.59
2004-08-20,46,14.5
2004-08-27,37,15.09
2004-09-03,54,14.97
2004-09-10,55,14.91
2004-09-17,45,15
2004-09-24,45,14.49
2004-10-01,36,15.45
2004-10-08,65,16.14
2004-10-15,42,15.85
2004-10-22,47,16
2004-10-29,43,16.95
2004-11-05,37,16.57
2004-11-12,50,16.8
2004-11-19,41,16.41
2004-11-26,39,16.64
2004-12-03,44,17.48
2004-12-10,46,16.58
2004-12-17,39,16.73
2004-12-31,41,17.73
2005-01-07,39,16.19
2005-01-14,46,16.65
2005-01-21,41,16.46
2005-01-28,46,16.93
2005-02-04,46,18.9
2005-02-11,51,19.1
2005-02-18,49,19.66
2005-02-25,53,19.97
2005-03-04,61,19.99
2005-03-11,57,19.55
2005-03-18,53,19.52
2005-04-01,44,19.96
2005-04-08,38,20.68
2005-04-15,40,18.66
2005-04-22,47,19.61
2005-04-29,51,18.92
2005-05-06,48,19.44
2005-05-13,37,18.61
2005-05-20,39,19.26
2005-05-27,33,19.97
2005-06-03,39,20.2
2005-06-10,45,19.64
2005-06-17,38,20.08
2005-06-24,41,19.9
2005-07-01,33,20.46
2005-07-08,40,21.41
2005-07-15,33,21.56
2005-07-22,43,22.07
2005-07-29,40,22.56
2005-08-05,36,21.79
2005-08-12,46,21.4
2005-08-19,44,20.64
2005-08-26,57,20.16
2005-09-02,55,19.86
2005-09-09,61,20
2005-09-16,53,23.06
2005-09-23,51,22.36
2005-09-30,53,23.31
2005-10-07,60,22.5
2005-10-14,51,21.55
2005-10-21,54,21.32
