"Date","MCK","Price"
2004-02-06,57,29.43
2004-02-13,57,28.61
2004-02-20,52,28.2
2004-02-27,47,27.31
2004-03-05,66,28.43
2004-03-12,70,28.05
2004-03-19,73,27.76
2004-03-26,72,29.4
2004-04-02,72,30.38
2004-04-16,52,31.88
2004-04-23,52,31.92
2004-04-30,44,32.86
2004-05-07,59,33.2
2004-05-14,46,33.95
2004-05-21,98,33.61
2004-05-28,65,34.4
2004-06-04,41,33.99
2004-06-18,72,35.16
2004-06-25,100,33.92
2004-07-02,44,30.49
2004-07-09,42,29.65
2004-07-16,53,30.41
2004-07-23,63,32.1
2004-07-30,57,32.17
2004-08-06,87,30.18
2004-08-13,73,29.22
2004-08-20,84,30.73
2004-08-27,55,31.53
2004-09-03,41,31.45
2004-09-10,58,27.29
2004-09-17,76,27.6
2004-09-24,37,27.39
2004-10-01,47,26
2004-10-08,72,24.44
2004-10-15,71,24.34
2004-10-22,42,24.98
2004-10-29,35,26.66
2004-11-05,58,27.98
2004-11-12,41,29.6
2004-11-19,41,28.44
2004-11-26,67,29.17
2004-12-03,43,30.32
2004-12-10,66,32
2004-12-17,70,31.9
2004-12-31,56,31.46
2005-01-07,57,30.88
2005-01-14,37,31.01
2005-01-21,48,30.85
2005-01-28,62,33.54
2005-02-04,57,36.3
2005-02-11,58,36.34
2005-02-18,69,36.77
2005-02-25,62,37.79
2005-03-04,44,38.2
2005-03-11,61,37.6
2005-03-18,27,37.06
2005-04-01,54,37.86
2005-04-08,58,38.15
2005-04-15,53,37.3
2005-04-22,91,35.08
2005-04-29,69,37
2005-05-06,77,38.04
2005-05-13,51,37.68
2005-05-20,61,38.94
2005-05-27,55,40.25
2005-06-03,69,40.2
2005-06-10,49,40.25
2005-06-17,75,42.8
2005-06-24,44,43.29
2005-07-01,80,44.9
2005-07-08,41,44.55
2005-07-15,34,45.22
2005-07-22,79,44.57
2005-07-29,57,45
2005-08-05,43,46.6
2005-08-12,40,46.97
2005-08-19,77,46.05
2005-08-26,48,45.62
2005-09-02,57,46.27
2005-09-09,58,45
2005-09-16,76,46.47
2005-09-23,57,45.79
2005-09-30,44,47.45
2005-10-07,55,45.6
2005-10-14,54,44.14
2005-10-21,72,43.87
2005-10-28,62,45.19
2005-11-04,35,45.07
2005-11-11,58,45.85
2005-11-18,62,48.38
2005-11-25,66,50.13
2005-12-02,60,50.34
2005-12-09,48,51.93
2005-12-16,77,52.21
2005-12-23,61,52.13
2005-12-30,61,51.59
2006-01-06,67,53.3
2006-01-13,61,51.15
2006-01-20,81,51.01
2006-01-27,68,53.8
2006-02-03,64,53.82
2006-02-10,77,53.15
2006-02-17,79,54.6
2006-02-24,58,53.6
2006-03-03,91,53.74
2006-03-10,52,53.88
2006-03-17,61,53.52
2006-03-24,52,52.63
2006-03-31,91,52.13
2006-04-07,62,51.22
2006-04-21,74,49.61
2006-04-28,64,48.59
2006-05-05,58,48.88
2006-05-12,68,47.8
2006-05-19,74,48.61
2006-05-26,64,48.74
2006-06-02,88,49.8
2006-06-09,45,45.66
2006-06-16,53,45.85
2006-06-23,51,45.71
2006-06-30,54,47.28
2006-07-07,48,47.16
2006-07-14,43,45.67
2006-07-21,63,49.41
2006-07-28,63,51.15
2006-08-04,62,51.18
2006-08-11,58,51.1
2006-08-18,64,52.08
2006-08-25,64,51.38
2006-09-01,66,51.84
2006-09-08,54,53.49
2006-09-15,61,54.13
2006-09-22,61,52.45
2006-09-29,69,52.72
2006-10-06,53,50.54
2006-10-13,50,49.85
2006-10-20,72,51.37
2006-10-27,67,50.9
2006-11-03,72,48.52
2006-11-10,60,49.41
2006-11-17,63,49.55
2006-11-24,48,48.18
2006-12-01,72,49.23
2006-12-08,58,48.96
2006-12-15,55,51.18
2006-12-22,61,50.72
2006-12-29,44,50.7
2007-01-05,51,51.31
