"Date","Delta.Air.Lines","Price"
2007-05-04,39,20.98
2007-05-11,23,19.3
2007-05-18,26,19.31
2007-05-25,27,18.76
2007-06-01,20,19.55
2007-06-08,28,18.83
2007-06-15,24,18.88
2007-06-22,26,19.75
2007-06-29,27,19.7
2007-07-06,25,20.83
2007-07-13,24,20.5
2007-07-20,25,21.4
2007-07-27,23,18.59
2007-08-03,26,18.7
2007-08-10,27,17.56
2007-08-17,24,16
2007-08-24,28,18.24
2007-08-31,24,16.88
2007-09-07,21,17.62
2007-09-14,18,17.65
2007-09-21,17,17.56
2007-09-28,22,17.95
2007-10-05,22,19.19
2007-10-12,23,19.96
2007-10-19,20,19.5
2007-10-26,18,19.74
2007-11-02,19,19.93
2007-11-09,21,16.5
2007-11-16,18,19.97
2007-11-23,24,18.15
2007-11-30,19,19.76
2007-12-07,19,18.7
2007-12-14,17,15.6
2007-12-21,18,15.08
2007-12-28,20,14.6
2008-01-04,22,13.37
2008-01-11,24,15.48
2008-01-18,23,15.14
2008-01-25,21,16.21
2008-02-01,22,18.53
2008-02-08,18,18.19
2008-02-15,21,17.32
2008-02-22,20,16.37
2008-02-29,21,13.35
2008-03-07,20,12.89
2008-03-14,22,9.6
2008-03-28,23,8.61
2008-04-04,22,8.75
2008-04-11,23,10.01
2008-04-18,26,8.75
2008-04-25,21,7.01
2008-05-02,20,8.5
2008-05-09,23,7.65
2008-05-16,22,7.5
2008-05-23,19,5.5
2008-05-30,19,6.15
2008-06-06,24,6.3
2008-06-13,24,5.32
2008-06-20,18,5.68
2008-06-27,26,5.52
2008-07-11,27,4.93
2008-07-18,23,6.93
2008-07-25,26,7.34
2008-08-01,26,7.7
2008-08-08,24,9.12
2008-08-15,22,9.41
2008-08-22,22,8.63
2008-08-29,20,8.13
2008-09-05,20,8.81
2008-09-12,18,8.13
2008-09-19,20,9.67
2008-09-26,18,7.95
2008-10-03,16,7.86
2008-10-10,16,6.03
2008-10-17,18,9.19
2008-10-24,15,8.31
2008-10-31,16,10.98
2008-11-07,16,9.46
2008-11-14,17,7.85
2008-11-21,16,6.82
2008-11-28,14,8.81
2008-12-05,15,10.36
2008-12-12,14,10.5
2008-12-19,15,10.57
2008-12-26,15,10.6
2009-01-02,14,12.13
2009-01-09,13,11.76
2009-01-16,15,11.43
2009-01-23,14,10.26
2009-01-30,15,6.9
2009-02-06,12,7.34
2009-02-13,15,7.11
2009-02-20,14,5.56
2009-02-27,13,5.03
2009-03-06,15,4.06
2009-03-13,14,5.82
2009-03-20,10,5.02
2009-03-27,15,6.04
2009-04-03,12,6.64
2009-04-17,11,7.32
2009-04-24,12,7.88
2009-05-01,13,6.42
2009-05-08,11,6.96
2009-05-15,13,6.33
2009-05-22,13,6.22
2009-05-29,10,5.81
2009-06-05,14,7.02
2009-06-12,12,6.4
2009-06-19,13,6.07
2009-06-26,12,5.7
2009-07-10,12,5.9
2009-07-17,14,6.08
2009-07-24,10,6.2
2009-07-31,14,6.93
2009-08-07,12,7.41
2009-08-14,10,7.02
2009-08-21,11,7.13
2009-08-28,9,7.34
2009-09-04,10,7.39
2009-09-11,7,8.06
2009-09-18,9,8.96
2009-09-25,8,9.05
2009-10-02,10,8.32
2009-10-09,10,8.67
2009-10-16,9,9.03
2009-10-23,8,8.24
2009-10-30,8,7.14
2009-11-06,8,7.79
2009-11-13,8,7.8
2009-11-20,9,7.62
2009-11-27,7,7.91
2009-12-04,7,9.94
2009-12-11,8,11.25
2009-12-18,8,11.66
2010-01-08,9,12.47
2010-01-15,10,12.74
2010-01-22,9,13.29
2010-01-29,9,12.23
2010-02-05,9,11.3
2010-02-12,11,12.25
2010-02-19,9,12.69
2010-02-26,10,12.92
2010-03-05,10,12.7
