"Date","TDC","Price"
2007-10-05,75,27.15
2007-10-12,72,28.4
2007-10-19,67,27.53
2007-10-26,70,28.9
2007-11-02,90,27.94
2007-11-09,70,24.77
2007-11-16,69,23.8
2007-11-23,76,24.84
2007-11-30,75,25.96
2007-12-07,72,26.52
2007-12-14,76,27.12
2007-12-21,75,26.87
2007-12-28,74,27.5
2008-01-04,75,26.62
2008-01-11,77,25.75
2008-01-18,72,24.17
2008-01-25,72,23.02
2008-02-01,75,23.61
2008-02-08,76,22.66
2008-02-15,73,23.72
2008-02-22,71,24.93
2008-02-29,74,25.23
2008-03-07,73,24.94
2008-03-14,70,23.71
2008-03-28,69,21.92
2008-04-04,100,21.89
2008-04-11,78,21.52
2008-04-18,75,21.99
2008-04-25,77,21.77
2008-05-02,72,22.44
2008-05-09,73,23.47
2008-05-16,67,25.14
2008-05-23,69,25.33
2008-05-30,68,27.01
2008-06-06,64,25.23
2008-06-13,73,24.14
2008-06-20,72,23.14
2008-06-27,73,23.25
2008-07-11,67,22.32
2008-07-18,63,22.79
2008-07-25,59,22.22
2008-08-01,65,22.39
2008-08-08,72,25.15
2008-08-15,68,24.95
2008-08-22,72,24.69
2008-08-29,69,24.57
2008-09-05,69,23.63
2008-09-12,73,22.99
2008-09-19,63,22.2
2008-09-26,65,20.61
2008-10-03,69,17.1
2008-10-10,69,15.22
2008-10-17,68,16.86
2008-10-24,68,14.67
2008-10-31,70,15.39
2008-11-07,63,14.48
2008-11-14,67,12.01
2008-11-21,65,12.06
2008-11-28,70,13.43
2008-12-05,69,13.64
2008-12-12,69,14.92
2008-12-19,71,15.07
2008-12-26,65,14.6
2009-01-02,67,15.92
2009-01-09,78,15.42
2009-01-16,72,15.23
2009-01-23,72,13.93
2009-01-30,82,13.13
2009-02-06,76,13.35
2009-02-13,69,15.12
2009-02-20,73,14.44
2009-02-27,73,15.46
2009-03-06,71,16.01
2009-03-13,73,17.12
2009-03-20,67,16.42
2009-03-27,69,16.87
2009-04-03,68,16.38
2009-04-17,61,16.39
2009-04-24,59,16.48
2009-05-01,64,17.1
2009-05-08,65,20.91
2009-05-15,65,20.6
2009-05-22,60,21.07
2009-05-29,63,21.6
2009-06-05,58,24.09
2009-06-12,68,23.99
2009-06-19,69,23.01
2009-06-26,60,23.06
2009-07-10,66,22.6
2009-07-17,57,24.68
2009-07-24,58,24.66
2009-07-31,64,24.57
2009-08-07,60,26.88
2009-08-14,70,27.1
2009-08-21,70,26.38
2009-08-28,66,27.05
2009-09-04,68,26.19
2009-09-11,63,26.18
2009-09-18,66,26.38
2009-09-25,60,27.57
2009-10-02,63,26.35
2009-10-09,60,27.43
2009-10-16,61,28.6
2009-10-23,59,28.33
2009-10-30,61,27.88
2009-11-06,63,28.62
2009-11-13,62,30.18
2009-11-20,62,29.43
2009-11-27,66,28.83
2009-12-04,59,30.56
2009-12-11,61,30.76
2009-12-18,59,31.21
2010-01-08,60,30.79
2010-01-15,59,30.08
2010-01-22,59,28.67
2010-01-29,58,27.97
2010-02-05,61,27.66
2010-02-12,56,28.72
2010-02-19,59,29.84
2010-02-26,57,30.49
2010-03-05,60,30.5
2010-03-12,60,29.68
2010-03-19,55,28.94
2010-03-26,52,28.96
2010-04-09,57,28.25
2010-04-16,56,29.95
2010-04-23,60,30.6
2010-04-30,56,29.07
2010-05-07,55,29.41
2010-05-14,62,32.3
2010-05-21,57,31.22
2010-05-28,55,31.94
2010-06-04,59,31.57
2010-06-11,64,32.55
2010-06-18,58,33.98
2010-06-25,59,32.89
2010-07-02,51,29.85
2010-07-09,55,31.15
2010-07-16,51,31.36
2010-07-23,47,32.96
2010-07-30,53,31.8
2010-08-06,58,32.34
2010-08-13,65,29.8
2010-08-20,62,30.49
2010-08-27,60,32.46
2010-09-03,58,34.72
2010-09-10,59,34.73
2010-09-17,59,34.47
2010-09-24,57,38.57
2010-10-01,58,39.08
2010-10-08,57,38.09
2010-10-15,58,38.61
2010-10-22,57,38.35
2010-10-29,57,39.36
2010-11-05,59,41.03
2010-11-12,60,40.2
2010-11-19,59,40.1
2010-11-26,58,41
2010-12-03,61,41.55
2010-12-10,63,43.04
2010-12-17,60,43.5
2010-12-31,54,41.16
2011-01-07,57,44.15
2011-01-14,56,46.05
2011-01-21,54,44.91
2011-01-28,56,42.88
2011-02-04,55,45.01
2011-02-11,54,48.97
2011-02-18,54,49.45
2011-02-25,55,47.48
2011-03-04,53,49.79
2011-03-11,51,49.68
2011-03-18,49,49.35
2011-03-25,50,51.14
2011-04-01,51,50.59
2011-04-08,52,50.31
2011-04-15,50,50.74
2011-04-29,49,55.92
