"Date","buy.BBT","Price"
2010-12-03,76,24.71
2011-01-28,72,27.26
2011-02-04,71,28.44
2011-02-11,71,29.12
2011-02-18,75,28.41
2011-02-25,79,27.65
2011-03-04,83,26.37
2011-04-15,92,26.53
2011-04-29,77,26.92
2011-05-06,77,26.98
2011-05-13,77,26.63
2011-05-20,77,26.56
2011-10-14,85,22.54
2011-10-21,94,23.05
2011-10-28,73,23.91
2011-11-04,73,23.37
2011-11-11,72,23.58
2011-11-18,72,22.68
2011-11-25,98,21.17
2011-12-02,66,23.4
2011-12-09,77,23.79
2011-12-16,75,24.05
2011-12-23,75,25.48
2011-12-30,66,25.17
2012-01-06,66,25.79
2012-01-13,85,27.23
2012-01-20,61,27.49
2012-01-27,81,26.95
2012-02-03,100,29.12
2012-02-10,61,29.33
2012-02-17,72,30.33
2012-02-24,56,29.48
2012-03-02,56,29.31
2012-03-09,62,29.46
2012-03-16,61,31.06
2012-03-23,61,30.99
2012-03-30,63,31.39
2012-04-13,69,30.49
2012-04-20,54,31.58
2012-04-27,54,32.63
2012-05-04,54,31.57
2012-05-11,54,31.75
2012-05-18,57,29.68
2012-05-25,60,30.43
2012-06-01,54,28.35
2012-06-08,54,29.01
2012-06-15,54,29.82
2012-06-22,54,30.39
2012-06-29,54,30.85
2012-08-24,56,31.11
2012-08-31,62,31.54
2012-09-07,69,32.86
2012-09-14,57,33.99
2012-09-21,57,33.31
2012-09-28,57,33.16
2012-10-05,57,33.64
2012-10-12,50,32.34
2012-10-19,52,29.78
2012-10-26,55,29.01
2012-11-02,54,29.42
2012-11-09,57,27.55
2012-11-16,59,28.04
2012-11-23,65,28.81
2012-11-30,71,28.17
2012-12-07,47,28.42
2012-12-14,62,28.29
2012-12-21,79,29.45
2012-12-28,91,28.85
2013-01-04,51,30.2
2013-01-11,51,30.31
2013-01-18,54,31.04
2013-01-25,45,30.87
2013-02-01,49,31.12
2013-02-08,67,30.65
2013-02-15,49,30.27
2013-02-22,49,30.58
2013-03-01,49,30.66
2013-03-08,49,31.4
2013-03-15,65,30.98
2013-03-22,59,30.8
2013-04-05,53,30.1
2013-04-12,44,31.01
2013-04-19,44,29.69
2013-04-26,49,30.57
2013-05-03,54,30.94
2013-06-14,57,32.78
2013-06-21,44,33.68
2013-06-28,51,33.88
2013-07-05,59,34.88
2013-07-12,66,34.8
2013-07-19,73,35.1
2013-07-26,81,35.74
2013-08-02,44,36.42
2013-08-09,58,35.46
2013-08-16,46,35.53
2013-08-23,46,35.76
2013-08-30,46,33.96
2013-09-06,46,33.52
2013-09-13,47,34.01
2013-09-20,48,35.05
2013-09-27,49,33.97
2013-10-04,49,33.67
2013-10-11,41,33.73
2013-10-18,53,33.6
2013-10-25,65,34.81
2013-11-01,41,33.89
2013-11-08,48,33.63
2013-11-15,54,33.78
2013-11-22,60,34.74
2013-11-29,49,34.74
2013-12-06,48,34.95
2013-12-13,57,35.34
2013-12-20,58,36.68
2013-12-27,52,37.1
2014-01-03,52,36.93
2014-01-10,55,38.66
2014-01-17,58,38.78
2014-01-24,42,38.26
2014-01-31,42,37.41
2014-02-07,42,37.29
2014-02-14,42,37.6
2014-02-21,49,37.22
2014-02-28,57,37.8
2014-03-07,46,39.18
2014-03-14,50,38.47
2014-03-21,53,40.19
2014-03-28,57,39.83
2014-04-04,60,40.04
2014-04-11,53,38.65
