"Date","sell.MET","Price"
2008-05-16,100,61.77
2008-05-23,11,58.87
2008-09-19,8,60.24
2009-07-10,7,27.36
2009-07-17,7,30.45
2009-07-24,8,33.69
2009-07-31,9,33.95
2009-12-18,6,35.42
2010-01-08,9,38.25
2010-01-15,6,37.85
2010-01-22,6,36.12
2010-01-29,6,35.32
2010-02-05,6,34.68
2010-02-12,8,34.64
2010-02-19,6,35.03
2010-02-26,6,36.39
2010-03-05,5,38.92
2010-05-07,6,40.71
2010-05-14,5,41.32
2010-05-21,6,39.48
2010-05-28,7,40.49
2010-07-23,5,39.54
2010-09-03,7,41.46
2010-09-10,5,40.49
2010-10-29,4,40.33
2010-11-05,5,42.1
2010-11-12,5,39.64
2010-11-19,6,38.85
2010-11-26,6,37.74
2010-12-03,5,40.14
2010-12-10,6,43.97
2010-12-17,6,43.93
2010-12-31,5,44.44
2011-01-07,5,46.07
2011-01-14,6,46.62
2011-01-21,6,46.21
2011-01-28,5,45.5
2011-02-04,4,47.34
2011-02-11,4,48.23
2011-04-08,4,44.53
2011-04-15,5,43.96
2011-04-29,4,46.79
2011-05-06,4,44.83
2011-05-13,4,44.41
2011-05-20,4,44.22
2011-05-27,4,43.76
2011-06-03,4,41.77
2011-06-10,4,40.91
2011-06-17,4,40.37
2011-06-24,4,40.99
2011-07-01,4,44.38
2011-07-08,4,43.52
2011-07-15,5,41.57
2011-07-22,4,41.74
2011-07-29,4,41.21
2011-08-05,5,36.35
2011-08-12,5,33.26
2011-08-19,7,31.13
2011-08-26,4,31.46
2011-09-02,4,30.77
2011-09-09,4,29.88
2011-09-16,4,33.04
2011-09-23,4,26.82
2011-09-30,4,28.01
2011-10-07,5,28.8
2011-10-14,5,32.17
2011-10-21,5,33.51
2011-10-28,4,36.82
2011-11-04,6,34.77
2011-11-11,7,33.07
2011-11-18,11,30.62
2011-11-25,10,27.91
2011-12-02,8,31.76
2011-12-09,10,31.79
2011-12-16,7,30.23
2011-12-23,9,31.1
2011-12-30,8,31.18
2012-01-06,12,32.9
2012-01-13,10,35.24
2012-01-20,9,36.35
2012-01-27,12,35.52
2012-02-03,8,37.63
2012-02-10,10,36.89
2012-02-17,9,38.86
2012-02-24,10,37.76
2012-03-02,11,38.46
2012-03-09,9,38.42
2012-03-16,11,38.38
2012-03-23,7,37.64
2012-03-30,6,37.35
2012-04-13,3,35.64
2012-04-20,3,34.96
2012-04-27,5,36.31
2012-05-04,3,34.24
2012-05-11,4,34.69
2012-05-18,4,30.21
2012-05-25,4,30.33
2012-06-01,4,27.83
2012-06-08,5,29.75
2012-06-15,6,29.96
2012-06-22,6,30.03
2012-06-29,7,30.85
2012-07-06,4,30.51
2012-07-13,4,30.89
2012-07-20,8,29.53
2012-07-27,5,30.44
2012-08-03,5,33.19
2012-08-10,4,34.97
2012-08-17,5,34.79
2012-08-24,5,34.65
2012-08-31,4,34.13
2012-09-07,4,35.28
2012-09-14,5,36.25
2012-09-21,5,34.87
2012-09-28,4,34.46
2012-10-05,6,35.16
2012-10-12,4,35
2012-10-19,3,35.93
2012-10-26,7,35.22
2012-11-02,5,34.7
2012-11-09,5,32.02
2012-11-16,3,31.56
2012-11-23,5,33.23
2012-11-30,3,33.19
2012-12-07,4,32.89
2012-12-14,4,31.84
2012-12-21,5,33.07
2012-12-28,5,32.27
2013-01-04,5,35.95
2013-01-11,7,36.34
2013-01-18,6,36.31
2013-01-25,8,37.65
2013-02-01,4,38.2
2013-02-08,3,36.9
2013-02-15,3,36.44
2013-02-22,4,35.78
2013-03-01,3,35.32
2013-03-08,6,39.03
2013-03-15,3,40.2
2013-03-22,4,38.4
2013-04-05,3,36.58
2013-04-12,4,36.8
2013-04-19,4,35.6
2013-04-26,4,38.53
2013-05-03,2,40.48
2013-05-10,6,41.16
2013-05-17,5,43.28
2013-05-24,3,42.04
2013-05-31,5,44.21
2013-06-07,3,45.06
2013-06-14,3,43.97
2013-06-21,4,45.04
2013-06-28,5,45.76
2013-07-05,5,47.52
2013-07-12,5,49.08
2013-07-19,5,48.64
2013-07-26,6,48.93
2013-08-02,2,50.8
2013-08-09,4,49.77
2013-08-16,5,48.28
2013-08-23,5,48.26
2013-08-30,4,46.19
2013-09-06,3,47.98
2013-09-13,4,48.83
2013-09-20,3,47.49
2013-09-27,3,47.21
2013-10-04,4,47.69
2013-10-11,5,48.74
2013-10-18,3,49.45
2013-10-25,5,48.63
2013-11-01,3,47.32
2013-11-08,3,50.14
2013-11-15,4,52.01
2013-11-22,4,52.65
2013-11-29,5,52.19
2013-12-06,5,51.67
2013-12-13,4,51.19
2013-12-20,3,53.12
2013-12-27,4,53.96
2014-01-03,4,53.81
2014-01-10,4,54.1
2014-01-17,4,52.96
2014-01-24,4,49.51
2014-01-31,5,49.05
2014-02-07,4,49.11
2014-02-14,5,50.39
2014-02-21,3,50.52
2014-02-28,3,50.67
2014-03-07,3,53.15
2014-03-14,5,51.71
2014-03-21,3,53.42
2014-03-28,3,52.56
2014-04-04,5,52.84
2014-04-11,3,49.19
2014-04-25,4,51.09
