"Date","Monster.Beverage","Price"
2008-02-01,19,39.19
2008-03-28,21,34.67
2008-05-16,20,29.48
2008-05-23,22,28.8
2008-05-30,24,31.24
2008-06-06,18,34.38
2009-05-01,14,41.09
2009-05-08,16,42.55
2009-05-15,18,42.61
2009-05-22,16,39.31
2009-05-29,16,36.68
2009-06-05,16,32.36
2009-06-12,16,31.25
2009-10-02,13,36.25
2009-10-09,13,36.96
2009-10-16,13,37.65
2009-10-23,15,37.45
2009-10-30,11,36.15
2009-11-06,11,34.46
2009-11-13,11,35.15
2009-11-20,12,35.42
2009-11-27,12,34.76
2009-12-04,13,35.47
2010-03-19,10,42.93
2010-03-26,11,43.19
2010-04-09,12,42.46
2010-05-21,12,38.29
2010-05-28,11,39.05
2010-07-23,10,43.01
2010-07-30,12,41.89
2010-08-06,14,44.69
2010-08-13,12,44.31
2010-10-01,10,46.96
2010-10-08,9,47.19
2010-10-15,9,50.16
2010-10-22,10,51.68
2010-10-29,12,51.21
2010-11-05,9,51.54
2011-01-07,10,53.38
2011-03-04,9,56.19
2011-03-11,10,55.38
2011-03-18,10,55.34
2011-03-25,11,59.08
2011-04-01,11,61
2011-04-08,11,61.98
2011-04-15,9,63.28
2011-04-29,10,66.15
2011-05-06,11,64.74
2011-05-13,12,66.5
2011-05-20,12,69.56
2011-05-27,9,70.89
2011-06-03,9,72.78
2011-06-10,9,71.59
2011-06-17,9,72.31
2011-06-24,8,78.05
2011-07-01,9,83.63
2011-07-08,9,81
2011-07-15,9,78.29
2011-07-22,9,80.51
2011-07-29,9,76.62
2011-08-05,9,75.92
2011-08-12,8,80.88
2011-08-19,10,79.51
2011-08-26,9,84.63
2011-09-02,9,83.63
2011-09-09,9,86.46
2011-09-16,9,92.11
2011-09-23,12,87.81
2011-09-30,8,87.29
2011-10-07,7,86.05
2011-10-14,7,94.37
2011-10-21,9,92.75
2011-10-28,12,86.72
2011-11-04,7,95.56
2011-11-11,7,93.45
2011-11-18,7,91.01
2011-11-25,7,85.02
2011-12-02,8,93.83
2011-12-09,8,97.14
2011-12-16,8,95.89
2011-12-23,8,94.94
2011-12-30,7,92.14
2012-01-06,9,95.38
2012-01-13,10,96.99
2012-01-20,11,104.52
2012-01-27,13,107.53
2012-02-03,12,105.71
2012-02-10,12,108.29
2012-02-17,21,53.2
2012-02-24,15,56.38
2012-03-02,13,58.59
2012-03-09,13,59.57
2012-03-16,14,59.54
2012-03-23,13,60.53
2012-03-30,16,62.09
2012-04-13,17,64.26
2012-04-20,12,63.51
2012-04-27,10,65.53
2012-05-04,91,66.74
2012-05-11,36,71.55
2012-05-18,17,68.6
2012-05-25,17,71.58
2012-06-01,18,70.54
2012-06-08,13,76.1
2012-06-15,15,78.64
2012-06-22,17,73.61
2012-06-29,13,71.2
2012-07-06,11,73.43
2012-07-13,12,73.73
2012-07-20,17,64.97
2012-07-27,15,68.16
2012-08-03,12,66.78
2012-08-10,39,54.27
2012-08-17,23,60.84
2012-08-24,13,59.75
2012-08-31,19,58.94
2012-09-07,11,58.22
2012-09-14,12,53.77
2012-09-21,16,54.7
2012-09-28,15,54.06
2012-10-05,15,57.03
2012-10-12,11,57.08
2012-10-19,11,53.32
2012-10-26,100,45.86
2012-11-02,22,44.03
2012-11-09,24,45.26
2012-11-16,15,45.47
2012-11-23,13,45.94
2012-11-30,22,52.05
2012-12-07,12,52.78
2012-12-14,19,53.38
2012-12-21,9,52.09
2012-12-28,7,51.88
2013-01-04,10,51.89
2013-01-11,7,50.92
2013-01-18,13,47.82
2013-01-25,16,46.71
2013-02-01,10,47.65
2013-02-08,8,46.84
2013-02-15,19,51.08
2013-02-22,12,50.69
2013-03-01,19,50.66
2013-03-08,17,47.34
2013-03-15,13,48.38
2013-03-22,12,48.5
2013-04-05,17,49.68
2013-04-12,12,56.75
2013-04-19,13,55.71
2013-04-26,15,56.65
2013-05-03,17,57.44
2013-05-10,20,54.23
2013-05-17,10,56.91
2013-05-24,9,55.91
2013-05-31,6,54.59
2013-06-07,13,61.62
2013-06-14,10,59.26
2013-06-21,10,56.22
2013-06-28,10,60.83
2013-07-05,9,60.59
2013-07-12,8,59.86
2013-07-19,7,63.39
2013-07-26,6,62.88
2013-08-02,9,63.37
2013-08-09,14,63.7
2013-08-16,9,58.24
2013-08-23,7,59.6
2013-08-30,6,57.39
2013-09-06,8,55.25
2013-09-13,10,55.05
2013-09-20,11,55.9
2013-09-27,8,53.07
2013-10-04,11,51.87
2013-10-11,7,53.75
2013-10-18,8,57.72
2013-10-25,6,58.15
2013-11-01,7,56.69
2013-11-08,7,55.16
2013-11-15,14,57.46
2013-11-22,7,57.32
2013-11-29,8,59.18
2013-12-06,7,63.05
2013-12-13,7,61.46
2013-12-20,6,66.24
2013-12-27,5,67.42
2014-01-03,6,67.52
2014-01-10,5,69.82
2014-01-17,7,69.12
2014-01-24,7,67.55
2014-01-31,8,67.9
2014-02-07,9,68.47
2014-02-14,7,71.59
2014-02-21,8,74.79
2014-02-28,9,74
2014-03-07,10,73.39
2014-03-14,8,70.06
2014-03-21,6,68.83
2014-03-28,5,69.49
2014-04-04,8,66.66
2014-04-11,11,63.27
2014-04-25,9,65.78
