"Date","buy.TE","Price"
2005-05-20,100,17.46
2006-03-10,74,16.18
2006-08-18,65,15.76
2006-12-08,56,17.16
2006-12-15,61,17.42
2006-12-22,61,17.19
2006-12-29,62,17.23
2007-01-05,62,17.04
2007-01-12,62,16.72
2007-01-19,54,16.88
2007-01-26,54,16.85
2007-02-02,54,17.05
2007-02-09,54,17
2007-02-16,47,16.74
2007-02-23,47,16.93
2007-03-02,52,16.67
2007-04-13,45,18.01
2007-04-20,56,18.01
2007-04-27,57,18.05
2007-05-04,57,18.28
2007-05-11,58,18.12
2007-05-18,59,18.14
2007-05-25,59,17.25
2007-06-01,40,17.55
2007-06-08,40,16.57
2007-06-15,40,17.16
2007-06-22,40,16.81
2007-06-29,51,17.18
2007-08-17,60,15.92
2007-10-19,37,15.85
2007-10-26,56,16.74
2007-11-02,48,17.1
2007-11-09,52,17.23
2007-11-16,32,17.1
2007-11-23,56,17.12
2007-11-30,32,17.32
2007-12-07,32,17.78
2007-12-14,32,17.02
2007-12-21,44,17.37
2007-12-28,54,17.36
2008-01-04,37,16.94
2008-01-11,44,17.24
2008-01-18,33,16.03
2008-01-25,57,15.77
2008-02-01,54,16.92
2008-02-08,45,16.22
2008-02-15,45,15.44
2008-02-22,45,15.37
2008-02-29,32,14.98
2008-03-07,46,14.96
2008-03-14,40,14.9
2008-03-28,34,15.6
2008-04-04,34,16.3
2008-04-11,34,16.22
2008-04-18,55,16.69
2008-04-25,31,16.76
2008-05-02,31,16.64
2008-05-09,31,19.05
2008-05-16,31,19.36
2008-05-23,33,19.83
2008-05-30,37,20.37
2008-06-06,50,21.29
2008-06-13,52,21.42
2008-06-20,54,21.54
2008-06-27,32,20.88
2008-07-11,37,20.56
2008-07-18,44,19.61
2008-07-25,29,19.22
2008-08-01,46,17.59
2008-08-08,72,17.19
2008-08-15,41,17.28
2008-08-22,51,17.34
2008-08-29,71,17.84
2008-09-05,56,16.17
2008-09-12,41,16.95
2008-09-19,34,17.22
2008-09-26,44,16.84
2008-10-03,41,14.82
2008-10-10,38,12.3
2008-10-17,60,13.96
2008-10-24,59,13.54
2008-10-31,50,11.54
2008-11-07,35,11.99
2008-11-14,43,12.08
2008-11-21,59,11.78
2008-11-28,34,13
2008-12-05,47,11.36
2008-12-12,51,12.11
2008-12-19,65,11.96
2008-12-26,44,11.62
2009-01-02,46,12.71
2009-01-09,51,12.01
2009-01-16,48,12.09
2009-01-23,58,11.89
2009-01-30,45,12.01
2009-02-06,77,12.5
2009-02-13,61,11.26
2009-02-20,73,9.71
2009-02-27,44,9.59
2009-03-06,45,9.27
2009-03-13,49,10.12
2009-03-20,52,11
2009-03-27,44,11.05
2009-04-03,45,11.09
2009-04-17,57,10.6
2009-04-24,51,10.5
