"Date","XLNX","Price"
2006-03-24,100,25.7
2006-11-10,60,26.92
2007-01-19,53,23.88
2007-01-26,45,24.49
2007-04-27,53,29.6
2007-11-02,36,24.12
2007-11-09,33,23.03
2007-11-16,33,22.97
2007-11-23,33,21.69
2007-11-30,33,21.9
2007-12-07,33,22.39
2007-12-14,34,22.11
2007-12-21,35,22.34
2007-12-28,35,21.92
2008-01-04,36,20.36
2008-01-11,39,19.52
2008-01-18,37,21.53
2008-01-25,29,21.35
2008-02-01,30,23.33
2008-02-08,31,21.43
2008-02-15,32,21.57
2008-02-22,31,21.59
2008-02-29,31,22.36
2008-03-07,30,22.63
2008-05-16,38,26.94
2008-05-23,39,26.22
2008-05-30,39,27.2
2008-06-06,40,27.29
2008-06-13,30,27.47
2008-06-20,30,27.36
2008-06-27,30,25.27
2008-07-11,30,23.59
2008-07-18,36,24.36
2008-09-12,25,22.94
2008-09-19,27,24.05
2008-09-26,25,23.98
2008-10-03,25,22.02
2008-10-10,39,19.29
2008-10-17,50,20.49
2008-10-24,23,18.06
2008-10-31,23,18.42
2008-11-07,34,16.76
2008-11-14,32,15.95
2008-11-21,32,15.3
2008-11-28,35,16.36
2008-12-05,39,15.74
2008-12-12,23,17.34
2008-12-19,25,17.31
2008-12-26,24,16.29
2009-01-02,24,18.36
2009-01-09,24,16.31
2009-01-16,28,16.93
2009-01-23,34,16
2009-01-30,41,16.85
2009-02-06,50,18.69
2009-02-13,31,18.42
2009-02-20,25,16.79
2009-02-27,29,17.68
2009-03-06,39,17.82
2009-03-13,33,19.22
2009-03-20,54,19.3
2009-03-27,29,19.49
2009-04-03,29,19.99
2009-04-17,38,21.58
2009-04-24,28,20.22
2009-05-01,27,20.45
2009-05-08,22,18.72
2009-05-15,24,18.92
2009-05-22,38,19.26
2009-05-29,30,20.74
2009-06-05,22,20.92
2009-06-12,24,20.91
2009-06-19,29,20.07
2009-07-31,24,21.69
2009-09-11,24,23.25
2009-09-18,28,22.81
2009-09-25,31,23.17
2009-10-02,29,22.16
2009-10-09,34,23.2
2009-10-16,54,23.3
2009-10-23,56,22.91
2009-10-30,35,21.75
2009-11-06,31,21.89
2009-11-13,34,22.94
2009-11-20,36,22.28
2009-11-27,27,22.63
2009-12-04,27,23.37
2009-12-11,24,23.7
2009-12-18,28,24.65
2010-01-08,22,25
2010-01-15,21,23.52
