"Date","SNA","Price"
2004-02-06,88,31.39
2004-02-13,100,31.25
2004-02-20,92,31.63
2004-02-27,71,32
2004-03-05,57,33.15
2004-03-12,55,31.28
2004-03-19,76,31.71
2004-03-26,75,32.01
2004-04-02,94,33.2
2004-04-16,65,33
2004-04-23,72,33.55
2004-04-30,85,33.78
2004-05-07,86,32.58
2004-05-14,76,33.02
2004-05-21,78,33.12
2004-05-28,72,33.63
2004-06-04,71,33.05
2004-06-18,85,33.66
2004-06-25,86,33.6
2004-07-02,81,33.6
2004-07-09,85,33.12
2004-07-16,78,32.27
2004-07-23,89,33.24
2004-07-30,91,32.11
2004-08-06,87,31.22
2004-08-13,72,31.13
2004-08-20,76,32.04
2004-08-27,79,32.04
2004-09-03,81,32.01
2004-09-10,83,32.29
2004-09-17,72,32.37
2004-09-24,78,31.92
2004-10-01,93,28.72
2004-10-08,72,28.59
2004-10-15,82,28.72
2004-10-22,75,28.46
2004-10-29,61,29.38
2004-11-05,76,30.19
2004-11-12,75,30.5
2004-11-19,72,30.64
2004-11-26,74,31.28
2004-12-03,73,32.53
2004-12-10,54,33.18
2004-12-17,77,33.91
2004-12-31,72,34.36
2005-01-07,68,33.31
2005-01-14,79,33.6
2005-01-21,64,33.58
2005-01-28,81,33.07
2005-02-04,88,34.99
2005-02-11,89,34.78
2005-02-18,82,33.75
2005-02-25,75,33
2005-03-04,71,33.33
2005-03-11,75,32.37
2005-03-18,69,31.73
2005-04-01,60,31.48
2005-04-08,74,31.86
2005-04-15,77,30.7
2005-04-22,69,32.76
2005-04-29,74,33.17
2005-05-06,67,33.61
2005-05-13,78,33.25
2005-05-20,86,33.96
2005-05-27,69,34.43
2005-06-03,78,33.79
2005-06-10,77,33.85
2005-06-17,87,34.88
2005-06-24,74,34.26
2005-07-01,83,34.28
2005-07-08,84,34.79
2005-07-15,87,34.8
2005-07-22,90,35.34
2005-07-29,75,36.68
2005-08-05,91,35.8
2005-08-12,77,35.83
2005-08-19,88,35.23
2005-08-26,72,35.4
2005-09-02,62,35.6
2005-09-09,71,36.2
2005-09-16,68,35.27
2005-09-23,63,34.64
2005-09-30,76,36.12
2005-10-07,59,35.85
2005-10-14,69,36.26
2005-10-21,67,37.29
2005-10-28,70,35.89
2005-11-04,81,35.58
2005-11-11,73,36.87
2005-11-18,78,37.28
2005-11-25,61,37.71
2005-12-02,67,38.29
2005-12-09,69,38.14
2005-12-16,53,38.54
2005-12-23,65,38.1
2005-12-30,58,37.56
2006-01-06,62,39.09
2006-01-13,60,38.82
2006-01-20,70,38.26
2006-01-27,69,39.75
2006-02-03,64,38.01
2006-02-10,59,37.66
2006-02-17,70,39.17
2006-02-24,68,39.48
2006-03-03,65,38.57
2006-03-10,66,37.85
2006-03-17,73,39.25
2006-03-24,67,38.83
2006-03-31,71,38.12
2006-04-07,64,37.66
2006-04-21,64,38.01
2006-04-28,58,41.5
2006-05-05,71,41.45
2006-05-12,64,39.82
2006-05-19,63,39.44
2006-05-26,58,41.19
2006-06-02,57,41.99
2006-06-09,73,40.3
2006-06-16,59,39.06
2006-06-23,69,39.01
2006-06-30,64,40.42
2006-07-07,64,39.24
2006-07-14,60,38.11
2006-07-21,67,36.39
2006-07-28,65,42.28
2006-08-04,64,42
2006-08-11,71,42.07
2006-08-18,75,42.57
2006-08-25,66,42.33
2006-09-01,65,43.79
2006-09-08,62,43.36
2006-09-15,72,44.63
2006-09-22,62,43.29
2006-09-29,65,44.55
2006-10-06,73,44.95
2006-10-13,58,45.2
2006-10-20,60,44.5
2006-10-27,66,47.15
2006-11-03,71,46.51
2006-11-10,68,46.76
2006-11-17,63,47.25
2006-11-24,66,47.74
2006-12-01,63,47.32
2006-12-08,64,47.76
2006-12-15,56,47.25
2006-12-22,70,47.32
2006-12-29,70,47.64
