"Date","CI","Price"
2004-02-06,56,56.55
2004-02-13,51,53.05
2004-02-20,56,55.09
2004-02-27,53,55.43
2004-03-05,47,56.17
2004-03-12,57,55.15
2004-03-19,54,57.17
2004-03-26,58,57.43
2004-04-02,56,60.65
2004-04-16,55,65.22
2004-04-23,60,66.75
2004-04-30,56,64.51
2004-05-07,50,65.98
2004-05-14,55,66.95
2004-05-21,53,65.54
2004-05-28,55,67.8
2004-06-04,58,68.84
2004-06-18,58,69.15
2004-06-25,55,67.19
2004-07-02,48,68.81
2004-07-09,56,65.46
2004-07-16,48,65.15
2004-07-23,51,62.95
2004-07-30,49,62.01
2004-08-06,52,59.2
2004-08-13,48,62.87
2004-08-20,51,64.44
2004-08-27,51,66.3
2004-09-03,51,68.86
2004-09-10,57,67.98
2004-09-17,56,69.47
2004-09-24,55,67.28
2004-10-01,52,70.6
2004-10-08,54,69.93
2004-10-15,53,67.08
2004-10-22,53,58.85
2004-10-29,53,63.46
2004-11-05,48,65.75
2004-11-12,56,69.93
2004-11-19,54,68.12
2004-11-26,57,70.3
2004-12-03,55,74.85
2004-12-10,52,81
2004-12-17,55,79.1
2004-12-31,57,81.57
2005-01-07,50,78.82
2005-01-14,55,83.33
2005-01-21,54,80.17
2005-01-28,56,78.6
2005-02-04,57,83.18
2005-02-11,51,89.66
2005-02-18,56,89.97
2005-02-25,55,91.4
2005-03-04,57,90.17
2005-03-11,58,87.2
2005-03-18,57,86.12
2005-04-01,57,88.95
2005-04-08,59,90.34
2005-04-15,61,90.03
2005-04-22,57,88
2005-04-29,59,91.98
2005-05-06,57,97.47
2005-05-13,57,94.74
2005-05-20,59,97.4
2005-05-27,55,98.89
2005-06-03,53,98.58
2005-06-10,55,103.18
2005-06-17,53,106.73
2005-06-24,52,106.84
2005-07-01,53,106.78
2005-07-08,55,109.12
2005-07-15,49,109.95
2005-07-22,47,103.91
2005-07-29,50,106.75
2005-08-05,50,111.26
2005-08-12,46,113.42
2005-08-19,49,112.89
2005-08-26,55,112.8
2005-09-02,54,115.6
2005-09-09,54,115.19
2005-09-16,56,115.1
2005-09-23,55,114.49
2005-09-30,51,117.86
2005-10-07,56,115.77
2005-10-14,55,111.59
2005-10-21,53,114.35
2005-10-28,55,114.93
2005-11-04,55,111.59
2005-11-11,54,112.11
2005-11-18,56,113.9
2005-11-25,59,114.03
2005-12-02,55,115.29
2005-12-09,60,112.4
2005-12-16,55,111.35
2005-12-23,56,113.05
2005-12-30,53,111.7
2006-01-06,60,116.99
2006-01-13,56,114.39
2006-01-20,51,112.02
2006-01-27,58,118.05
2006-02-03,52,121.31
2006-02-10,56,123.63
2006-02-17,56,122.21
2006-02-24,56,124.57
2006-03-03,56,123.52
2006-03-10,55,127.51
2006-03-17,52,132.53
2006-03-24,58,131.14
2006-03-31,57,130.62
2006-04-07,56,127.08
2006-04-21,56,120.09
2006-04-28,57,107
2006-05-05,57,91.88
2006-05-12,59,93.5
2006-05-19,57,93.25
2006-05-26,58,92.68
2006-06-02,61,97.44
2006-06-09,57,94.7
