"Date","MHK","Price"
2004-07-02,3,71.98
2004-08-27,3,77.47
2004-09-03,3,79.05
2004-09-10,3,80.1
2004-09-17,3,80.25
2004-09-24,3,78.81
2004-10-01,3,80.35
2004-10-08,2,76.9
2004-10-15,2,74.85
2004-10-22,2,82.39
2004-10-29,2,85.08
2004-11-05,2,87.65
2004-12-17,3,89.4
2004-12-31,2,91.25
2005-01-07,2,87.1
2005-01-14,2,89.45
2005-01-21,2,88.5
2005-01-28,2,87
2005-02-04,2,92.61
2005-02-11,2,93.66
2005-02-18,2,89.49
2005-02-25,2,89.78
2005-03-04,2,91.7
2005-03-11,2,89.31
2005-03-18,2,88.46
2005-04-01,2,83.04
2005-04-08,2,82.22
2005-04-15,3,79.02
2005-04-22,3,78
2005-04-29,2,77.81
2005-05-06,3,80.09
2005-05-13,2,79.83
2005-05-20,2,84.6
2005-05-27,2,83.25
2005-06-03,2,83.83
2005-06-10,2,85.86
2005-06-17,2,87.75
2005-06-24,2,82.34
2005-07-01,2,82.2
2005-07-08,2,89.43
2005-07-15,2,89.46
2005-07-22,2,90.25
2005-07-29,2,87.82
2005-08-05,2,85.46
2005-08-12,2,85.05
2005-08-19,2,83.95
2005-08-26,2,82.27
2005-09-02,2,84.15
2005-09-09,2,84.97
2005-09-16,2,81.06
2005-09-23,2,77.6
2005-09-30,2,80.25
2005-10-07,2,78.07
2005-10-14,1,76.95
2005-10-21,2,76.74
2005-10-28,2,76.95
2005-11-04,2,79.58
2005-11-11,2,82.25
2005-11-18,1,84.38
2005-11-25,1,88.16
2005-12-02,1,89
2005-12-09,1,87.26
2005-12-16,2,87.84
2005-12-23,2,87.94
2005-12-30,2,86.98
2006-01-06,2,88.56
2006-01-13,1,87.02
2006-01-20,2,84.65
2006-01-27,6,84.68
2006-02-03,3,83.87
2006-02-10,2,81.46
2006-02-17,2,83.15
2006-02-24,2,86.9
2006-03-03,1,87.43
2006-03-10,1,86.85
2006-03-17,2,87.43
2006-03-24,2,86.34
2006-03-31,2,80.72
2006-04-07,2,79.75
2006-04-21,2,78.65
2006-04-28,3,80.1
2006-05-05,1,77.22
2006-05-12,2,76.5
2006-05-19,1,75.57
2006-05-26,1,75.08
2006-06-02,1,73.77
2006-06-09,4,71.66
2006-06-16,6,70.95
2006-06-23,2,71.39
2006-06-30,1,70.35
2006-07-07,1,68.38
2006-07-14,2,66.05
2006-07-21,1,65.51
2006-07-28,2,69.96
2006-08-04,2,69.83
2006-08-11,1,66.77
2006-08-18,1,70.85
2006-08-25,2,68.23
2006-09-01,2,71.58
2006-09-08,2,71.54
2006-09-15,2,76.27
2006-09-22,2,73.54
2006-09-29,1,74.45
2006-10-06,2,76.75
2006-10-13,1,78.58
2006-10-20,2,74.99
2006-10-27,2,73.6
2006-11-03,2,70.23
2006-11-10,2,72.16
2006-11-17,2,75.97
2006-11-24,2,76.38
2006-12-01,2,77.2
2006-12-08,2,77.26
