"Date","FIS","Price"
2004-02-06,58,33.19
2004-02-13,60,34
2004-02-20,65,32.88
2004-02-27,46,34.17
2004-03-05,43,34.5
2004-03-12,64,33.85
2004-03-19,41,33.44
2004-03-26,29,33.27
2004-04-02,25,35.9
2004-04-16,30,35.09
2004-04-23,24,34.77
2004-04-30,20,35.78
2004-05-07,25,35.3
2004-05-14,21,36.36
2004-05-21,27,36.93
2004-05-28,27,37.73
2004-06-04,26,38
2004-06-18,24,37.78
2004-06-25,25,39.48
2004-07-02,23,39.36
2004-07-09,26,38.42
2004-07-16,25,37.91
2004-07-23,28,37.08
2004-07-30,27,37.91
2004-08-06,30,36.35
2004-08-13,21,36.75
2004-08-20,21,38.28
2004-08-27,24,38.36
2004-09-03,31,38.99
2004-09-10,27,38.98
2004-09-17,27,38.86
2004-09-24,25,38.44
2004-10-01,29,38.03
2004-10-08,24,36.6
2004-10-15,33,36.18
2004-10-22,35,35.01
2004-10-29,37,35.35
2004-11-05,29,35.57
2004-11-12,31,34.67
2004-11-19,37,35.26
2004-11-26,51,34.88
2004-12-03,60,33.75
2004-12-10,49,33
2004-12-17,71,34.8
2004-12-31,59,35.53
2005-01-07,63,35.11
2005-01-14,89,35.06
2005-01-21,77,34.91
2005-01-28,68,34.25
2005-02-04,74,35.24
2005-02-11,100,35.14
2005-02-18,65,34.58
2005-02-25,71,35.32
2005-03-04,50,35.7
2005-03-11,58,36.15
2005-03-18,42,35.24
2005-04-01,29,34.19
2005-04-08,24,33.4
2005-04-15,29,32.78
2005-04-22,26,34.15
2005-04-29,24,36.43
2005-05-06,28,35.79
2005-05-13,22,35.94
2005-05-20,30,37.1
2005-05-27,23,37.6
2005-06-03,28,36.83
2005-06-10,24,38.08
2005-06-17,21,38.78
2005-06-24,21,37.46
2005-07-01,29,38.59
2005-07-08,26,38.57
2005-07-15,23,38
2005-07-22,25,36.51
2005-07-29,22,34.62
2005-08-05,24,33.8
2005-08-12,23,33.77
2005-08-19,26,33.28
2005-08-26,28,34.97
