"Date","sell.T","Price"
2006-03-10,55,27.23
2006-05-12,81,25.62
2006-05-19,59,25.28
2006-05-26,59,26.23
2006-06-02,56,26.73
2006-06-09,56,26.62
2006-06-16,56,27.79
2006-12-22,45,34.98
2007-02-09,41,36.9
2007-02-16,40,37.48
2007-02-23,40,37
2007-03-02,40,36.44
2007-03-09,42,36.55
2007-03-16,44,36.98
2007-03-23,46,38.88
2007-03-30,48,39.43
2007-04-13,48,38.84
2007-04-20,36,39.87
2007-04-27,36,38.64
2007-05-04,36,39.48
2007-05-11,36,39.59
2007-05-18,36,41.1
2007-05-25,40,40.76
2007-06-01,45,40.53
2007-06-08,49,40.26
2007-06-15,53,40.28
2007-06-22,33,38.85
2007-06-29,49,41.5
2007-07-06,44,40.66
2007-07-13,60,40.4
2007-07-20,64,39.06
2007-07-27,46,39.24
2007-08-03,40,39.45
2007-08-10,43,38.87
2007-08-17,37,39.05
2007-08-24,38,40.36
2007-08-31,41,39.87
2007-09-07,34,38.73
2007-09-14,41,40.44
2007-09-21,38,42.53
2007-09-28,41,42.31
2007-10-05,44,42.14
2007-10-12,32,42.29
2007-10-19,39,41.37
2007-10-26,47,41.46
2007-11-02,37,40.42
2007-11-09,46,39.2
2007-11-16,51,39.55
2007-11-23,49,37.63
2007-11-30,42,38.21
2007-12-07,26,38.47
2007-12-14,36,41.14
2007-12-21,45,41.48
2007-12-28,52,42.44
2008-01-04,61,40.89
2008-01-11,34,38.2
2008-01-18,45,36.11
2008-01-25,50,35.26
2008-02-01,45,38.28
2008-02-08,46,36.37
2008-02-15,25,37.88
2008-02-22,34,34.98
2008-02-29,26,34.83
2008-03-07,46,35.01
2008-03-14,38,35.03
2008-03-28,34,37.66
2008-04-04,31,38.48
2008-04-11,47,37.3
2008-04-18,49,37.51
2008-04-25,41,38.58
2008-05-02,34,40.13
2008-05-09,43,38.59
2008-05-16,47,40.07
2008-05-23,44,38.53
2008-05-30,47,39.9
2008-06-06,48,38.21
2008-06-13,64,36.68
2008-06-20,33,34.43
2008-06-27,48,32.76
2008-07-11,87,32.58
2008-07-18,36,32.12
2008-07-25,46,31.4
2008-08-01,43,30.44
2008-08-08,63,30.97
2008-08-15,69,31.66
2008-08-22,59,31.17
2008-08-29,48,31.99
2008-09-05,42,31.5
2008-09-12,49,31.54
