"Date","Consolidated.Edison","Price"
2004-07-09,100,39.44
2005-04-15,58,42.21
2005-06-17,62,45.91
2006-04-28,37,43.12
2006-05-05,38,43.12
2006-05-12,39,41.81
2006-05-19,40,42.15
2006-05-26,40,44.06
2006-07-21,46,46.8
2006-07-28,60,46.99
2006-09-08,34,45.29
2007-01-12,32,47.36
2007-01-19,32,47.74
2007-01-26,32,48.1
2007-04-20,29,52
2007-04-27,24,51.8
2007-05-04,27,51.42
2007-05-11,30,50.97
2007-05-18,34,50.95
2007-05-25,27,48.12
2007-06-01,27,48.48
2007-06-08,29,46.59
2007-06-15,31,47.37
2007-06-22,34,45.2
2007-06-29,38,45.12
2007-07-06,29,45.21
2007-07-13,29,46.09
2007-07-20,32,45.37
2007-07-27,25,43.65
2007-08-03,25,43.87
2007-08-10,22,47.43
2007-08-17,22,45.96
2007-08-24,21,46.8
2007-08-31,21,45.94
2007-09-07,20,45.54
2007-09-14,20,46.26
2007-09-21,20,46.98
2007-09-28,20,46.3
2007-10-05,20,47.27
2007-10-12,18,46.77
2007-10-19,18,45.12
2007-10-26,18,46.67
2007-11-02,18,46.9
2007-11-09,18,46.33
2007-11-16,19,46.83
2007-11-23,19,48.45
2007-11-30,20,48.45
2007-12-07,22,49.49
2007-12-14,21,49.26
2007-12-21,21,48.64
2007-12-28,21,48.93
2008-01-04,21,47.92
2008-01-11,21,46.92
2008-01-18,23,44.6
2008-01-25,25,43.27
2008-02-01,27,44.38
2008-02-08,23,43.37
2008-02-15,16,42.4
2008-02-22,16,42.14
2008-02-29,16,40.89
2008-03-07,23,40.85
2008-03-14,26,40.67
2008-03-28,26,39.45
2008-04-04,21,41.59
2008-04-11,21,41.27
2008-04-18,21,41.52
2008-04-25,21,41.45
2008-05-02,16,42.49
2008-05-09,16,41.95
2008-05-16,16,41.65
2008-05-23,16,41.09
2008-05-30,16,41.3
2008-06-06,16,40.04
2008-06-13,18,40.36
2008-06-20,29,39.69
2008-06-27,23,38.42
2008-07-11,19,38.77
2008-07-18,19,38.48
2008-07-25,19,38.28
2008-08-01,19,38.8
2008-08-08,25,41.5
2008-08-15,20,40.76
2008-08-22,22,41.26
2008-08-29,16,40.9
2008-09-05,15,40.56
2008-09-12,15,43.58
2008-09-19,15,44.31
2008-09-26,16,43.66
2008-10-03,19,43.16
2008-10-10,25,37.61
2008-10-17,17,39.15
2008-10-24,16,40.21
2008-10-31,16,43.32
2008-11-07,15,42.13
2008-11-14,15,39.19
2008-11-21,13,40
2008-11-28,15,40.39
2008-12-05,14,38.97
2008-12-12,14,38.88
2008-12-19,14,38.64
2008-12-26,14,38.31
2009-01-02,15,39.26
2009-01-09,16,39.66
2009-01-16,17,40.07
2009-01-23,26,40.05
2009-01-30,18,40.75
2009-02-06,21,41.28
2009-02-13,20,39.37
2009-02-20,21,37.54
2009-02-27,22,36.21
2009-03-06,19,33.94
2009-03-13,19,35.06
2009-03-20,19,37.79
2009-03-27,18,38.38
2009-04-03,23,39.25
2009-04-17,15,38.76
2009-04-24,18,37.45
2009-05-01,12,37.37
2009-05-08,23,37.58
2009-05-15,18,34.86
2009-05-22,13,34.6
2009-05-29,13,35.46
2009-06-05,16,35.78
2009-06-12,13,37.08
2009-06-19,13,36.79
2009-06-26,18,37.04
2009-07-10,12,36.63
2009-07-17,12,37.39
2009-07-24,13,39.01
2009-07-31,14,39.36
2009-08-07,14,39.86
2009-08-14,17,40.64
2009-08-21,18,40.5
2009-08-28,18,40.39
2009-09-04,16,39.87
2009-09-11,17,39.63
2009-09-18,18,41.48
2009-09-25,15,41.07
2009-10-02,21,40.35
2009-10-09,11,41.09
2009-10-16,24,41.33
2009-10-23,16,41.81
2009-10-30,13,40.68
2009-11-06,11,41.53
2009-11-13,19,42.46
2009-11-20,15,41.9
2009-11-27,15,42.44
2009-12-04,16,44.05
2009-12-11,16,45.18
2009-12-18,12,45.37
2010-01-08,15,45.25
2010-01-15,15,45.72
2010-01-22,14,43.51
2010-01-29,12,43.74
2010-02-05,12,43.18
2010-02-12,19,42.22
2010-02-19,21,43.13
2010-02-26,16,42.75
2010-03-05,12,43.62
2010-03-12,12,43.7
2010-03-19,18,44.3
2010-03-26,13,44.18
2010-04-09,12,44.85
2010-04-16,12,44.54
2010-04-23,10,45.41
2010-04-30,10,45.2
2010-05-07,11,44.34
2010-05-14,14,44.44
2010-05-21,12,43.29
2010-05-28,9,42.59
2010-06-04,15,41.66
2010-06-11,16,43.13
2010-06-18,11,44.89
2010-06-25,10,43.84
2010-07-02,12,43.19
2010-07-09,9,45.27
2010-07-16,9,45.06
2010-07-23,13,46.3
2010-07-30,10,46.12
2010-08-06,12,47.57
2010-08-13,16,47.55
2010-08-20,13,46.7
2010-08-27,11,47.88
2010-09-03,15,48.44
2010-09-10,12,47.69
2010-09-17,12,47.92
2010-09-24,10,48.79
2010-10-01,14,48.33
2010-10-08,25,48.27
2010-10-15,10,48.6
2010-10-22,16,49.12
2010-10-29,9,49.72
2010-11-05,12,51
2010-11-12,12,49.74
2010-11-19,13,48.63
2010-11-26,11,48.18
2010-12-03,16,49.02
2010-12-10,17,48.88
2010-12-17,14,49.34
2010-12-31,8,49.57
2011-01-07,8,49.54
2011-01-14,14,49.83
2011-01-21,12,49.87
2011-01-28,14,50.07
2011-02-04,8,49.59
2011-02-11,7,50.1
2011-02-18,13,49.02
2011-02-25,14,49.41
2011-03-04,14,49.71
2011-03-11,12,50.27
2011-03-18,12,49.51
2011-03-25,11,50.01
2011-04-01,12,51.05
2011-04-08,11,50.9
2011-04-15,13,50.71
2011-04-29,16,52.12
2011-05-06,15,53.1
2011-05-13,11,54.12
2011-05-20,11,53.91
2011-05-27,9,52.73
2011-06-03,8,52.32
2011-06-10,10,51.83
2011-06-17,11,52.78
2011-06-24,15,52.4
2011-07-01,17,54.06
2011-07-08,10,53.56
2011-07-15,10,53.25
2011-07-22,12,53.58
2011-07-29,9,52.6
2011-08-05,12,53.27
2011-08-12,16,53.73
2011-08-19,13,54.36
2011-08-26,15,55.59
2011-09-02,17,56.07
2011-09-09,12,55.12
2011-09-16,13,57.42
