"Date","M.T.Bank.Corp.","Price"
2004-02-06,59,91.91
2004-02-13,58,94.55
2004-02-20,58,92.75
2004-02-27,57,96.05
2004-03-05,59,96.88
2004-03-12,62,92.5
2004-03-19,60,90.47
2004-03-26,57,89.16
2004-04-02,58,89.18
2004-04-16,58,87.7
2004-04-23,57,84.6
2004-04-30,57,85
2004-05-07,57,85.63
2004-05-14,57,85.79
2004-05-21,57,86.67
2004-05-28,57,90.57
2004-06-04,58,91.67
2004-06-18,58,88.75
2004-06-25,58,88.2
2004-07-02,56,88.03
2004-07-09,59,87.9
2004-07-16,59,93.61
2004-07-23,60,93.02
2004-07-30,60,93.23
2004-08-06,59,92.57
2004-08-13,57,94.34
2004-08-20,58,96.35
2004-08-27,61,97.56
2004-09-03,58,96
2004-09-10,58,95.95
2004-09-17,61,96.34
2004-09-24,59,94.62
2004-10-01,60,97.59
2004-10-08,60,99.08
2004-10-15,61,100.3
2004-10-22,60,97.28
2004-10-29,59,103
2004-11-05,60,105.43
2004-11-12,64,106.3
2004-11-19,62,104.25
2004-11-26,63,106.06
2004-12-03,63,105.92
2004-12-10,62,103.83
2004-12-17,62,104.15
2004-12-31,63,107.84
2005-01-07,59,103.49
2005-01-14,62,100.77
2005-01-21,61,100.6
2005-01-28,63,100.24
2005-02-04,61,103.03
2005-02-11,63,101.25
2005-02-18,61,98.95
2005-02-25,64,100.2
2005-03-04,64,104.68
2005-03-11,65,101.21
2005-03-18,63,100.06
2005-04-01,65,100.89
2005-04-08,62,102.37
2005-04-15,63,101.3
2005-04-22,62,99.9
2005-04-29,64,103.45
2005-05-06,65,103.3
2005-05-13,62,100.93
2005-05-20,63,104.52
2005-05-27,62,103.05
2005-06-03,64,103.19
2005-06-10,65,102.78
2005-06-17,64,106.6
2005-06-24,65,104.5
2005-07-01,62,105.58
2005-07-08,62,106.46
2005-07-15,63,110.12
2005-07-22,62,110.46
2005-07-29,63,108.51
2005-08-05,63,107.34
2005-08-12,63,108.7
2005-08-19,63,108.39
2005-08-26,64,105.76
2005-09-02,64,107.05
2005-09-09,64,108.37
2005-09-16,66,106.85
2005-09-23,68,105.65
2005-09-30,66,105.71
2005-10-07,66,102.49
2005-10-14,67,103.93
2005-10-21,66,103.52
2005-10-28,64,106.65
2005-11-04,66,106.94
2005-11-11,67,110.8
2005-11-18,68,109.83
2005-11-25,69,110.84
2005-12-02,69,109.88
2005-12-09,68,109.62
2005-12-16,70,110.93
2005-12-23,67,110.35
2005-12-30,72,109.05
2006-01-06,65,112.03
2006-01-13,65,110.12
2006-01-20,66,106.5
2006-01-27,69,109.25
2006-02-03,69,106.82
2006-02-10,68,108.2
2006-02-17,66,111.82
2006-02-24,68,113.31
2006-03-03,68,112.52
2006-03-10,68,112.31
2006-03-17,68,117.19
2006-03-24,68,115.94
2006-03-31,67,114.14
2006-04-07,67,113.7
2006-04-21,66,114.3
2006-04-28,65,119.4
2006-05-05,66,118.92
2006-05-12,69,116.55
2006-05-19,68,115.33
2006-05-26,68,116.42
2006-06-02,67,116.89
2006-06-09,68,118.31
2006-06-16,67,116.18
2006-06-23,68,113.84
2006-06-30,67,117.92
2006-07-07,65,117.01
2006-07-14,66,116.39
2006-07-21,68,118.96
2006-07-28,69,122.77
2006-08-04,69,123.96
2006-08-11,69,121.57
2006-08-18,68,124.14
2006-08-25,69,122.45
2006-09-01,72,122.51
2006-09-08,71,118.72
2006-09-15,72,120.83
2006-09-22,72,119.78
2006-09-29,73,119.96
2006-10-06,73,119
2006-10-13,73,123.2
2006-10-20,75,121.76
2006-10-27,75,121.2
2006-11-03,74,119.73
2006-11-10,78,120.58
2006-11-17,76,121.55
2006-11-24,75,120.23
2006-12-01,74,118.66
2006-12-08,76,120.18
2006-12-15,78,122.11
2006-12-22,75,121.08
2006-12-29,77,122.16
2007-01-05,73,120.41
2007-01-12,71,120.31
2007-01-19,70,119.07
2007-01-26,72,119.47
2007-02-02,73,122.35
2007-02-09,73,121.67
2007-02-16,70,124.42
2007-02-23,77,124.18
2007-03-02,76,118.28
2007-03-09,76,117.44
2007-03-16,76,116
2007-03-23,77,118.56
2007-03-30,78,115.83
2007-04-13,74,105.88
2007-04-20,75,113.59
2007-04-27,75,111.62
2007-05-04,76,113.62
2007-05-11,77,112.05
2007-05-18,76,112.7
2007-05-25,76,110.75
2007-06-01,76,111.34
2007-06-08,77,109.57
2007-06-15,75,108.75
2007-06-22,76,106.94
2007-06-29,74,106.9
2007-07-06,74,108.7
2007-07-13,71,111.72
2007-07-20,71,108.71
2007-07-27,69,105.4
2007-08-03,69,99.85
2007-08-10,70,102.39
2007-08-17,73,111.67
2007-08-24,75,108.04
2007-08-31,74,105.88
2007-09-07,76,103.2
2007-09-14,74,104.8
2007-09-21,76,107.6
2007-09-28,76,103.45
2007-10-05,75,107.73
2007-10-12,76,101.34
2007-10-19,74,97.39
2007-10-26,74,100.26
2007-11-02,76,91.47
2007-11-09,77,92.28
2007-11-16,76,89.4
2007-11-23,85,89.97
2007-11-30,86,90.96
2007-12-07,85,88.87
2007-12-14,75,83.31
2007-12-21,75,82.12
2007-12-28,77,81.43
2008-01-04,74,75.85
2008-01-11,73,73.75
2008-01-18,71,73.69
2008-01-25,72,83.85
2008-02-01,73,94.03
2008-02-08,73,88.89
2008-02-15,72,88.4
2008-02-22,73,86.89
2008-02-29,73,82.08
2008-03-07,73,77.29
2008-03-14,73,79.96
2008-03-28,72,81.8
2008-04-04,72,83.01
2008-04-11,74,83.62
2008-04-18,72,90.5
2008-04-25,73,94.28
2008-05-02,73,95.31
2008-05-09,73,91.04
2008-05-16,72,91.64
2008-05-23,71,88.36
2008-05-30,73,86.66
2008-06-06,74,81.18
2008-06-13,72,77.88
2008-06-20,73,73.32
2008-06-27,71,71.57
2008-07-11,72,69.7
2008-07-18,79,68.63
2008-07-25,80,68.1
2008-08-01,74,71.57
2008-08-08,72,76.07
2008-08-15,78,74.52
2008-08-22,86,70.21
2008-08-29,80,71.34
2008-09-05,81,73.91
2008-09-12,80,78.17
2008-09-19,80,93.5
2008-09-26,78,91.5
2008-10-03,77,87.67
2008-10-10,78,72.75
2008-10-17,74,79
2008-10-24,78,75.25
2008-10-31,75,81.1
2008-11-07,74,73.78
2008-11-14,76,65.83
2008-11-21,78,58.21
2008-11-28,75,64.25
2008-12-05,77,67.88
2008-12-12,78,59.07
2008-12-19,74,55.96
2008-12-26,78,55.39
