"Date","buy.DE","Price"
2004-02-06,31,62.01
2004-02-13,41,64.01
2004-02-20,40,65.32
2004-02-27,41,64.23
2004-03-05,37,65.82
2004-03-12,49,64.61
2004-03-19,33,66.19
2004-03-26,32,68.23
2004-04-02,39,70.18
2004-04-16,42,73.31
2004-04-23,41,71.2
2004-04-30,40,68.04
2004-05-07,35,66.87
2004-05-14,32,66.86
2004-05-21,40,62.9
2004-05-28,42,65.7
2004-06-04,38,67.16
2004-06-18,41,69.17
2004-06-25,35,69.76
2004-07-02,41,66.7
2004-07-09,43,65.1
2004-07-16,42,65.9
2004-07-23,44,61.87
2004-07-30,45,62.81
2004-08-06,40,57.6
2004-08-13,41,59.38
2004-08-20,47,61.54
2004-08-27,40,62.67
2004-09-03,41,63.3
2004-09-10,36,63.45
2004-09-17,47,65.01
2004-09-24,47,62.7
2004-10-01,32,64.89
2004-10-08,40,63.01
2004-10-15,40,60.08
2004-10-22,43,58.8
2004-10-29,47,59.78
2004-11-05,43,65.08
2004-11-12,42,68.92
2004-11-19,48,69.26
2004-11-26,55,73.14
2004-12-03,33,70.98
2004-12-10,61,70.56
2004-12-17,40,73.02
2004-12-31,51,74.4
2005-01-07,41,70.5
2005-01-14,45,70.84
2005-01-21,45,68
2005-01-28,43,67.97
2005-02-04,45,69.35
2005-02-11,43,69.33
2005-02-18,39,66.57
2005-02-25,40,70.59
2005-03-04,44,72.35
2005-03-11,42,69.39
2005-03-18,47,68.37
2005-04-01,40,66.24
2005-04-08,45,67.01
2005-04-15,42,62.47
2005-04-22,40,64.57
2005-04-29,37,62.54
2005-05-06,41,62.69
2005-05-13,48,59.69
2005-05-20,39,64.44
2005-05-27,39,66.32
2005-06-03,44,64.57
2005-06-10,44,66.81
2005-06-17,40,67.93
2005-06-24,42,65.94
2005-07-01,43,66.1
2005-07-08,39,68.76
2005-07-15,50,69.75
2005-07-22,47,71.35
2005-07-29,46,73.53
2005-08-05,50,71.59
2005-08-12,45,72.6
2005-08-19,42,64.95
2005-08-26,43,63.83
2005-09-02,46,65.05
2005-09-09,37,64.55
2005-09-16,42,62.55
2005-09-23,39,60.55
2005-09-30,39,61.2
2005-10-07,47,61.11
2005-10-14,44,59.35
2005-10-21,42,57.16
2005-10-28,45,59.64
2005-11-04,41,61.95
2005-11-11,45,63.88
2005-11-18,43,63.1
2005-11-25,44,67.68
2005-12-02,40,68.87
2005-12-09,42,69.11
2005-12-16,46,70.02
2005-12-23,43,70.58
2005-12-30,42,68.11
2006-01-06,47,68.43
2006-01-13,43,69.6
2006-01-20,38,68.86
2006-01-27,41,72.4
2006-02-03,50,74.51
2006-02-10,42,73.62
2006-02-17,46,76.19
2006-02-24,43,77.64
2006-03-03,35,78.37
2006-03-10,39,74.97
2006-03-17,42,78.4
2006-03-24,37,78.25
2006-03-31,34,79.05
2006-04-07,35,79.63
2006-04-21,33,87.56
2006-04-28,35,87.78
2006-05-05,45,90.36
2006-05-12,43,89.63
2006-05-19,43,84.16
2006-05-26,38,87.08
2006-06-02,33,87.75
2006-06-09,37,79.82
2006-06-16,31,80.81
2006-06-23,32,79.94
2006-06-30,34,83.49
2006-07-07,38,80.53
2006-07-14,42,73.98
2006-07-21,39,70.08
2006-07-28,41,73.92
2006-08-04,35,73.12
2006-08-11,37,69.07
2006-08-18,32,72.73
2006-08-25,28,73.89
2006-09-01,41,79.09
2006-09-08,35,81.3
2006-09-15,37,80.87
2006-09-22,34,77.63
2006-09-29,40,83.91
2006-10-06,38,85.29
2006-10-13,46,88.9
2006-10-20,39,84.63
2006-10-27,40,87
2006-11-03,34,85.65
2006-11-10,42,87.11
2006-11-17,38,90.36
2006-11-24,43,97.02
2006-12-01,43,94.48
2006-12-08,43,97.07
2006-12-15,41,95.58
2006-12-22,49,94.21
2006-12-29,47,95.07
2007-01-05,45,90.89
2007-01-12,44,99.33
2007-01-19,36,98.7
2007-01-26,40,98.29
2007-02-02,27,104.33
2007-02-09,40,102.79
2007-02-16,36,113.93
2007-02-23,40,113.33
2007-03-02,40,105.17
2007-03-09,35,113
2007-03-16,34,110.04
2007-03-23,34,112.18
2007-03-30,41,108.64
2007-04-13,35,108.8
2007-04-20,41,111.56
2007-04-27,35,112.23
2007-05-04,40,113.84
2007-05-11,44,120
2007-05-18,42,116.51
2007-05-25,41,114.44
2007-06-01,44,119.76
2007-06-08,37,116.03
2007-06-15,45,121.75
2007-06-22,39,123.35
2007-06-29,39,120.74
2007-07-06,50,123.71
2007-07-13,47,131.08
2007-07-20,50,129.07
2007-07-27,47,118.94
2007-08-03,49,117.46
2007-08-10,52,117.3
2007-08-17,49,124.61
2007-08-24,48,130.26
2007-08-31,52,136.06
2007-09-07,42,135.86
2007-09-14,43,137.93
2007-09-21,49,147.28
2007-09-28,48,148.42
2007-10-05,43,147.27
2007-10-12,41,154.22
2007-10-19,44,145.14
2007-10-26,44,145.44
2007-11-02,49,152.73
2007-11-09,42,153.03
2007-11-16,51,145.06
2007-11-23,60,156.64
2007-11-30,49,171.8
2007-12-07,56,88.11
2007-12-14,50,87.16
2007-12-21,56,89.83
2007-12-28,57,92.28
2008-01-04,49,89.98
2008-01-11,47,89.26
2008-01-18,49,76.4
2008-01-25,52,82.88
2008-02-01,41,88.91
2008-02-08,44,82.46
2008-02-15,48,85
2008-02-22,47,87.17
2008-02-29,47,85.21
2008-03-07,43,83.22
2008-03-14,43,82.88
2008-03-28,50,79.94
2008-04-04,44,85.74
2008-04-11,45,86.31
2008-04-18,41,92.68
2008-04-25,51,90
2008-05-02,52,85.24
2008-05-09,46,86.31
2008-05-16,48,83.53
2008-05-23,49,80.42
2008-05-30,50,81.34
2008-06-06,47,81.31
2008-06-13,47,77.92
2008-06-20,48,76.37
2008-06-27,46,71.38
2008-07-11,52,64.99
2008-07-18,56,67.33
2008-07-25,53,69.18
2008-08-01,57,70.22
2008-08-08,53,69.06
2008-08-15,53,66.65
2008-08-22,54,67.54
2008-08-29,55,70.57
2008-09-05,48,63.23
2008-09-12,47,63.24
2008-09-19,50,63.38
2008-09-26,51,55.33
2008-10-03,55,39.24
2008-10-10,51,38.12
2008-10-17,50,39.42
2008-10-24,51,30.36
2008-10-31,48,38.56
2008-11-07,41,37.21
2008-11-14,52,33.79
2008-11-21,55,30.97
2008-11-28,61,34.81
2008-12-05,60,31.99
2008-12-12,65,36.86
2008-12-19,59,39.38
2008-12-26,73,38.47
2009-01-02,62,41.51
2009-01-09,50,45.99
2009-01-16,52,39.88
2009-01-23,54,36.62
2009-01-30,54,34.74
2009-02-06,53,41.81
2009-02-13,51,36.11
2009-02-20,55,28.89
2009-02-27,55,27.49
2009-03-06,53,25.51
