"Date","ISRG","Price"
2005-07-29,33,69.4
2005-10-28,26,88.11
2005-11-04,22,92.32
2005-11-11,22,99.34
2005-11-18,25,108
2005-11-25,19,115.65
2005-12-02,21,115.88
2005-12-09,17,116.49
2005-12-16,25,115.85
2005-12-23,17,122.27
2005-12-30,19,117.27
2006-01-06,27,120.07
2006-01-13,38,127.95
2006-01-20,19,128.08
2006-01-27,32,135.93
2006-02-03,38,114.69
2006-02-10,29,103.18
2006-02-17,27,96.92
2006-02-24,16,94.81
2006-03-03,27,90.37
2006-03-10,24,92.98
2006-03-17,14,104.15
2006-03-24,18,112.06
2006-03-31,15,118
2006-04-07,18,108.74
2006-04-21,17,106.82
2006-04-28,37,127
2006-05-05,25,127.83
2006-05-12,21,118.02
2006-05-19,24,115.91
2006-06-30,13,115
2006-07-07,13,115.08
2006-07-14,20,116.6
2006-07-21,27,117.2
2006-07-28,33,101.54
2006-08-04,33,99.54
2006-08-11,20,94.4
2006-08-18,11,96.76
2006-08-25,11,92.1
2006-09-01,11,95.05
2006-09-08,11,93.34
2006-09-15,11,99.38
2006-09-22,13,102.36
2006-09-29,15,105.45
2006-10-06,16,106.22
2006-10-13,18,112.08
2006-10-20,14,107.73
2006-10-27,22,100.68
2006-11-03,10,96.6
2006-11-10,10,97.35
2006-11-17,15,95.79
2006-11-24,12,99.06
2006-12-01,12,101.55
2006-12-08,13,104.97
2006-12-15,12,103.87
2006-12-22,12,97.02
2006-12-29,14,95.9
2007-01-05,17,94.08
2007-01-12,20,94.03
2007-01-19,15,93.41
2007-01-26,15,94.98
2007-02-02,20,116.77
2007-02-09,20,112.06
2007-02-16,9,114.41
2007-02-23,10,113.08
2007-03-02,11,107.52
2007-03-09,9,110.75
2007-03-16,10,111.67
2007-03-23,11,121.67
2007-03-30,11,121.57
2007-04-13,11,124.74
2007-04-20,17,131.75
2007-04-27,14,133.31
2007-05-04,16,133.94
2007-05-11,10,130.9
2007-05-18,8,132.64
2007-05-25,13,136.99
2007-06-01,15,139.03
2007-06-08,18,139
2007-06-15,10,140.56
2007-06-22,12,137.55
2007-06-29,10,138.77
2007-07-06,12,144.9
2007-07-13,14,148.37
2007-07-20,28,198.59
2007-07-27,43,202.55
2007-08-03,22,204.38
2007-08-10,16,197.1
2007-08-17,21,199.13
2007-08-24,17,211.46
2007-08-31,17,221.28
2007-09-07,13,221.97
2007-09-14,18,214
2007-09-21,19,221.91
2007-09-28,18,230
2007-10-05,19,247.03
2007-10-12,29,249.39
2007-10-19,56,269.34
2007-10-26,100,329.09
2007-11-02,65,311.8
2007-11-09,45,282.27
2007-11-16,38,280.65
2007-11-23,20,283.71
2007-11-30,47,327.68
2007-12-07,29,353
2007-12-14,37,324.89
2007-12-21,27,325.44
2007-12-28,27,325.14
2008-01-04,24,305
2008-01-11,39,262.19
2008-01-18,23,262.07
2008-01-25,27,269
2008-02-01,63,305.61
2008-02-08,40,300.68
2008-02-15,22,303.27
2008-02-22,21,291.57
2008-02-29,21,281.92
2008-03-07,23,264.75
2008-03-14,19,283.07
2008-03-28,24,322.71
2008-04-04,31,338.44
2008-04-11,28,333.58
2008-04-18,63,288.5
2008-04-25,40,279.78
2008-05-02,34,290.03
2008-05-09,16,289.1
2008-05-16,22,299.75
2008-05-23,20,284.77
2008-05-30,16,293.59
2008-06-06,15,280.91
2008-06-13,14,281
2008-06-20,13,282.51
2008-06-27,11,269.59
2008-07-11,13,269.98
2008-07-18,24,288.49
2008-07-25,37,322.07
2008-08-01,20,300.43
2008-08-08,16,308.26
2008-08-15,12,299.17
2008-08-22,14,303.32
2008-08-29,9,295.27
2008-09-05,10,268.86
2008-09-12,8,278.19
2008-09-19,11,290.71
2008-09-26,13,275.01
2008-10-03,21,225.7
2008-10-10,27,175.01
2008-10-17,28,189.13
2008-10-24,23,158.68
2008-10-31,20,172.79
2008-11-07,12,182.47
2008-11-14,9,148.41
2008-11-21,20,118.26
2008-11-28,12,132.53
2008-12-05,19,137.46
2008-12-12,14,134.38
2008-12-19,11,125.51
2008-12-26,8,121.8
2009-01-02,8,132.41
2009-01-09,17,101.8
2009-01-16,7,99.97
2009-01-23,13,93.29
2009-01-30,11,103.23
