"Date","PLL","Price"
2004-02-06,24,26.28
2004-02-13,27,26.15
2004-02-20,30,26.43
2004-02-27,23,26.17
2004-03-05,27,24
2004-03-12,26,23.3
2004-03-19,22,22.86
2004-03-26,29,22.88
2004-04-02,24,23.45
2004-04-16,19,24.46
2004-04-23,30,24.41
2004-04-30,26,23.78
2004-05-07,25,22.86
2004-05-14,22,22.58
2004-05-21,25,22.97
2004-05-28,21,24.18
2004-06-04,24,23.97
2004-06-18,26,24.24
2004-06-25,27,24.92
2004-07-02,23,24.97
2004-07-09,26,24.52
2004-07-16,22,24.19
2004-07-23,21,23.34
2004-07-30,24,23.17
2004-08-06,25,22.32
2004-08-13,20,22.62
2004-08-20,20,23.75
2004-08-27,19,24.26
2004-09-03,21,23.58
2004-09-10,25,24.44
2004-09-17,25,24.36
2004-09-24,23,23.92
2004-10-01,22,24.88
2004-10-08,20,24.98
2004-10-15,20,24.5
2004-10-22,22,24.51
2004-10-29,21,25.86
2004-11-05,23,26.55
2004-11-12,20,27.38
2004-11-19,23,26.64
2004-11-26,19,27.73
2004-12-03,21,29.11
2004-12-10,23,29.15
2004-12-17,19,28.66
2004-12-31,13,28.95
2005-01-07,18,28.16
2005-01-14,21,27.13
2005-01-21,17,26.5
2005-01-28,22,26.58
2005-02-04,18,26.98
2005-02-11,21,27.01
2005-02-18,21,26.32
2005-02-25,17,26.72
2005-03-04,19,27
2005-03-11,21,27.15
2005-03-18,22,27
2005-04-01,20,27.2
2005-04-08,21,27.06
2005-04-15,20,26.75
2005-04-22,18,26.86
2005-04-29,21,26.83
2005-05-06,18,26.74
2005-05-13,20,28.08
2005-05-20,17,29
2005-05-27,19,28.55
2005-06-03,20,28.79
2005-06-10,19,29.07
2005-06-17,20,29.61
2005-06-24,19,30.7
2005-07-01,18,30.68
2005-07-08,24,30.04
2005-07-15,21,29.49
2005-07-22,17,30.72
2005-07-29,16,30.97
2005-08-05,17,30.15
2005-08-12,13,29.62
2005-08-19,15,28.74
2005-08-26,17,27.91
2005-09-02,16,28.9
2005-09-09,17,28.96
2005-09-16,12,28.25
2005-09-23,15,27.13
2005-09-30,16,27.5
2005-10-07,16,26.77
2005-10-14,16,25.88
2005-10-21,17,25.5
2005-10-28,18,25.6
2005-11-04,16,26.25
2005-11-11,15,27.36
2005-11-18,17,27.85
2005-11-25,15,28.2
2005-12-02,16,28.13
2005-12-09,16,27.08
2005-12-16,14,27.24
2005-12-23,14,27.15
2005-12-30,15,26.86
2006-01-06,14,27.21
2006-01-13,15,28.47
2006-01-20,15,28.13
2006-01-27,16,29.05
2006-02-03,19,28.5
2006-02-10,15,28.86
2006-02-17,17,29.57
2006-02-24,16,29.73
2006-03-03,17,28.28
2006-03-10,18,28.05
2006-03-17,20,29.97
2006-03-24,19,30.9
2006-03-31,17,31.19
2006-04-07,16,30.4
2006-04-21,16,30.77
2006-04-28,16,30.18
2006-05-05,13,32.29
2006-05-12,16,30.89
2006-05-19,16,29.89
2006-05-26,16,30.25
2006-06-02,15,29.93
2006-06-09,17,28.66
2006-06-16,13,27.8
2006-06-23,15,27.5
2006-06-30,16,28
2006-07-07,15,27.08
2006-07-14,14,25.87
2006-07-21,14,25.85
2006-07-28,15,25.95
2006-08-04,14,26.1
2006-08-11,14,25.69
2006-08-18,14,27.07
2006-08-25,14,26.47
2006-09-01,15,27.47
2006-09-08,12,27.2
2006-09-15,12,31.06
2006-09-22,13,30.18
2006-09-29,17,30.81
2006-10-06,13,31.42
2006-10-13,13,31.69
2006-10-20,15,31.52
2006-10-27,13,31.25
2006-11-03,14,31.39
2006-11-10,15,32.04
2006-11-17,14,31.58
2006-11-24,13,31.9
2006-12-01,15,31.14
2006-12-08,15,34.7
2006-12-15,15,34.83
2006-12-22,13,34.77
2006-12-29,12,34.55
2007-01-05,12,33.75
2007-01-12,14,34.9
2007-01-19,13,34.52
2007-01-26,14,34
2007-02-02,14,35.2
2007-02-09,14,35.2
2007-02-16,13,35.27
2007-02-23,13,35.76
2007-03-02,14,36.38
2007-03-09,13,37.29
2007-03-16,14,38.1
2007-03-23,13,39.17
2007-03-30,12,38
2007-04-13,14,38.92
2007-04-20,14,40.4
2007-04-27,13,41.99
2007-05-04,11,41.85
2007-05-11,14,41.9
2007-05-18,14,42.99
2007-05-25,15,43.93
2007-06-01,15,44.99
2007-06-08,13,45.74
2007-06-15,16,47
2007-06-22,15,46.68
2007-06-29,15,45.99
2007-07-06,13,47.28
2007-07-13,13,48.87
2007-07-20,13,41.11
