"Date","sell.HP","Price"
2006-06-30,21,60.26
2006-09-22,20,22.02
2006-11-03,17,23.9
2006-11-10,16,24.67
2006-11-17,16,24.94
2006-11-24,16,25.64
2006-12-01,16,27.11
2006-12-08,16,27.37
2006-12-15,18,26.86
2006-12-22,19,24.77
2006-12-29,21,24.47
2007-04-13,17,31.92
2007-04-20,14,31.29
2007-04-27,14,32.74
2007-05-04,14,32.2
2007-05-11,13,32.2
2007-06-29,14,35.42
2007-07-06,18,36.13
2007-07-13,23,36.3
2007-07-20,17,35.59
2007-07-27,17,32.14
2007-08-03,13,32.14
2007-08-10,13,31.55
2007-08-17,14,29.87
2007-08-24,15,31.42
2007-08-31,15,31.49
2007-09-07,16,31.83
2007-09-14,16,33.15
2007-09-21,17,34.54
2007-09-28,12,32.83
2007-10-05,12,33.09
2007-10-12,11,32.98
2007-10-19,11,31.38
2007-10-26,13,30.65
2007-11-02,15,31.84
2007-11-09,11,32.16
2007-11-16,10,34.08
2007-11-23,21,34.83
2007-11-30,14,34.55
2007-12-07,12,36.43
2007-12-14,12,36.36
2007-12-21,12,39.01
2007-12-28,17,40.28
2008-01-04,12,40.11
2008-01-11,12,37.95
2008-01-18,12,35.47
2008-01-25,14,35.77
2008-02-01,12,40.32
2008-02-08,13,41.32
2008-02-15,13,41.95
2008-02-22,11,43.73
2008-02-29,11,44.83
2008-03-07,14,44.15
2008-03-14,13,45.91
2008-03-28,9,46.16
2008-04-04,12,49.41
2008-04-11,18,51.62
2008-04-18,10,56.53
2008-04-25,14,55.84
2008-05-02,13,54.61
2008-05-09,14,57.98
2008-05-16,17,61.26
2008-05-23,15,60.03
2008-05-30,14,62.65
2008-06-06,10,65.23
2008-06-13,12,65.76
2008-06-20,10,72.03
2008-06-27,17,71.89
2008-07-11,16,67.5
2008-07-18,10,60.19
2008-07-25,18,57.94
2008-08-01,17,61.32
2008-08-08,11,53
2008-08-15,20,53.38
2008-08-22,15,56.61
2008-08-29,11,57.12
2008-09-05,20,49.33
2008-09-12,13,47.97
2008-09-19,15,52.66
2008-09-26,15,45.71
2008-10-03,15,36.41
2008-10-10,14,24.11
2008-10-17,15,25.75
2008-10-24,11,27.42
2008-10-31,8,34.31
2008-11-07,10,29.08
2008-11-14,8,26
2008-11-21,15,20.72
2008-11-28,13,25.36
2008-12-05,9,18.85
2008-12-12,15,22.27
2008-12-19,16,21.05
2008-12-26,15,20.53
2009-01-02,10,25.06
2009-01-09,12,24.68
2009-01-16,9,23.34
2009-01-23,16,24.65
2009-01-30,11,22.46
2009-02-06,17,23.22
2009-02-13,12,22.82
2009-02-20,12,22.71
2009-02-27,12,23.66
2009-03-06,17,20.3
2009-03-13,12,22.25
2009-03-20,19,22.95
2009-03-27,23,24.39
2009-04-03,14,28.56
2009-04-17,23,32.92
2009-04-24,14,32.76
2009-05-01,13,31.33
2009-05-08,14,34.72
2009-05-15,15,29.72
2009-05-22,12,31.89
2009-05-29,15,34.97
2009-06-05,21,33.6
2009-06-12,20,34.92
2009-06-19,13,30.89
2009-06-26,21,31.53
2009-07-10,13,28.1
2009-07-17,21,32.07
2009-07-24,18,34.13
2009-07-31,18,34.36
2009-08-07,20,34.86
2009-08-14,11,33.05
2009-08-21,19,34.81
2009-08-28,16,34.18
2009-09-04,15,34.36
2009-09-11,17,37.68
2009-09-18,14,38.3
2009-09-25,15,36.95
2009-10-02,10,37.43
2009-10-09,16,41.52
2009-10-16,15,44.28
2009-10-23,15,43.07
2009-10-30,14,38.02
2009-11-06,14,38.08
2009-11-13,17,37.86
2009-11-20,11,37.41
2009-11-27,16,37.91
2009-12-04,15,36.8
2009-12-11,20,38.28
2009-12-18,10,40.23
2010-01-08,17,48
2010-01-15,15,47.49
2010-01-22,11,44.46
2010-01-29,16,41.83
2010-02-05,13,40.34
2010-02-12,14,41.64
2010-02-19,11,43.91
2010-02-26,15,40.52
2010-03-05,15,40.24
2010-03-12,12,40.88
2010-03-19,14,38.03
2010-03-26,19,36.5
2010-04-09,15,39
2010-04-16,12,39.75
2010-04-23,16,43.21
2010-04-30,16,40.62
2010-05-07,13,35.67
2010-05-14,14,37.56
2010-05-21,13,34.53
2010-05-28,13,37.68
2010-06-04,14,38.74
2010-06-11,12,41.97
2010-06-18,15,42.51
2010-06-25,14,39.07
2010-07-02,12,36.53
2010-07-09,12,40.45
2010-07-16,14,38.36
2010-07-23,20,41
2010-07-30,16,40.53
2010-08-06,16,40.62
2010-08-13,15,37.42
2010-08-20,15,36.33
2010-08-27,13,37.8
2010-09-03,18,39.39
2010-09-10,15,40.27
2010-09-17,15,38.56
2010-09-24,11,39.9
2010-10-01,12,40.26
2010-10-08,17,41.88
2010-10-15,17,44.14
2010-10-22,16,41.57
2010-10-29,9,42.78
2010-11-05,17,43.7
2010-11-12,11,45.69
2010-11-19,12,46.56
2010-11-26,14,45.39
2010-12-03,13,48.29
2010-12-10,14,47.74
2010-12-17,13,48.74
2010-12-31,12,48.48
2011-01-07,15,48.89
