"Date","Goodyear.Tire...Rubber","Price"
2004-02-06,52,9.97
2004-02-13,66,8.71
2004-02-20,59,8.15
2004-02-27,69,8.42
2004-03-05,62,8.48
2004-03-12,79,7.9
2004-03-19,66,7.61
2004-03-26,55,7.54
2004-04-02,61,9.01
2004-04-16,45,8.9
2004-04-23,88,9.23
2004-04-30,77,8.71
2004-05-07,65,8.47
2004-05-14,67,8.02
2004-05-21,63,8.24
2004-05-28,83,8.7
2004-06-04,52,8.66
2004-06-18,81,9.89
2004-06-25,58,9.85
2004-07-02,82,9.33
2004-07-09,63,9.59
2004-07-16,77,9.65
2004-07-23,92,10.14
2004-07-30,66,10.95
2004-08-06,65,10.4
2004-08-13,65,10.49
2004-08-20,73,10.91
2004-08-27,70,10.83
2004-09-03,72,11.67
2004-09-10,59,11.54
2004-09-17,80,10.97
2004-09-24,70,10.63
2004-10-01,91,10.86
2004-10-08,75,10.12
2004-10-15,79,9.61
2004-10-22,94,9.62
2004-10-29,75,10.08
2004-11-05,79,11.8
2004-11-12,100,11.66
2004-11-19,82,12.21
2004-11-26,92,12.5
2004-12-03,92,13.08
2004-12-10,74,12.72
2004-12-17,60,14.24
2004-12-31,89,14.66
2005-01-07,65,14.7
2005-01-14,48,15.32
2005-01-21,66,14.52
2005-01-28,60,15.37
2005-02-04,61,14.42
2005-02-11,48,14
2005-02-18,58,13.79
2005-02-25,44,14.71
2005-03-04,63,14.53
2005-03-11,57,14.76
2005-03-18,72,13.65
2005-04-01,70,13.06
2005-04-08,84,12.8
2005-04-15,61,11.47
2005-04-22,60,11.77
2005-04-29,70,11.87
2005-05-06,63,13.29
2005-05-13,57,13.5
2005-05-20,60,14.19
2005-05-27,60,14.59
2005-06-03,68,14.3
2005-06-10,59,14.25
2005-06-17,64,14.86
2005-06-24,62,14.24
2005-07-01,69,15.12
2005-07-08,68,15.3
2005-07-15,64,15.9
2005-07-22,67,16.12
2005-07-29,82,17.41
2005-08-05,90,18.49
2005-08-12,68,17.54
2005-08-19,81,17.08
2005-08-26,63,16.55
2005-09-02,65,16.57
2005-09-09,75,16.74
2005-09-16,58,16.24
2005-09-23,70,15.5
2005-09-30,65,15.59
2005-10-07,85,14.14
2005-10-14,81,13.94
2005-10-21,72,13.6
2005-10-28,79,15.24
2005-11-04,69,15.74
2005-11-11,94,15.59
2005-11-18,91,16.13
2005-11-25,89,16.97
2005-12-02,80,17.09
2005-12-09,72,17.11
2005-12-16,74,17.5
2005-12-23,71,17.9
2005-12-30,56,17.38
2006-01-06,50,18.47
2006-01-13,55,18.25
2006-01-20,55,17.63
2006-01-27,58,18.87
2006-02-03,55,15.21
2006-02-10,51,14.91
2006-02-17,52,14.87
2006-02-24,65,14.55
2006-03-03,53,13.42
2006-03-10,63,13.18
2006-03-17,56,13.73
2006-03-24,61,14.02
2006-03-31,64,14.48
2006-04-07,55,13.89
2006-04-21,61,13.9
2006-04-28,55,14
2006-05-05,54,15.2
2006-05-12,54,14.5
2006-05-19,61,13.53
2006-05-26,67,13.04
2006-06-02,55,12.58
2006-06-09,57,11.81
2006-06-16,58,11.67
2006-06-23,63,10.99
2006-06-30,70,11.1
2006-07-07,58,10.6
2006-07-14,64,9.99
2006-07-21,67,9.94
2006-07-28,66,10.57
2006-08-04,75,11.79
2006-08-11,73,11.3
2006-08-18,66,11.69
2006-08-25,67,12.16
2006-09-01,61,13.77
2006-09-08,62,14.57
2006-09-15,64,14.22
2006-09-22,80,14.35
2006-09-29,61,14.5
2006-10-06,70,14.46
2006-10-13,76,14.56
2006-10-20,85,14.7
2006-10-27,81,14.96
2006-11-03,93,15.28
2006-11-10,88,18.02
2006-11-17,77,18
2006-11-24,79,17.89
2006-12-01,78,16.8
2006-12-08,71,17.72
2006-12-15,65,19.2
2006-12-22,54,19.72
2006-12-29,62,20.99
2007-01-05,50,23.28
2007-01-12,52,24.51
2007-01-19,58,24.22
2007-01-26,51,24.7
2007-02-02,55,24.89
2007-02-09,48,25.11
2007-02-16,53,25.18
2007-02-23,56,26.12
2007-03-02,50,27.19
2007-03-09,54,28.51
2007-03-16,53,28.26
2007-03-23,52,30.29
2007-03-30,52,31.19
2007-04-13,51,33.18
2007-04-20,58,32.51
2007-04-27,55,34.41
2007-05-04,51,33.68
2007-05-11,55,32.96
2007-05-18,55,34.98
2007-05-25,53,34.44
2007-06-01,55,36.13
2007-06-08,55,35.13
2007-06-15,42,35.32
2007-06-22,55,34.67
2007-06-29,64,34.76
2007-07-06,62,36.57
2007-07-13,56,36.03
2007-07-20,62,34.95
2007-07-27,64,27
2007-08-03,75,26.43
2007-08-10,70,27.25
2007-08-17,67,27.69
2007-08-24,64,28.84
2007-08-31,60,27.66
2007-09-07,57,25.92
2007-09-14,53,25.52
2007-09-21,58,29.15
2007-09-28,54,30.41
2007-10-05,63,30.01
2007-10-12,66,30.76
2007-10-19,64,28.51
2007-10-26,65,27.48
2007-11-02,65,30.48
2007-11-09,80,27.11
2007-11-16,65,27.23
2007-11-23,71,26.58
