"Date","MOS","Price"
2004-02-06,48,11.02
2004-02-13,51,11.44
2004-02-20,52,10.97
2004-02-27,50,11.3
2004-03-05,48,12.59
2004-03-12,48,12.25
2004-03-19,45,12.61
2004-03-26,50,13.12
2004-04-02,48,14.58
2004-04-16,54,13.85
2004-04-23,51,13.49
2004-04-30,51,12.57
2004-05-07,48,11.96
2004-05-14,51,11.59
2004-05-21,47,11.64
2004-05-28,52,12.45
2004-06-04,52,12.73
2004-06-18,48,13.2
2004-06-25,47,13.4
2004-07-02,49,13.66
2004-07-09,43,13.8
2004-07-16,42,13.35
2004-07-23,52,12.32
2004-07-30,45,13.65
2004-08-06,45,13.49
2004-08-13,48,13.95
2004-08-20,50,14.38
2004-08-27,54,14.92
2004-09-03,48,16.33
2004-09-10,48,16.69
2004-09-17,54,16.74
2004-09-24,56,17.29
2004-10-01,56,17.7
2004-10-08,60,16.48
2004-10-15,82,15.48
2004-10-22,72,15
2004-10-29,68,15.04
2004-11-05,56,16.25
2004-11-12,61,16.25
2004-11-19,59,16.28
2004-11-26,49,17.48
2004-12-03,59,18.35
2004-12-10,67,17.42
2004-12-17,65,17.15
2004-12-31,49,16.32
2005-01-07,42,15.13
2005-01-14,51,15.52
2005-01-21,54,15.63
2005-01-28,52,15.77
2005-02-04,53,16.28
2005-02-11,53,16.05
2005-02-18,51,16.21
2005-02-25,45,16.64
2005-03-04,52,17.24
2005-03-11,47,16.85
2005-03-18,50,16.8
2005-04-01,44,15.85
2005-04-08,44,15.41
2005-04-15,48,12.85
2005-04-22,51,12.91
2005-04-29,47,12.85
2005-05-06,56,13.96
2005-05-13,48,12.89
2005-05-20,47,13
2005-05-27,50,13.02
2005-06-03,49,13.6
2005-06-10,49,13.83
2005-06-17,51,14.51
2005-06-24,47,15.3
2005-07-01,45,15.82
2005-07-08,43,16.29
2005-07-15,49,16.4
2005-07-22,48,16.94
2005-07-29,54,17.4
2005-08-05,47,17.3
2005-08-12,46,17.85
2005-08-19,44,17.31
2005-08-26,47,16.54
2005-09-02,45,16.08
2005-09-09,48,16.38
2005-09-16,47,15.55
2005-09-23,51,15.68
2005-09-30,43,16.02
2005-10-07,46,14.66
2005-10-14,45,14.04
2005-10-21,46,13.3
2005-10-28,49,12.85
2005-11-04,51,13.38
2005-11-11,48,13.45
2005-11-18,55,13.15
2005-11-25,54,13.18
2005-12-02,54,13.51
2005-12-09,69,14.12
2005-12-16,61,14.11
2005-12-23,61,14.83
2005-12-30,51,14.63
2006-01-06,46,15.68
2006-01-13,49,15.12
2006-01-20,48,14.5
2006-01-27,46,15.38
2006-02-03,46,16.32
2006-02-10,47,17
2006-02-17,48,16.28
2006-02-24,50,15.85
2006-03-03,55,16.11
2006-03-10,54,15.11
2006-03-17,45,15.24
2006-03-24,49,14.3
2006-03-31,49,14.35
2006-04-07,48,14.26
2006-04-21,47,15.08
2006-04-28,44,15
2006-05-05,44,16.99
2006-05-12,48,16.47
2006-05-19,45,16.54
2006-05-26,43,15.82
2006-06-02,40,16.1
2006-06-09,45,14.61
2006-06-16,43,15.23
2006-06-23,44,15.46
2006-06-30,41,15.65
2006-07-07,45,14.34
2006-07-14,42,14.67
2006-07-21,44,14.14
2006-07-28,43,15.41
2006-08-04,46,15.45
2006-08-11,46,15.36
2006-08-18,47,16.4
2006-08-25,46,16.35
2006-09-01,48,16.37
2006-09-08,51,16.03
2006-09-15,45,15.78
2006-09-22,44,16.61
2006-09-29,44,16.9
2006-10-06,44,16.72
2006-10-13,47,17.51
2006-10-20,48,17.05
2006-10-27,46,17.62
2006-11-03,45,18.96
2006-11-10,47,20.5
2006-11-17,47,20.94
2006-11-24,47,21.42
2006-12-01,54,21.24
2006-12-08,80,22.28
2006-12-15,62,22
2006-12-22,68,21.68
2006-12-29,64,21.36
2007-01-05,49,20.38
2007-01-12,50,22.1
2007-01-19,47,21.7
2007-01-26,50,19.95
2007-02-02,47,20.85
2007-02-09,46,21.23
2007-02-16,44,25.23
2007-02-23,47,26.47
2007-03-02,45,24.66
2007-03-09,45,26.69
2007-03-16,44,26.53
2007-03-23,41,27.65
2007-03-30,46,26.66
2007-04-13,44,30.25
2007-04-20,46,29.24
2007-04-27,43,30.75
2007-05-04,42,29.27
2007-05-11,43,29.47
2007-05-18,45,31.61
2007-05-25,41,32.97
2007-06-01,42,35.58
2007-06-08,48,35.34
2007-06-15,44,38.86
2007-06-22,45,39.74
2007-06-29,42,39.02
2007-07-06,40,39.1
2007-07-13,42,40.79
2007-07-20,43,38.79
2007-07-27,40,34.61
2007-08-03,42,39.48
2007-08-10,42,39.44
2007-08-17,42,35.97
2007-08-24,42,41.03
2007-08-31,40,42.02
2007-09-07,46,42.92
2007-09-14,51,44.77
2007-09-21,48,50.25
2007-09-28,44,53.52
2007-10-05,45,52.4
2007-10-12,46,61.68
2007-10-19,45,62.5
2007-10-26,44,68.83
2007-11-02,45,69.47
2007-11-09,46,71.04
2007-11-16,52,63.64
2007-11-23,59,61
2007-11-30,68,69.15
