"Date","MAC","Price"
2004-02-06,64,48.86
2004-02-13,64,50.1
2004-02-20,65,48.78
2004-02-27,62,49.4
2004-03-05,62,51.74
2004-03-12,62,52
2004-03-19,61,52.33
2004-03-26,61,51.85
2004-04-02,58,53.44
2004-04-16,59,44.47
2004-04-23,59,43.06
2004-04-30,57,41.87
2004-05-07,60,40.7
2004-05-14,58,41.3
2004-05-21,58,42.4
2004-05-28,58,45.25
2004-06-04,60,45.3
2004-06-18,58,47.3
2004-06-25,59,47.7
2004-07-02,62,49.25
2004-07-09,60,48.68
2004-07-16,62,48.79
2004-07-23,62,46.6
2004-07-30,61,47.9
2004-08-06,59,48.55
2004-08-13,58,48.01
2004-08-20,60,50.98
2004-08-27,59,54.11
2004-09-03,62,54.24
2004-09-10,61,53.9
2004-09-17,61,54.06
2004-09-24,59,52.23
2004-10-01,60,54.1
2004-10-08,61,54.89
2004-10-15,62,56.75
2004-10-22,60,57.57
2004-10-29,58,59.75
2004-11-05,61,57.75
2004-11-12,63,60.58
2004-11-19,60,59.4
2004-11-26,60,60.74
2004-12-03,60,61.95
2004-12-10,61,62.15
2004-12-17,63,64.66
2004-12-31,66,62.8
2005-01-07,64,58
2005-01-14,81,58.33
2005-01-21,72,59.5
2005-01-28,72,56.8
2005-02-04,69,59.61
2005-02-11,69,60
2005-02-18,66,59.74
2005-02-25,65,57.73
2005-03-04,63,58.94
2005-03-11,64,56.1
2005-03-18,62,56.4
2005-04-01,60,54.2
2005-04-08,60,54.3
2005-04-15,59,56.22
2005-04-22,59,57.85
2005-04-29,64,60.3
2005-05-06,67,59.12
2005-05-13,66,59.8
2005-05-20,63,63.35
2005-05-27,63,61.5
2005-06-03,61,62.05
2005-06-10,64,64.39
2005-06-17,62,65.35
2005-06-24,62,67.04
2005-07-01,60,67.4
2005-07-08,59,68.08
2005-07-15,58,67
2005-07-22,61,67.54
2005-07-29,61,70.22
2005-08-05,60,65.75
2005-08-12,64,64.9
2005-08-19,65,64.03
2005-08-26,68,63.62
2005-09-02,65,65.06
2005-09-09,63,65.76
2005-09-16,63,65
2005-09-23,66,62.61
2005-09-30,62,64.94
2005-10-07,62,62.59
2005-10-14,64,62.65
2005-10-21,62,62.92
2005-10-28,62,64
2005-11-04,62,62.15
2005-11-11,61,65.43
2005-11-18,60,66.76
2005-11-25,63,68.58
2005-12-02,62,68.37
2005-12-09,61,67.63
2005-12-16,63,67.77
2005-12-23,63,68.5
2005-12-30,67,67.14
2006-01-06,65,70.83
2006-01-13,71,70.1
2006-01-20,64,69.65
2006-01-27,63,71.76
2006-02-03,62,70.71
2006-02-10,60,69.95
2006-02-17,61,71.2
2006-02-24,64,72.3
2006-03-03,64,71.1
2006-03-10,63,72.4
2006-03-17,59,74.34
2006-03-24,58,72.44
2006-03-31,57,73.95
2006-04-07,60,71.45
2006-04-21,57,73.66
2006-04-28,55,73.22
2006-05-05,55,74.05
2006-05-12,56,70.8
2006-05-19,57,69.44
2006-05-26,59,69.53
2006-06-02,58,71.25
2006-06-09,58,71.19
2006-06-16,57,70.05
2006-06-23,56,68.11
2006-06-30,59,70.2
2006-07-07,60,71.07
2006-07-14,59,71
2006-07-21,58,70.02
2006-07-28,61,72.5
2006-08-04,61,71.78
2006-08-11,64,70.4
2006-08-18,66,72.17
2006-08-25,66,72.5
2006-09-01,65,73.68
2006-09-08,65,73.7
2006-09-15,66,76.44
2006-09-22,64,75.85
2006-09-29,65,76.36
2006-10-06,66,77.9
2006-10-13,64,78.65
2006-10-20,65,78.14
2006-10-27,66,79.8
2006-11-03,66,77.66
2006-11-10,66,78.21
2006-11-17,64,80.8
2006-11-24,65,86.72
2006-12-01,66,85.74
2006-12-08,64,85.13
2006-12-15,66,83.38
2006-12-22,67,82.57
2006-12-29,77,86.57
2007-01-05,74,85.76
2007-01-12,73,90.55
2007-01-19,68,92.48
2007-01-26,69,93.46
2007-02-02,70,96.6
2007-02-09,71,100.1
2007-02-16,69,98.25
2007-02-23,69,96.24
2007-03-02,66,91.96
2007-03-09,67,93.14
2007-03-16,67,90.67
2007-03-23,64,93.43
2007-03-30,66,92.36
2007-04-13,64,94.28
2007-04-20,61,95.79
2007-04-27,63,96.05
2007-05-04,62,93.76
2007-05-11,61,93.03
2007-05-18,62,85.65
2007-05-25,62,84.08
2007-06-01,61,89.39
2007-06-08,64,87.31
2007-06-15,64,85.94
2007-06-22,62,83.1
2007-06-29,64,82.42
2007-07-06,63,85.61
2007-07-13,63,84.71
2007-07-20,62,80.33
2007-07-27,61,73.14
2007-08-03,61,74.78
2007-08-10,64,78.94
2007-08-17,66,81.11
2007-08-24,67,81.16
2007-08-31,67,81.22
2007-09-07,66,79.87
2007-09-14,67,82.77
2007-09-21,67,84.43
2007-09-28,66,87.58
2007-10-05,67,91.78
2007-10-12,67,90.88
2007-10-19,67,85.15
2007-10-26,68,85.31
2007-11-02,79,82.08
2007-11-09,73,78.54
2007-11-16,75,78.96
2007-11-23,83,75.8
2007-11-30,82,77.65
2007-12-07,80,80.1
2007-12-14,70,74.61
2007-12-21,72,73.86
2007-12-28,82,70.63
2008-01-04,77,64.86
2008-01-11,75,61.52
2008-01-18,82,58.91
2008-01-25,76,66.03
2008-02-01,75,72.13
2008-02-08,75,64.07
2008-02-15,70,65.56
2008-02-22,71,64.15
2008-02-29,70,64
2008-03-07,70,61.17
2008-03-14,70,61.6
2008-03-28,71,68.57
2008-04-04,70,72.85
2008-04-11,69,69.85
2008-04-18,69,73.27
2008-04-25,65,74.75
2008-05-02,67,75.15
2008-05-09,65,73.15
2008-05-16,65,73.74
2008-05-23,64,69.97
2008-05-30,64,71.53
2008-06-06,66,69.45
2008-06-13,67,67.25
2008-06-20,68,66.18
2008-06-27,69,62.1
2008-07-11,72,57.49
2008-07-18,71,56.62
2008-07-25,70,55.69
2008-08-01,65,55.42
2008-08-08,92,60.93
2008-08-15,100,62.6
2008-08-22,75,58.58
2008-08-29,74,61.93
2008-09-05,74,64.11
2008-09-12,76,65.39
2008-09-19,74,67.81
2008-09-26,75,65.1
2008-10-03,72,48.12
2008-10-10,72,43
2008-10-17,74,33.7
2008-10-24,72,22.09
2008-10-31,72,29.42
2008-11-07,73,29.26
2008-11-14,73,17.11
2008-11-21,71,10.75
2008-11-28,71,13.46
2008-12-05,74,10.93
2008-12-12,74,14.29
2008-12-19,73,20.84
2008-12-26,85,20.27
2009-01-02,80,18.41
2009-01-09,80,17.26
2009-01-16,75,16.77
2009-01-23,74,16.07
2009-01-30,75,14.74
2009-02-06,74,15.09
2009-02-13,73,13.54
2009-02-20,72,11.2
2009-02-27,77,11.42
2009-03-06,77,7.17
2009-03-13,73,8.54
2009-03-20,74,6.19
2009-03-27,72,5.8
2009-04-03,72,9.84
2009-04-17,73,15.36
2009-04-24,68,16.28
2009-05-01,69,16.67
2009-05-08,68,19.3
2009-05-15,68,15.02
2009-05-22,69,15.96
2009-05-29,66,16.88
2009-06-05,68,20.71
2009-06-12,73,19.62
2009-06-19,71,18.44
2009-06-26,67,17.61
2009-07-10,69,14.96
2009-07-17,68,17.13
2009-07-24,71,18.93
2009-07-31,71,19.67
2009-08-07,73,27.4
2009-08-14,74,26.33
2009-08-21,74,25.72
2009-08-28,82,30.04
2009-09-04,84,26.18
2009-09-11,82,29.45
2009-09-18,81,33.69
2009-09-25,79,30.52
2009-10-02,76,27.88
2009-10-09,76,29.99
2009-10-16,76,29.16
2009-10-23,79,31.02
2009-10-30,79,29.8
2009-11-06,78,29.99
2009-11-13,77,32.5
2009-11-20,75,30.02
2009-11-27,79,28.44
2009-12-04,77,30.34
2009-12-11,80,31.21
2009-12-18,78,32.89
2010-01-08,80,32.84
2010-01-15,77,32.78
2010-01-22,77,31.55
2010-01-29,80,30.85
2010-02-05,78,31.31
2010-02-12,78,30.85
2010-02-19,74,33.64
2010-02-26,74,35.64
2010-03-05,74,38.58
