"Date","PGR","Price"
2004-02-06,58,82.95
2004-02-13,38,82.35
2004-02-20,39,84.59
2004-02-27,38,82.66
2004-03-05,27,86.42
2004-03-12,37,84.55
2004-03-19,47,87.85
2004-03-26,33,86.92
2004-04-02,23,88.25
2004-04-16,26,89.89
2004-04-23,50,88.75
2004-04-30,47,87.52
2004-05-07,39,83.32
2004-05-14,48,83
2004-05-21,52,83.29
2004-05-28,30,85.77
2004-06-04,45,85.73
2004-06-18,35,85.27
2004-06-25,55,85.87
2004-07-02,65,84.46
2004-07-09,62,82.01
2004-07-16,56,78.56
2004-07-23,72,76.25
2004-07-30,50,76.62
2004-08-06,49,74.67
2004-08-13,54,74.07
2004-08-20,55,77.87
2004-08-27,60,80.78
2004-09-03,44,81.06
2004-09-10,53,79.25
2004-09-17,51,85.53
2004-09-24,41,83.23
2004-10-01,46,84.48
2004-10-08,59,84.05
2004-10-15,41,86.44
2004-10-22,40,88.72
2004-10-29,40,93.55
2004-11-05,45,96.58
2004-11-12,54,96.49
2004-11-19,44,92.02
2004-11-26,35,91.83
2004-12-03,49,93.59
2004-12-10,39,88.04
2004-12-17,28,83.8
2004-12-31,36,84.84
2005-01-07,34,86.29
2005-01-14,34,83.89
2005-01-21,43,82.8
2005-01-28,45,82.54
2005-02-04,39,85.41
2005-02-11,49,86.31
2005-02-18,38,86.54
2005-02-25,54,87.64
2005-03-04,39,88.76
2005-03-11,48,88.54
2005-03-18,59,90.21
2005-04-01,88,90.35
2005-04-08,92,89.9
2005-04-15,86,87.63
2005-04-22,56,91.02
2005-04-29,62,91.27
2005-05-06,55,92.95
2005-05-13,42,90.9
2005-05-20,54,94.15
2005-05-27,53,95.26
2005-06-03,41,97.26
2005-06-10,53,97.9
2005-06-17,78,99.54
2005-06-24,53,99.92
2005-07-01,61,98.19
2005-07-08,54,99.92
2005-07-15,54,97.8
2005-07-22,30,98.08
2005-07-29,49,99.69
2005-08-05,48,96.64
2005-08-12,57,95.23
2005-08-19,45,97.24
2005-08-26,42,96.51
2005-09-02,48,98
2005-09-09,45,98.01
2005-09-16,44,102.02
2005-09-23,56,106.92
2005-09-30,42,104.77
2005-10-07,46,104.04
2005-10-14,52,113.7
2005-10-21,44,110.62
2005-10-28,51,116.15
2005-11-04,64,119
2005-11-11,64,120.95
2005-11-18,75,121.05
2005-11-25,81,121.28
2005-12-02,80,123.7
2005-12-09,72,123.52
2005-12-16,61,119.76
2005-12-23,52,119.27
2005-12-30,79,116.78
2006-01-06,62,116.26
2006-01-13,60,116.67
2006-01-20,68,108.13
2006-01-27,60,105.07
2006-02-03,56,104.66
2006-02-10,46,103.23
2006-02-17,59,105.6
2006-02-24,64,108.05
2006-03-03,60,104.95
2006-03-10,54,102.8
2006-03-17,60,106.17
2006-03-24,50,103.98
2006-03-31,54,104.26
2006-04-07,49,102.67
2006-04-21,53,106.46
2006-04-28,59,108.53
2006-05-05,48,107.43
2006-05-12,49,107.2
2006-05-19,51,27.24
2006-05-26,56,27.15
2006-06-02,47,27.63
