"Date","sell.ADS","Price"
2004-02-06,85,30.17
2004-02-13,93,29.53
2004-02-20,100,29.25
2004-04-16,68,33.37
2004-04-23,68,37.43
2004-04-30,68,34.77
2004-05-07,68,35.58
2004-05-14,70,35.85
2004-05-21,73,35.92
2004-05-28,79,37.01
2004-06-04,73,39.38
2004-08-06,94,36.11
2004-08-13,73,36.12
2004-08-20,79,36.92
2004-08-27,92,37.68
2004-09-03,63,38.94
2004-09-10,69,39.62
2004-09-17,75,40
2004-09-24,82,40.3
2004-10-01,88,41.44
2004-10-08,90,40.7
2004-10-15,51,43.25
2004-10-22,51,40.64
2004-10-29,64,42.28
2004-11-05,56,41.91
2004-11-12,51,43
2004-11-19,51,43.35
2004-11-26,51,42.93
2004-12-03,62,43.67
2004-12-10,53,44.37
2004-12-17,45,47.29
2004-12-31,45,47.48
2005-01-07,45,46.42
2005-01-14,45,44.04
2005-01-21,62,44.75
2005-01-28,43,43.52
2005-02-04,55,42.46
2005-02-11,67,41.51
2005-02-18,60,39.29
2005-02-25,60,39.45
2005-03-04,60,38.28
2005-03-11,45,38.96
2005-03-18,45,39.83
2005-04-01,46,41.18
2005-04-08,47,39.58
2005-04-15,48,37.38
2005-04-22,86,42.79
2005-04-29,68,40.4
2005-05-06,41,38.87
2005-05-13,50,35.95
2005-05-20,43,37.95
2005-05-27,54,37.71
2005-06-03,64,37
2005-06-10,47,36.9
2005-06-17,47,39.11
2005-06-24,41,39.95
2005-07-01,60,41
2005-07-08,68,41.85
2005-07-15,40,43.44
2005-07-22,40,43.55
2005-07-29,44,42.57
2005-08-05,52,41.44
2005-08-12,58,41.81
2005-08-19,66,41.22
2005-08-26,44,41.79
2005-09-02,85,40.65
2005-09-09,54,41.02
2005-09-16,41,40.86
2005-09-23,47,40.66
2005-09-30,53,39.15
2005-10-07,53,37.93
2005-10-14,54,37.62
2005-10-21,36,36.9
2005-10-28,39,34.73
2005-11-04,43,36.04
2005-11-11,37,36.9
2005-11-18,50,37.18
2005-11-25,36,38.76
2005-12-02,33,37.5
2005-12-09,31,36.7
2005-12-16,31,35.85
2005-12-23,33,36.47
2005-12-30,36,35.6
2006-01-06,38,38.81
2006-01-13,41,39.1
2006-01-20,56,40.63
2006-01-27,48,42.45
2006-02-03,62,43.73
2006-02-10,33,43.04
2006-02-17,64,43.56
2006-02-24,60,43.85
2006-03-03,37,43.62
2006-03-10,57,46.01
2006-03-17,53,46.32
2006-03-24,53,46.5
2006-03-31,51,46.77
2006-04-07,39,46.07
2006-04-21,29,56.07
2006-04-28,54,55
2006-05-05,43,54.18
2006-05-12,48,51.33
2006-05-19,35,52.69
2006-05-26,38,54.02
2006-06-02,55,55.17
2006-06-09,36,53.74
2006-06-16,39,55.22
2006-06-23,49,55.8
2006-06-30,46,58.82
2006-07-07,29,57.68
2006-07-14,49,53.98
2006-07-21,45,50.41
2006-07-28,55,51.39
2006-08-04,48,51.77
2006-08-11,68,47.57
2006-08-18,36,52.75
2006-08-25,36,48.55
2006-09-01,35,51.06
2006-09-08,47,51.5
2006-09-15,47,54.8
2006-09-22,53,54.65
2006-09-29,31,55.19
2006-10-06,40,57.33
2006-10-13,39,56.35
2006-10-20,38,60.46
2006-10-27,30,59.95
2006-11-03,36,59.2
2006-11-10,36,62.38
2006-11-17,50,64.83
2006-11-24,47,64.16
2006-12-01,49,64.95
2006-12-08,41,64.09
2006-12-15,42,63.88
2006-12-22,33,61.28
2006-12-29,33,62.47
2007-01-05,33,64.66
2007-01-12,30,65.42
2007-01-19,40,64.04
2007-01-26,57,66.95
2007-02-02,36,66.43
2007-02-09,35,63.56
2007-02-16,46,62.82
2007-02-23,56,62.95
2007-03-02,31,58.65
2007-03-09,49,57.56
2007-03-16,49,59.84
2007-03-23,26,63.39
2007-03-30,50,61.62
2007-04-13,31,65.54
2007-04-20,53,63.96
2007-04-27,45,64.27
2007-05-04,37,64.33
2007-05-11,31,62.88
2007-05-18,58,78.33
2007-05-25,42,77.75
2007-06-01,49,77.81
2007-06-08,36,77.74
2007-06-15,48,77.3
2007-06-22,41,77.56
2007-06-29,55,77.28
2007-07-06,38,78.16
2007-07-13,42,77.35
2007-07-20,27,77.69
2007-07-27,46,75.33
2007-08-03,37,77.25
2007-08-10,53,74.38
2007-08-17,42,72.9
2007-08-24,43,77.15
2007-08-31,35,78.45
2007-09-07,32,78.8
