"Date","buy.CF","Price"
2008-04-25,88,144.13
2008-09-05,81,131.2
2009-02-20,73,55.72
2009-04-03,66,74.54
2009-04-17,69,69.95
2009-04-24,69,71.09
2009-05-01,69,74.86
2009-05-08,70,73.81
2009-05-15,70,79.75
2009-05-22,69,80.76
2009-05-29,69,77.64
2009-06-05,69,78.35
2009-06-12,68,82.5
2009-06-19,68,74.99
2009-06-26,71,76.19
2009-07-10,77,69.62
2009-09-18,64,90.19
2009-11-20,70,82.73
2009-11-27,59,83.94
2009-12-04,59,88.55
2009-12-11,60,89.99
2009-12-18,60,86.44
2010-01-08,58,98.31
2010-01-15,61,95.42
2010-01-22,61,96.13
2010-01-29,60,92.86
2010-02-05,65,94.22
2010-02-12,75,100.5
2010-02-19,67,104.14
2010-02-26,64,106.24
2010-03-05,64,104.74
2010-03-12,64,96.73
2010-03-19,64,91.4
2010-03-26,64,93.17
2010-04-09,49,92.9
2010-04-16,49,90
2010-04-23,54,85.1
2010-04-30,55,83.67
2010-05-07,50,73.3
2010-05-14,61,72.45
2010-05-21,71,68.15
2010-05-28,72,68.59
2010-06-04,73,60.93
2010-06-11,71,65.35
2010-06-18,57,64.25
2010-06-25,62,67.6
2010-07-02,67,68.42
2010-07-09,69,74.24
2010-07-16,68,76.96
2010-07-23,68,80.13
2010-07-30,68,81.19
2010-08-06,63,84.31
2010-08-13,48,84.65
2010-08-20,56,90.01
2010-08-27,64,93.16
2010-09-03,50,94.95
2010-09-10,56,95.3
2010-09-17,62,99.86
2010-09-24,48,100.36
2010-10-01,77,94.65
2010-10-08,47,109.9
2010-10-15,47,119.86
2010-10-22,46,117.65
2010-10-29,67,122.53
2010-11-05,54,122.47
2010-11-12,60,119.65
2010-11-19,66,117.71
2010-11-26,44,122.81
2010-12-03,44,126.83
2010-12-10,49,123.01
2010-12-17,52,124.98
2010-12-31,58,135.15
2011-01-07,61,137.47
2011-01-14,46,146.27
2011-01-21,38,133.3
2011-01-28,53,133.98
2011-02-04,43,142.66
2011-02-11,49,150.34
2011-02-18,41,137.87
2011-02-25,37,140.04
2011-03-04,39,134.31
2011-03-11,42,126.02
2011-03-18,45,127.4
2011-03-25,48,132.1
2011-04-01,52,139.29
2011-04-08,61,138.54
2011-04-15,59,129.98
2011-04-29,48,141.55
2011-05-06,48,137.82
2011-05-13,48,133.58
2011-05-20,56,139.06
2011-05-27,64,155.19
2011-06-03,72,151.41
2011-06-10,86,152.56
2011-06-17,100,136.06
2011-06-24,52,140.65
2011-07-01,41,139.52
2011-07-08,90,149.01
2011-07-15,53,154.22
2011-07-22,41,160.25
2011-07-29,78,155.32
2011-08-05,44,146.66
2011-08-12,60,168.2
2011-08-19,76,164.81
2011-08-26,57,180.35
2011-09-02,45,181.89
2011-09-09,41,180.09
2011-09-16,47,175.15
2011-09-23,43,145.69
2011-09-30,57,123.39
2011-10-07,50,134.71
2011-10-14,64,150.5
2011-10-21,49,153.4
2011-10-28,62,170.14
2011-11-04,39,173.82
2011-11-11,45,172.62
2011-11-18,51,151.68
2011-11-25,52,139.75
2011-12-02,51,140.73
2011-12-09,38,141.56
2011-12-16,70,129.89
2011-12-23,59,144.15
2011-12-30,52,144.98
2012-01-06,73,157.99
2012-01-13,39,172.55
2012-01-20,41,175.49
2012-01-27,29,179.59
2012-02-03,44,186.75
2012-02-10,73,180.15
2012-02-17,58,178.84
2012-02-24,32,183.88
2012-03-02,44,188.25
2012-03-09,35,178.73
2012-03-16,35,184.21
2012-03-23,47,188.76
2012-03-30,44,182.65
2012-04-13,51,186.25
2012-04-20,40,186.67
2012-04-27,35,197.97
2012-05-04,35,183.91
2012-05-11,28,172.18
2012-05-18,83,157.01
2012-05-25,55,166.56
2012-06-01,38,162.09
2012-06-08,40,170.52
2012-06-15,43,165.11
2012-06-22,43,177.69
2012-06-29,46,193.74
2012-07-06,44,196.17
2012-07-13,32,195.2
2012-07-20,46,202.77
2012-07-27,53,200.29
2012-08-03,62,202.02
2012-08-10,44,207.95
2012-08-17,39,216.63
2012-08-24,54,207.59
2012-08-31,85,207.01
2012-09-07,51,214.97
2012-09-14,55,223.69
2012-09-21,55,218.7
2012-09-28,35,222.24
2012-10-05,46,221.92
2012-10-12,29,210.51
2012-10-19,44,206.68
2012-10-26,53,204.82
2012-11-02,44,199.03
2012-11-09,44,196.04
2012-11-16,41,195.58
2012-11-23,39,210.12
2012-11-30,40,214.03
2012-12-07,30,212.31
2012-12-14,40,205.99
2012-12-21,49,199.8
2012-12-28,40,199.64
2013-01-04,35,210.88
2013-01-11,59,218.17
2013-01-18,50,219.06
2013-01-25,43,230.28
2013-02-01,33,229.96
2013-02-08,57,226.16
2013-02-15,51,216.67
2013-02-22,53,201.52
2013-03-01,60,201.5
2013-03-08,51,207.14
2013-03-15,55,203.89
2013-03-22,55,193.25
2013-04-05,47,189.97
2013-04-12,28,182.24
2013-04-19,65,179.15
2013-04-26,37,185.75
2013-05-03,35,184
2013-05-10,40,194.97
2013-05-17,44,190.52
2013-05-24,44,186.73
2013-05-31,42,190.96
2013-06-07,48,194.42
2013-06-14,37,184.56
2013-06-21,42,182.67
2013-06-28,51,171.5
2013-07-05,33,175.45
2013-07-12,36,184.14
2013-07-19,36,183.92
2013-07-26,33,181
2013-08-02,44,193.34
2013-08-09,40,188.25
2013-08-16,45,187.84
2013-08-23,49,194.3
2013-08-30,25,190.34
2013-09-06,40,194.19
2013-09-13,49,193.83
2013-09-20,37,208.17
2013-09-27,33,210.48
2013-10-04,35,216.38
2013-10-11,40,204.55
2013-10-18,42,215.16
2013-10-25,21,209.62
2013-11-01,57,214.94
2013-11-08,32,219.36
2013-11-15,30,218.9
2013-11-22,42,215.19
2013-11-29,39,217.38
2013-12-06,29,233.09
2013-12-13,47,225.55
2013-12-20,38,228
2013-12-27,53,231.13
2014-01-03,37,232.08
2014-01-10,31,246.16
2014-01-17,35,245.81
2014-01-24,26,232.68
2014-01-31,47,230.86
2014-02-07,32,234.06
2014-02-14,42,231.65
2014-02-21,26,242.97
2014-02-28,44,250.9
2014-03-07,39,261.09
2014-03-14,32,252.32
2014-03-21,38,254
2014-03-28,52,257.79
2014-04-04,42,255.62
2014-04-11,48,237.72
2014-04-25,31,240.69
