"Date","sell.ACE","Price"
2009-05-22,51,43.94
2009-08-28,59,52.38
2009-10-23,49,54.38
2010-02-26,39,49.99
2010-03-05,42,51.49
2010-03-12,45,50.2
2010-03-19,48,52.7
2010-08-27,48,54.34
2010-09-03,40,55.24
2010-09-10,40,55.55
2010-09-17,43,57.9
2010-09-24,38,58.05
2010-10-01,38,58.19
2010-10-08,37,58.91
2010-10-15,37,59.67
2010-10-22,37,60.38
2010-10-29,37,59.42
2010-11-05,37,61.88
2010-11-12,38,59.8
2010-11-19,40,60.45
2010-11-26,46,58.91
2010-12-03,51,59.43
2010-12-10,57,60.28
2010-12-17,63,61.05
2010-12-31,31,62.25
2011-01-07,31,61.26
2011-01-14,31,60.79
2011-01-21,31,60.51
2011-01-28,34,61.17
2011-02-04,29,63.06
2011-02-11,29,63.44
2011-02-18,29,65.74
2011-02-25,29,63.28
2011-03-04,38,62.69
2011-03-11,30,61.39
2011-03-18,39,60.83
2011-03-25,44,62.37
2011-04-01,42,65.84
2011-04-08,42,65.79
2011-04-15,48,65.88
2011-04-29,49,67.25
2011-05-06,33,67.24
2011-05-13,54,67.8
2011-05-20,36,68.61
2011-05-27,33,68.58
2011-06-03,55,68.1
2011-06-10,52,65.99
2011-06-17,44,64.31
2011-06-24,45,63.95
2011-07-01,45,66.26
2011-07-08,45,65.64
2011-07-15,55,64.57
2011-07-22,42,65.78
2011-07-29,42,66.98
2011-08-05,51,63.18
2011-08-12,38,62.73
2011-08-19,44,59.98
2011-08-26,51,62.4
2011-09-02,36,62.22
2011-09-09,30,61.6
2011-09-16,43,62.86
2011-09-23,35,59.7
2011-09-30,40,60.6
2011-10-07,50,60.34
2011-10-14,44,63.15
2011-10-21,34,70.19
2011-10-28,37,72.86
2011-11-04,41,72.04
2011-11-11,46,71.24
2011-11-18,51,67.88
2011-11-25,47,64.93
2011-12-02,33,68.38
2011-12-09,50,69.37
2011-12-16,36,66.74
2011-12-23,40,70.47
2011-12-30,42,70.12
2012-01-06,43,70.03
2012-01-13,55,69.76
2012-01-20,43,72.67
2012-01-27,43,69.46
2012-02-03,38,74.21
2012-02-10,31,73.08
2012-02-17,42,73.58
2012-02-24,31,73.13
2012-03-02,50,72.45
2012-03-09,50,71.68
2012-03-16,61,72.27
2012-03-23,54,72.75
2012-03-30,71,73.2
2012-04-13,54,71.56
2012-04-20,56,75.3
2012-04-27,60,76.36
2012-05-04,40,76.44
2012-05-11,55,76.27
2012-05-18,46,72.02
2012-05-25,70,73.18
2012-06-01,44,70.22
2012-06-08,51,72.85
2012-06-15,50,72.75
2012-06-22,48,72.28
2012-06-29,65,74.13
2012-07-06,58,72.53
2012-07-13,41,72.81
2012-07-20,68,70.78
2012-07-27,49,73.56
2012-08-03,56,73.66
2012-08-10,66,72.74
2012-08-17,84,73.46
2012-08-24,59,74.25
2012-08-31,46,73.73
2012-09-07,66,75.07
2012-09-14,60,77.03
2012-09-21,58,75.93
2012-09-28,63,75.6
2012-10-05,39,78.13
2012-10-12,55,77.01
2012-10-19,59,80.52
2012-10-26,68,79.35
2012-11-02,48,77.5
2012-11-09,40,78.15
2012-11-16,56,77.3
2012-11-23,54,79.8
2012-11-30,48,79.23
2012-12-07,50,80.97
2012-12-14,69,79.32
2012-12-21,54,80.07
2012-12-28,46,78.97
2013-01-04,48,82.32
2013-01-11,51,82.76
2013-01-18,50,83.24
2013-01-25,42,85.34
2013-02-01,48,85.59
2013-02-08,50,86.2
2013-02-15,52,86.5
2013-02-22,52,86.69
2013-03-01,35,85.67
2013-03-08,66,86.98
2013-03-15,44,88.26
2013-03-22,57,88.32
2013-04-05,64,88.98
2013-04-12,56,91.99
2013-04-19,93,89.03
2013-04-26,62,88.94
2013-05-03,55,89.9
2013-05-10,83,91.6
2013-05-17,85,91.65
2013-05-24,59,89.78
2013-05-31,76,89.68
2013-06-07,94,89.88
2013-06-14,52,88.55
2013-06-21,73,86.15
2013-06-28,54,89.48
2013-07-05,100,90.12
2013-07-12,84,93.5
2013-07-19,80,94.74
2013-07-26,72,92.33
2013-08-02,89,91.95
2013-08-09,71,89.74
2013-08-16,87,89.55
2013-08-23,41,90.44
2013-08-30,68,87.72
2013-09-06,72,88.19
2013-09-13,52,91.67
2013-09-20,49,94.99
2013-09-27,71,94.32
2013-10-04,54,92.88
2013-10-11,49,94.1
2013-10-18,74,96.97
2013-10-25,57,96.14
2013-11-01,60,95.86
2013-11-08,58,98.28
2013-11-15,54,98.7
2013-11-22,56,102.59
2013-11-29,76,102.78
2013-12-06,62,101.95
2013-12-13,64,99.26
2013-12-20,44,101.19
2013-12-27,56,102.62
2014-01-03,63,101.44
2014-01-10,52,98.67
2014-01-17,61,97.1
2014-01-24,52,92.19
2014-01-31,56,93.81
2014-02-07,58,94.6
2014-02-14,73,96.97
2014-02-21,57,97.19
2014-02-28,75,97.87
2014-03-07,46,97.77
2014-03-14,55,97.78
2014-03-21,68,99.26
2014-03-28,44,97.89
2014-04-04,50,98.39
2014-04-11,68,99.31
2014-04-25,65,101.59
