"Date","buy.DG","Price"
2009-11-13,57,22.73
2009-11-20,66,23.21
2009-11-27,76,23.15
2009-12-04,62,23.85
2009-12-11,63,23.34
2009-12-18,61,22.57
2010-01-08,61,23.87
2010-01-15,53,24.36
2010-01-22,53,23.34
2010-01-29,58,23.49
2010-02-05,63,21.71
2010-02-12,65,22.55
2010-02-19,68,23.58
2010-02-26,70,23.89
2010-03-05,73,24.52
2010-03-12,66,25.13
2010-03-19,66,25.6
2010-03-26,66,24.99
2010-04-09,57,26.47
2010-04-16,57,28.6
2010-04-23,57,29.38
2010-04-30,54,28.57
2010-05-07,54,27.19
2010-05-14,54,29.27
2010-05-21,54,29.55
2010-05-28,54,30.23
2010-06-04,54,30.04
2010-06-11,54,29.97
2010-06-18,54,30.15
2010-06-25,54,29.08
2010-07-02,55,28.01
2010-07-09,57,28.14
2010-07-16,62,29.09
2010-07-23,66,29.37
2010-07-30,71,29.18
2010-08-06,76,29.44
2010-08-13,81,28.76
2010-08-20,51,29.44
2010-08-27,50,28.09
2010-09-03,50,28.03
2010-09-10,50,27.45
2010-09-17,50,27.42
2010-09-24,50,28.23
2010-10-01,61,29.15
2010-10-08,72,30
2010-10-15,45,28.93
2010-10-22,58,28.2
2010-10-29,44,28.19
2010-11-05,45,28
2010-11-12,46,29.02
2010-11-19,47,30.96
2010-11-26,48,32.74
2010-12-03,51,33.43
2010-12-10,43,31.07
2010-12-17,73,30.66
2010-12-31,63,30.67
2011-01-07,43,29.83
2011-01-14,53,29.46
2011-01-21,54,29.41
2011-01-28,56,28.4
2011-02-04,49,27.47
2011-02-11,51,27.24
2011-02-18,39,29.25
2011-02-25,54,28
2011-03-04,62,28.47
2011-03-11,43,28.82
2011-03-18,43,29.85
2011-03-25,46,31.55
2011-04-01,54,31.55
2011-04-08,51,31.82
2011-04-15,51,31.49
2011-04-29,39,32.59
2011-05-06,39,32.95
2011-05-13,43,33.39
2011-05-20,51,33.63
2011-05-27,38,34.66
2011-06-03,38,31.84
2011-06-10,38,32.57
2011-06-17,39,33.89
2011-06-24,39,33.44
2011-07-01,39,34
2011-07-08,39,33.86
2011-07-15,40,33.21
2011-07-22,51,33.2
2011-07-29,39,31.46
2011-08-05,55,30.8
2011-08-12,54,31.66
2011-08-19,46,32.08
2011-08-26,45,32.55
2011-09-02,48,36.06
2011-09-09,36,34.8
2011-09-16,57,38.07
2011-09-23,53,36.55
2011-09-30,56,37.76
2011-10-07,57,37.8
2011-10-14,57,39.33
2011-10-21,38,40
2011-10-28,34,38.97
2011-11-04,48,39.26
2011-11-11,34,39.86
2011-11-18,50,39.71
2011-11-25,44,38.32
2011-12-02,47,39.94
2011-12-09,46,40.44
2011-12-16,100,41.02
2011-12-23,66,41.22
2011-12-30,47,41.14
2012-01-06,37,40.87
2012-01-13,38,41
2012-01-20,41,40.96
2012-01-27,34,42.09
2012-02-03,56,41.94
2012-02-10,43,42.89
2012-02-17,43,42.38
2012-02-24,46,41.67
2012-03-02,34,42.77
2012-03-09,53,44.21
2012-03-16,64,44.69
2012-03-23,55,47.13
2012-03-30,43,46.2
2012-04-13,54,46.3
2012-04-20,39,46.93
2012-04-27,64,47.78
2012-05-04,48,47.56
2012-05-11,48,47.17
2012-05-18,46,45.65
2012-05-25,46,47.58
2012-06-01,46,48.62
2012-06-08,39,50.29
2012-06-15,39,52.19
2012-06-22,39,52.6
2012-06-29,42,54.39
2012-07-06,37,54.59
2012-07-13,54,54.53
2012-07-20,42,52.34
2012-07-27,43,50.99
2012-08-03,37,51.9
2012-08-10,43,51.77
2012-08-17,31,51.35
2012-08-24,47,49.66
2012-08-31,62,51.07
2012-09-07,38,49.85
2012-09-14,40,50.16
2012-09-21,47,52.94
2012-09-28,54,51.54
2012-10-05,57,51.69
2012-10-12,41,49.25
2012-10-19,38,47.17
2012-10-26,61,47.63
2012-11-02,33,47.77
2012-11-09,38,46.99
2012-11-16,44,48.7
2012-11-23,27,49.41
2012-11-30,37,50
2012-12-07,53,46.8
2012-12-14,35,43.83
2012-12-21,35,43.63
2012-12-28,60,42.7
2013-01-04,34,44.6
2013-01-11,36,43.34
2013-01-18,35,44.65
2013-01-25,40,46.84
2013-02-01,40,46.28
2013-02-08,45,46
2013-02-15,43,44.37
2013-02-22,32,46.03
2013-03-01,37,47.57
2013-03-08,25,47.79
2013-03-15,39,48.18
2013-03-22,27,50.07
2013-04-05,37,50.4
2013-04-12,34,50.31
