"Date","Visa.Inc.","Price"
2008-03-28,53,62.76
2008-04-04,53,64.48
2008-04-11,53,66.11
2008-04-18,53,69
2008-04-25,53,75.1
2008-05-02,54,82.75
2008-05-09,57,82.86
2008-05-16,60,82.37
2008-05-23,64,76.35
2008-05-30,45,86.36
2008-06-06,45,83.65
2008-06-13,56,81.53
2008-09-19,43,69.57
2008-11-21,58,46.38
2008-11-28,39,52.56
2008-12-05,39,53.18
2008-12-12,40,52.95
2008-12-19,42,54.97
2008-12-26,43,53.25
2009-01-02,44,53.44
2009-01-09,46,55.62
2009-03-27,35,54.25
2009-04-03,42,60.08
2009-07-10,38,59.86
2009-07-17,39,64.1
2009-07-24,41,67.29
2009-07-31,42,65.46
2009-09-25,34,70.66
2009-11-20,38,80
2010-04-16,29,93.85
2010-07-30,26,73.35
2011-01-07,22,72.96
2011-01-14,25,71.12
2011-01-21,23,70.15
2011-01-28,25,69.46
2011-02-04,27,72.9
2011-02-11,22,74.93
2011-02-18,22,75.83
2011-02-25,22,74.68
2011-03-04,22,74.69
2011-03-11,22,72.51
2011-03-18,22,71.42
2011-03-25,22,72.09
2011-04-01,22,74.22
2011-04-08,23,76.72
2011-04-15,24,76.47
2011-04-29,20,78.12
2011-05-06,20,79.41
2011-06-24,26,73.37
2011-07-01,24,87.97
2011-07-08,24,89.73
2011-07-15,24,88.75
2011-07-22,20,89.52
2011-07-29,20,85.54
2011-08-05,20,83.41
2011-08-12,20,83.83
2011-08-19,22,79.6
2011-08-26,25,85.85
2011-09-02,28,85.55
2011-09-09,20,86.35
2011-09-16,22,90.85
2011-09-23,24,90.08
2011-09-30,18,85.72
2011-10-07,19,86.25
2011-10-14,22,93.92
2011-10-21,18,93.43
2011-10-28,18,95.1
2011-11-04,17,92.64
2011-11-11,17,95.16
2011-11-18,17,90.81
2011-11-25,17,89.02
2011-12-02,17,97.2
2012-01-13,27,100.74
2012-01-20,22,100.58
2012-01-27,22,101.05
2012-02-03,22,107.03
2012-02-10,22,113.9
2012-02-17,22,115.01
2012-02-24,18,117.54
2012-03-02,18,116.16
2012-03-09,18,117.17
2012-03-16,21,116.68
2012-03-23,24,118.78
2012-03-30,27,118
2012-04-13,28,123.16
2012-04-20,22,121.01
2012-04-27,25,123.52
2012-05-04,16,117.79
2012-05-11,16,117.92
2012-05-18,16,112.64
2012-05-25,16,119.37
2012-06-01,16,112.25
2012-06-08,15,116.58
2012-06-15,15,118.4
2012-06-22,16,124.95
2012-08-03,16,130.98
2012-08-10,17,129.09
2012-08-17,19,128.69
2012-08-24,21,126.66
2012-08-31,16,128.25
2012-09-07,16,129.71
2012-09-14,16,134.25
2012-09-21,17,135
2012-09-28,17,134.28
2012-10-05,17,140.26
2012-10-12,17,139.12
2012-10-19,18,139.97
2012-10-26,19,138.31
2012-11-02,20,143.4
2012-11-09,21,142.93
2012-11-16,22,142.71
2012-11-23,14,148.12
2012-11-30,14,149.71
2012-12-07,14,148.55
2012-12-14,14,146.82
2012-12-21,15,150.77
2012-12-28,16,148.65
2013-01-04,16,156.77
2013-01-11,14,161.16
2013-01-18,14,158.27
2013-01-25,17,159.84
2013-02-01,14,158.56
2013-02-08,14,157.8
2013-02-15,14,157.99
2013-02-22,14,159.43
2013-03-01,14,158.08
2013-03-08,14,160.67
2013-03-15,15,158.55
2013-03-22,20,160.09
2013-04-05,19,165.16
2013-04-12,18,165.75
2013-04-19,13,163.96
2013-04-26,16,167.23
2013-05-03,17,179.54
2013-05-10,17,178.75
2013-05-17,17,184.57
2013-05-24,16,180.45
2013-05-31,16,178.14
2013-06-07,16,179.94
2013-06-14,14,180.93
2013-06-21,16,179.5
2013-06-28,13,182.75
2013-07-05,13,190.79
2013-07-12,13,190.72
2013-07-19,13,189.92
2013-07-26,13,193.2
2013-08-02,13,184
2013-08-09,14,179.81
2013-08-16,18,173.13
2013-08-23,14,179.1
2013-08-30,14,174.42
2013-09-06,14,176.67
2013-09-13,14,189
2013-09-20,17,198.83
2013-09-27,12,193.05
2013-11-08,15,198.29
2013-11-15,13,202
2013-11-22,13,202.12
2013-11-29,13,203.46
2013-12-06,13,201.87
2013-12-13,12,207.36
2013-12-20,13,215.97
2013-12-27,14,219.67
2014-01-03,15,221.16
2014-01-10,16,221.13
2014-01-17,17,232.18
2014-01-24,17,221.25
2014-01-31,18,215.43
2014-02-07,18,221.78
2014-02-14,15,226
2014-02-21,13,223.36
2014-02-28,20,225.94
2014-03-07,18,225.56
2014-03-14,12,220.77
2014-03-21,23,223.37
2014-03-28,14,212.09
2014-04-04,19,207.7
2014-04-11,22,196.63
2014-04-25,11,198.93
