"Date","Duke.Energy","Price"
2004-02-06,13,21.89
2004-02-13,9,21.31
2004-02-20,12,21.52
2004-02-27,11,21.96
2004-03-05,8,21.92
2004-03-12,14,21.69
2004-03-19,10,22.03
2004-03-26,14,22
2004-04-02,10,22.28
2004-04-16,9,20.89
2004-04-23,13,21.46
2004-04-30,12,21.06
2004-05-07,12,19.8
2004-05-14,15,19.39
2004-05-21,10,19.37
2004-05-28,8,19.94
2004-06-04,8,19.58
2004-06-18,11,19.88
2004-06-25,10,20.36
2004-07-02,13,20.18
2004-07-09,11,20.55
2004-07-16,9,21.11
2004-07-23,13,20.56
2004-07-30,11,21.5
2004-08-06,10,22.15
2004-08-13,12,22.03
2004-08-20,14,21.89
2004-08-27,13,21.98
2004-09-03,10,21.99
2004-09-10,9,22
2004-09-17,8,22.18
2004-09-24,9,22.38
2004-10-01,11,23.11
2004-10-08,11,23.61
2004-10-15,7,23.74
2004-10-22,7,23.63
2004-10-29,7,24.53
2004-11-05,11,25.16
2004-11-12,8,25.54
2004-11-19,8,25.09
2004-11-26,4,26.05
2004-12-03,8,24.82
2004-12-10,10,24.7
2004-12-17,10,25.77
2004-12-31,6,25.33
2005-01-07,8,24.67
2005-01-14,8,25.13
2005-01-21,10,25.05
2005-01-28,7,26.14
2005-02-04,9,27.7
2005-02-11,6,26.79
2005-02-18,11,26.63
2005-02-25,11,27.41
2005-03-04,10,27.69
2005-03-11,9,27.47
2005-03-18,11,27.46
2005-04-01,5,28.32
2005-04-08,11,28.35
2005-04-15,11,27.89
2005-04-22,7,28.95
2005-04-29,9,29.19
2005-05-06,9,29.36
2005-05-13,31,27.57
2005-05-20,15,27.95
2005-05-27,9,27.65
2005-06-03,10,27.89
2005-06-10,10,28.15
2005-06-17,10,29
2005-06-24,12,29.19
2005-07-01,10,29.99
2005-07-08,8,29.9
2005-07-15,10,29.95
2005-07-22,7,29.75
2005-07-29,9,29.54
2005-08-05,12,29.08
2005-08-12,8,28.15
2005-08-19,8,28.49
2005-08-26,9,28.84
2005-09-02,7,29
2005-09-09,8,28.99
2005-09-16,11,29.36
2005-09-23,8,28.14
2005-09-30,9,29.17
2005-10-07,8,27.6
2005-10-14,8,25.97
