"Date","Diamond.Offshore.Drilling","Price"
2007-07-20,95,108.4
2008-05-02,76,127.99
2008-05-09,67,131.82
2008-06-20,100,130.86
2008-06-27,68,137.88
2008-07-11,68,131.86
2008-07-18,68,123.62
2008-07-25,70,115.86
2008-08-01,72,120.28
2008-08-08,75,111.83
2008-08-15,69,108.06
2008-08-22,79,109.89
2008-08-29,66,109.91
2008-09-05,66,106.9
2008-09-12,66,107.7
2008-09-19,70,112.49
2008-09-26,73,111.94
2008-10-03,77,93.73
2008-10-10,80,66.73
2008-10-17,82,69.73
2008-10-24,85,72.58
2009-02-27,61,62.64
2009-03-06,62,55.48
2009-03-13,63,59
2009-03-20,64,66.17
2009-03-27,64,65.62
2009-04-03,65,68.96
2009-04-17,50,73.44
2009-04-24,50,76.19
2009-07-10,49,77.95
2009-07-17,52,85.05
2009-07-24,54,93.13
2009-07-31,57,89.87
2009-08-07,60,89.04
2009-08-14,64,87.63
2009-08-21,68,90
2009-08-28,64,90.76
2009-09-04,64,88.68
2009-09-11,54,93.66
2009-09-18,52,93.99
2009-09-25,52,91.25
2009-10-02,52,92.45
2009-10-09,44,100.11
2009-10-16,44,105.61
2009-10-23,51,105.8
2009-10-30,41,95.25
2009-11-06,41,97.2
2009-11-13,41,100.01
2009-11-20,50,97.66
2010-01-08,57,106.34
2010-01-15,39,102.84
2010-01-22,39,94.38
2010-01-29,48,91.53
2010-02-05,57,88.46
2010-02-12,58,85.29
2010-02-19,59,89.12
2010-02-26,60,87.32
2010-03-05,49,87.93
2010-03-12,49,89.56
2010-03-19,51,84.41
2010-03-26,54,84.68
2010-04-09,40,90.72
2010-04-16,56,87.21
2010-04-23,62,85.6
2010-04-30,69,79.1
2010-05-07,57,72.9
2010-05-14,50,71.67
2010-05-21,53,70.55
2010-05-28,55,63.1
2010-06-04,74,59.15
2010-06-11,93,60.99
2010-06-18,51,63.87
2010-06-25,51,61.72
2010-07-02,37,63.49
2010-07-09,37,64.4
2010-07-16,37,62.55
2010-07-23,70,61.66
2010-09-24,37,62.82
2010-10-01,46,66.66
2010-10-08,36,67.13
2010-10-15,36,71.65
2010-10-22,32,69.51
2010-10-29,34,66.16
2010-11-05,35,69.8
2010-11-12,32,70.47
2010-11-19,31,68.93
2010-11-26,31,65.24
2010-12-03,31,66.23
2010-12-10,31,65.49
2010-12-17,31,64
2010-12-31,35,66.87
2011-01-07,38,70.57
2011-01-14,68,74.9
2011-01-21,44,73.37
2011-01-28,29,70.19
2011-02-04,30,71.67
2011-02-11,46,69.91
2011-02-18,28,75.62
2011-02-25,33,77.6
2011-03-04,37,78.73
2011-03-11,31,74.11
2011-03-18,31,75.81
