"Date","TMO","Price"
2004-02-06,15,28.34
2004-02-13,17,28.46
2004-02-20,8,27.67
2004-02-27,12,28.07
2004-03-05,18,28.95
2004-03-12,10,27.57
2004-03-19,10,27.33
2004-03-26,12,26.9
2004-04-02,13,29.33
2004-04-16,16,29.94
2004-04-23,13,31
2004-04-30,17,29.2
2004-05-07,14,28.51
2004-05-14,13,28.9
2004-05-21,12,28.66
2004-05-28,8,30.78
2004-06-04,13,29.56
2004-06-18,14,29.12
2004-06-25,14,30.01
2004-07-02,14,29.69
2004-07-09,10,28.55
2004-07-16,14,28.26
2004-07-23,14,26.74
2004-07-30,16,25.72
2004-08-06,10,24.38
2004-08-13,12,24.24
2004-08-20,15,26.14
2004-08-27,12,26.8
2004-09-03,16,26.55
2004-09-10,12,27.13
2004-09-17,13,28.18
2004-09-24,10,26.88
2004-10-01,10,28.07
2004-10-08,14,27.5
2004-10-15,14,27.22
2004-10-22,11,26.2
2004-10-29,12,29
2004-11-05,7,29.87
2004-11-12,11,29.96
2004-11-19,15,29.48
2004-11-26,12,30.07
2004-12-03,15,30.6
2004-12-10,9,30.2
2004-12-17,9,30.4
2004-12-31,11,30.19
2005-01-07,12,28.82
2005-01-14,13,29.24
2005-01-21,9,29.94
2005-01-28,14,29.54
2005-02-04,10,27.7
2005-02-11,11,27.83
2005-02-18,9,27.43
2005-02-25,16,27.45
2005-03-04,11,27.47
2005-03-11,8,27.53
2005-03-18,15,26.36
2005-04-01,15,25
2005-04-08,8,24.79
2005-04-15,11,24.74
2005-04-22,13,24.94
2005-04-29,14,24.98
2005-05-06,14,25.97
2005-05-13,10,25.85
2005-05-20,18,27.03
2005-05-27,26,26.5
2005-06-03,17,26.45
2005-06-10,15,26.65
2005-06-17,14,26.95
2005-06-24,17,26.8
2005-07-01,16,26.8
2005-07-08,10,27.02
2005-07-15,19,27.62
2005-07-22,16,29.17
2005-07-29,14,29.86
2005-08-05,16,29.11
2005-08-12,14,28.77
2005-08-19,12,28.4
2005-08-26,14,28.09
2005-09-02,13,27.74
2005-09-09,18,29.11
2005-09-16,16,30.85
2005-09-23,11,30.52
2005-09-30,13,30.9
2005-10-07,18,30.47
2005-10-14,12,30.48
2005-10-21,11,30.21
2005-10-28,14,30.01
2005-11-04,11,30.14
2005-11-11,14,29.92
2005-11-18,12,30.65
2005-11-25,16,30.75
2005-12-02,15,31.1
2005-12-09,13,30.7
2005-12-16,15,31.35
2005-12-23,12,30.53
2005-12-30,12,30.13
2006-01-06,13,30.44
2006-01-13,15,32.05
2006-01-20,12,32.01
2006-01-27,13,33.28
2006-02-03,14,34.88
2006-02-10,11,34.09
2006-02-17,16,34.16
2006-02-24,11,34.55
2006-03-03,11,34.91
2006-03-10,14,35.28
2006-03-17,9,35.9
2006-03-24,12,36.11
2006-03-31,10,37.09
2006-04-07,14,36.17
2006-04-21,12,37.7
2006-04-28,18,38.54
2006-05-05,10,39.45
2006-05-12,14,37.55
2006-05-19,14,36.7
2006-05-26,10,36.92
2006-06-02,16,36.92
2006-06-09,19,36.14
2006-06-16,14,35.24
2006-06-23,14,34
2006-06-30,16,36.24
2006-07-07,16,35.91
2006-07-14,16,34.59
2006-07-21,14,34.95
2006-07-28,14,37.2
2006-08-04,16,37.7
2006-08-11,13,38.01
2006-08-18,17,39.4
2006-08-25,13,39.23
2006-09-01,20,39.24
2006-09-08,16,39.29
2006-09-15,16,40.21
2006-09-22,15,39.41
2006-09-29,22,39.33
2006-10-06,19,39.99
2006-10-13,17,40.94
2006-10-20,21,42.03
2006-10-27,14,43.16
2006-11-03,16,42.97
2006-11-10,20,45.03
2006-11-17,20,44.14
2006-11-24,23,44.47
2006-12-01,21,43.9
2006-12-08,19,45.06
2006-12-15,18,45.66
2006-12-22,18,45.33
2006-12-29,16,45.29
2007-01-05,14,45.01
2007-01-12,16,48.38
2007-01-19,15,49.05
2007-01-26,16,47.82
2007-02-02,14,49.39
2007-02-09,15,48.69
2007-02-16,18,47.63
2007-02-23,14,47.44
2007-03-02,13,44.27
2007-03-09,12,45.93
2007-03-16,11,45.41
2007-03-23,15,46.25
2007-03-30,15,46.75
2007-04-13,16,48.97
2007-04-20,13,49.23
2007-04-27,14,53.31
2007-05-04,12,52.54
2007-05-11,16,53.63
2007-05-18,16,53.63
2007-05-25,19,54
2007-06-01,15,54.03
2007-06-08,24,52.9
2007-06-15,18,53.83
2007-06-22,20,51.3
2007-06-29,17,51.72
2007-07-06,19,52.47
2007-07-13,18,53.56
2007-07-20,15,52.34
2007-07-27,17,52.24
2007-08-03,16,52.29
2007-08-10,15,53.21
2007-08-17,16,50.26
2007-08-24,16,52.7
2007-08-31,19,54.23
2007-09-07,16,54.15
2007-09-14,20,55.69
2007-09-21,17,57.42
2007-09-28,20,57.72
2007-10-05,19,57.86
2007-10-12,16,58.7
2007-10-19,17,57.76
2007-10-26,16,57.85
2007-11-02,16,56.75
2007-11-09,15,57.02
2007-11-16,16,57.56
2007-11-23,14,57.21
2007-11-30,14,57.64
2007-12-07,13,57.87
2007-12-14,15,57.28
2007-12-21,14,58.46
2007-12-28,15,58.19
2008-01-04,16,55.94
2008-01-11,15,54.99
2008-01-18,13,52.02
2008-01-25,14,51.61
2008-02-01,15,52.38
2008-02-08,15,55.42
2008-02-15,17,57.22
2008-02-22,14,56.17
2008-02-29,17,55.93
2008-03-07,17,53.57
2008-03-14,17,53.3
2008-03-28,14,56.44
2008-04-04,16,57.95
2008-04-11,15,54.46
2008-04-18,22,56.72
2008-04-25,18,55.97
2008-05-02,17,58.65
2008-05-09,17,56.26
2008-05-16,14,57.94
2008-05-23,16,57.91
2008-05-30,19,59.02
2008-06-06,18,57.92
2008-06-13,18,58.71
2008-06-20,21,57.55
2008-06-27,20,55.32
2008-07-11,20,57.15
2008-07-18,18,55.94
2008-07-25,17,58.8
2008-08-01,18,60.2
2008-08-08,19,61
2008-08-15,22,62.7
2008-08-22,29,61.28
2008-08-29,37,60.56
2008-09-05,100,56.38
2008-09-12,65,58.52
2008-09-19,56,56.98
2008-09-26,44,56.62
2008-10-03,28,50.57
2008-10-10,40,41.01
2008-10-17,37,43.35
2008-10-24,35,37.44
2008-10-31,29,40.6
2008-11-07,29,37.73
2008-11-14,29,34.04
2008-11-21,26,29.73
2008-11-28,25,35.68
2008-12-05,34,33.97
2008-12-12,27,30.46
2008-12-19,36,32.53
2008-12-26,35,32.82
2009-01-02,33,35.36
2009-01-09,33,33.8
2009-01-16,31,38.9
2009-01-23,36,34.69
2009-01-30,31,35.93
2009-02-06,33,40
2009-02-13,35,39.92
2009-02-20,32,37.01
2009-02-27,33,36.26
2009-03-06,41,34.16
2009-03-13,24,34.69
2009-03-20,21,33.31
2009-03-27,17,36.6
2009-04-03,17,35.53
2009-04-17,16,37.67
2009-04-24,14,33.15
2009-05-01,15,36.55
2009-05-08,16,36.69
2009-05-15,16,35.14
2009-05-22,15,36.26
2009-05-29,17,38.91
2009-06-05,27,39.99
2009-06-12,22,41.79
2009-06-19,16,41.37
2009-06-26,18,41.91
2009-07-10,21,38.38
2009-07-17,23,40.88
2009-07-24,23,44.39
2009-07-31,22,45.28
2009-08-07,23,45.21
2009-08-14,22,45.07
2009-08-21,20,45.67
2009-08-28,20,45.45
2009-09-04,18,44.7
2009-09-11,19,47.14
2009-09-18,20,44.87
2009-09-25,14,44
2009-10-02,14,44.2
2009-10-09,15,45.5
2009-10-16,13,47.4
2009-10-23,14,47.66
2009-10-30,12,45
2009-11-06,15,44.88
2009-11-13,16,44.6
2009-11-20,14,46.56
2009-11-27,12,47.48
2009-12-04,14,48.38
2009-12-11,15,48.2
2009-12-18,14,48.31
2010-01-08,17,48.92
2010-01-15,15,47.75
2010-01-22,14,47.04
2010-01-29,13,46.15
2010-02-05,14,47
2010-02-12,14,47.26
2010-02-19,14,49.22
2010-02-26,15,48.77
2010-03-05,14,49.49
2010-03-12,15,50.16
2010-03-19,15,49.88
2010-03-26,16,50.01
2010-04-09,13,52.28
2010-04-16,14,53.26
2010-04-23,13,53.7
2010-04-30,14,55.28
2010-05-07,12,51.41
2010-05-14,14,52.51
2010-05-21,13,50.86
2010-05-28,14,52.06
2010-06-04,22,49.53
2010-06-11,17,51.95
2010-06-18,15,53.66
2010-06-25,16,50.9
2010-07-02,15,47.58
2010-07-09,15,49.28
2010-07-16,15,49.06
2010-07-23,17,51.09
2010-07-30,19,44.86
2010-08-06,16,45.77
2010-08-13,19,44.3
2010-08-20,16,44.2
2010-08-27,16,43.18
2010-09-03,17,45.19
2010-09-10,15,45.88
2010-09-17,14,47.31
2010-09-24,15,47.9
2010-10-01,17,47.82
2010-10-08,16,47.46
2010-10-15,14,48.79
2010-10-22,13,49.66
2010-10-29,13,51.42
2010-11-05,16,52.38
2010-11-12,14,52.2
2010-11-19,14,51.2
2010-11-26,15,51.47
2010-12-03,15,52.85
2010-12-10,14,53.04
2010-12-17,14,55.78
2010-12-31,13,55.36
2011-01-07,15,56.37
2011-01-14,14,56.65
2011-01-21,14,55.51
2011-01-28,17,57.01
2011-02-04,15,55.96
2011-02-11,14,57.85
2011-02-18,16,57.68
2011-02-25,15,55.56
2011-03-04,13,57.02
2011-03-11,13,55.25
2011-03-18,14,52.58
2011-03-25,16,54.39
2011-04-01,14,55.98
2011-04-08,14,55.81
2011-04-15,14,55.75
2011-04-29,16,59.99
2011-05-06,14,60.36
2011-05-13,15,61.91
2011-05-20,14,65.18
2011-05-27,16,65.15
2011-06-03,16,62.8
2011-06-10,15,62.84
2011-06-17,16,62.22
2011-06-24,16,62.51
2011-07-01,16,65.01
2011-07-08,18,64.78
2011-07-15,22,63.22
2011-07-22,16,64.93
2011-07-29,16,60.09
2011-08-05,15,53.82
2011-08-12,16,53.64
2011-08-19,17,50.46
2011-08-26,16,53.42
2011-09-02,13,52.34
2011-09-09,14,50.49
2011-09-16,14,54.51
2011-09-23,15,50.94
2011-09-30,14,50.64
2011-10-07,16,50.49
2011-10-14,14,53.29
2011-10-21,13,53.26
2011-10-28,12,51.4
2011-11-04,13,48.86
2011-11-11,11,48.81
2011-11-18,13,45.9
2011-11-25,13,44.42
2011-12-02,15,46.54
2011-12-09,14,45.64
2011-12-16,13,43.84
2011-12-23,14,45.69
2011-12-30,12,44.97
2012-01-06,15,47.62
2012-01-13,14,49.35
2012-01-20,13,51.14
2012-01-27,14,52.46
2012-02-03,13,56.29
2012-02-10,12,55.52
2012-02-17,14,56.38
2012-02-24,14,56.66
2012-03-02,13,57.25
2012-03-09,14,56.27
2012-03-16,12,57.91
2012-03-23,13,56.75
2012-03-30,12,56.38
2012-04-13,13,54.1
2012-04-20,13,54.14
2012-04-27,12,54.91
2012-05-04,12,54.03
2012-05-11,13,53.3
2012-05-18,12,50.54
2012-05-25,13,51.68
2012-06-01,13,49.13
2012-06-08,13,50.87
2012-06-15,15,51.23
2012-06-22,18,51.04
2012-06-29,16,51.91
2012-07-06,20,51.43
2012-07-13,23,52.04
2012-07-20,18,52.05
2012-07-27,17,56.1
2012-08-03,16,56.6
2012-08-10,14,57.07
2012-08-17,13,56.61
2012-08-24,14,56.59
2012-08-31,12,57.35
2012-09-07,14,58.93
