"Date","Lincoln.National","Price"
2004-02-06,72,44.47
2004-02-13,67,46.64
2004-02-20,69,47.24
2004-02-27,62,46.43
2004-03-05,90,47.91
2004-03-12,56,46.38
2004-03-19,56,46.26
2004-03-26,62,46.24
2004-04-02,68,48.8
2004-04-16,63,47.3
2004-04-23,64,46.62
2004-04-30,83,44.88
2004-05-07,96,44.25
2004-05-14,69,44.42
2004-05-21,63,44.72
2004-05-28,94,47.49
2004-06-04,65,47.13
2004-06-18,41,45.9
2004-06-25,56,45.62
2004-07-02,51,46.3
2004-07-09,35,44.2
2004-07-16,57,43.01
2004-07-23,75,42.22
2004-07-30,68,43.7
2004-08-06,41,42.48
2004-08-13,44,42.79
2004-08-20,57,44.57
2004-08-27,55,45.46
2004-09-03,54,46.33
2004-09-10,39,46.63
2004-09-17,57,47
2004-09-24,56,46.61
2004-10-01,72,48.43
2004-10-08,36,46.81
2004-10-15,62,45.01
2004-10-22,48,41.71
2004-10-29,56,43.8
2004-11-05,37,45.52
2004-11-12,51,46.11
2004-11-19,100,46.13
2004-11-26,77,46.17
2004-12-03,41,47.49
2004-12-10,47,46.09
2004-12-17,55,46.24
2004-12-31,35,46.68
2005-01-07,47,46.33
2005-01-14,37,46
2005-01-21,67,45.51
2005-01-28,52,44.84
2005-02-04,52,46.99
2005-02-11,65,49.3
2005-02-18,43,47.83
2005-02-25,66,47.35
2005-03-04,46,47.45
2005-03-11,58,46.78
2005-03-18,50,46.39
2005-04-01,46,44.81
2005-04-08,45,45.2
2005-04-15,64,43.06
2005-04-22,67,43.1
2005-04-29,53,44.97
2005-05-06,71,43.44
2005-05-13,52,41.95
2005-05-20,64,44.8
2005-05-27,73,45.71
2005-06-03,37,44.68
2005-06-10,62,45.01
2005-06-17,63,47.32
2005-06-24,35,46.71
2005-07-01,44,47.67
2005-07-08,42,47.46
2005-07-15,52,47.46
2005-07-22,59,47.21
2005-07-29,41,48.3
2005-08-05,47,48.39
2005-08-12,32,50.14
2005-08-19,40,50.26
2005-08-26,36,49.89
2005-09-02,60,49.8
2005-09-09,33,51.33
2005-09-16,45,52.25
2005-09-23,56,51.28
2005-09-30,50,52.02
2005-10-07,57,50.73
2005-10-14,90,48.04
2005-10-21,51,48.41
2005-10-28,49,49.69
2005-11-04,53,50.08
2005-11-11,53,51.11
2005-11-18,55,51.72
2005-11-25,43,52.06
2005-12-02,55,52.7
2005-12-09,40,51.68
2005-12-16,35,52.06
2005-12-23,37,53.89
2005-12-30,44,53.03
2006-01-06,42,54.3
2006-01-13,44,54.33
2006-01-20,68,52.77
2006-01-27,50,52.94
2006-02-03,60,52.86
2006-02-10,56,54.67
2006-02-17,52,55.83
2006-02-24,57,57.58
2006-03-03,47,55.64
2006-03-10,54,54.6
2006-03-17,58,55.78
2006-03-24,63,55.46
2006-03-31,45,54.59
2006-04-07,49,56.81
2006-04-21,59,57.39
2006-04-28,60,58.08
2006-05-05,46,58.79
2006-05-12,38,57.24
2006-05-19,47,56.45
2006-05-26,62,56.51
2006-06-02,54,57.35
2006-06-09,42,57.04
2006-06-16,36,55.95
