"Date","buy.BEN","Price"
2004-06-25,31,50.43
2004-12-10,24,67.85
2005-02-04,30,68.38
2005-02-11,23,70.43
2005-02-18,23,70.11
2005-02-25,23,69.87
2005-03-04,23,72.86
2005-03-11,23,71.52
2005-03-18,23,71.89
2005-04-01,22,68.15
2005-05-13,24,68.14
2005-10-07,17,81.3
2005-10-14,18,80.7
2005-10-21,18,83.54
2005-12-09,17,97.9
2005-12-16,17,97.01
2006-02-03,14,96.07
2006-02-10,14,94.64
2006-02-17,15,98.55
2006-02-24,15,102.05
2006-03-03,16,103.08
2006-03-10,16,97.25
2006-03-17,16,101.45
2006-03-24,14,97.4
2006-03-31,13,94.24
2006-04-07,18,94.98
2006-05-19,15,88.75
2006-05-26,18,90.39
2006-06-02,13,90.69
2006-06-09,13,86.96
2006-06-16,13,85.04
2006-06-23,14,86.69
2006-06-30,14,86.81
2006-07-07,15,82.5
2006-07-14,16,83.04
2006-07-21,15,84.46
2006-07-28,15,91
2006-08-04,15,93.15
2006-08-11,13,92.17
2006-08-18,13,98.84
2006-08-25,13,97.13
2006-09-01,15,97.96
2006-09-08,17,99.26
2006-09-15,12,104.77
2006-09-22,20,103.62
2006-09-29,15,105.75
2006-10-06,15,107.67
2006-10-13,15,105.42
2006-10-20,15,105.72
2006-10-27,15,110.9
2006-11-03,13,108.45
2006-11-10,15,107
2006-11-17,17,108.5
2006-11-24,19,107.7
2006-12-01,10,106.79
2006-12-08,19,112.36
2006-12-15,10,113.24
2006-12-22,18,110.42
2006-12-29,15,110.17
2007-01-05,13,111.77
2007-01-12,9,119.92
2007-01-19,21,117.79
2007-01-26,10,118.1
2007-02-02,15,120.76
2007-02-09,13,121.9
2007-02-16,10,126.02
2007-02-23,11,123.75
2007-03-02,11,114.46
2007-03-09,13,119.72
2007-03-16,14,114.56
2007-03-23,13,122.88
2007-03-30,14,120.83
2007-04-13,10,126.54
2007-04-20,13,130.29
2007-04-27,10,131.34
2007-05-04,9,135.2
2007-05-11,9,136.02
2007-05-18,14,135.99
2007-05-25,10,133.95
2007-06-01,15,136.13
2007-06-08,11,128.27
2007-06-15,14,132.28
2007-06-22,16,132.6
2007-06-29,12,132.47
2007-07-06,11,135.42
2007-07-13,15,140.23
2007-07-20,14,137.94
2007-07-27,9,130.15
2007-08-03,9,120.49
2007-08-10,17,122.03
2007-08-17,14,131.5
2007-08-24,12,134.35
2007-08-31,13,131.77
2007-09-07,14,126.14
2007-09-14,10,126.12
2007-09-21,18,130.29
2007-09-28,17,127.5
2007-10-05,8,130.13
2007-10-12,14,140.32
2007-10-19,13,132.84
2007-10-26,13,131.98
2007-11-02,14,124.23
2007-11-09,17,117.23
2007-11-16,15,118.95
2007-11-23,26,119.06
2007-11-30,27,123.18
2007-12-07,26,121.04
2007-12-14,21,111.04
2007-12-21,20,115.12
2007-12-28,21,114.14
2008-01-04,16,106.75
2008-01-11,13,102
2008-01-18,18,90.54
2008-01-25,22,98.39
2008-02-01,14,106.65
2008-02-08,16,97.68
2008-02-15,19,96.92
2008-02-22,16,97.14
2008-02-29,19,94.37
2008-03-07,14,89.73
2008-03-14,17,90.45
2008-03-28,17,94.62
2008-04-04,14,101.21
2008-04-11,16,97.8
2008-04-18,20,99.96
2008-04-25,18,93.64
2008-05-02,16,101.84
