"Date","Block.H.R","Price"
2004-02-06,72,58.9
2004-02-13,49,59.7
2004-02-20,41,59.55
2004-02-27,36,54.05
2004-03-05,35,55.75
2004-03-12,23,52.89
2004-03-19,27,51.42
2004-03-26,24,50.47
2004-04-02,32,49.04
2004-04-16,57,46.9
2004-04-23,10,47.1
2004-04-30,9,45.11
2004-05-07,6,44.77
2004-05-14,6,45.57
2004-05-21,7,47
2004-05-28,5,48.85
2004-06-04,4,47.1
2004-06-18,4,47.66
2004-06-25,7,48.7
2004-07-02,8,47.98
2004-07-09,6,46.82
2004-07-16,8,49.03
2004-07-23,9,48.48
2004-07-30,6,49.13
2004-08-06,10,48.81
2004-08-13,10,48.87
2004-08-20,9,50.19
2004-08-27,9,48.9
2004-09-03,9,48.94
2004-09-10,9,48.29
2004-09-17,7,48.28
2004-09-24,6,50.04
2004-10-01,9,50.49
2004-10-08,6,47.86
2004-10-15,7,46.32
2004-10-22,7,45.48
2004-10-29,8,47.55
2004-11-05,8,49.37
2004-11-12,6,50.17
2004-11-19,6,48.71
2004-11-26,6,46.82
2004-12-03,11,48.33
2004-12-10,8,48.01
2004-12-17,7,48.45
2004-12-31,12,49
2005-01-07,20,46.72
2005-01-14,27,47.34
2005-01-21,37,46.92
2005-01-28,60,47.6
2005-02-04,74,47.23
2005-02-11,61,47.52
2005-02-18,42,47.78
2005-02-25,38,51.5
2005-03-04,37,52.5
2005-03-11,34,52.14
2005-03-18,37,50.14
2005-04-01,35,50.36
2005-04-08,37,50.59
2005-04-15,65,49.36
2005-04-22,13,50.38
2005-04-29,11,49.81
2005-05-06,9,50.27
2005-05-13,6,49.38
2005-05-20,7,50.26
2005-05-27,6,50.35
2005-06-03,7,51.05
2005-06-10,6,56.2
2005-06-17,7,59.2
2005-06-24,6,58.17
2005-07-01,6,58.5
2005-07-08,6,59.08
2005-07-15,8,59.61
2005-07-22,9,57.87
2005-07-29,9,56.96
2005-08-05,9,55.38
2005-08-12,11,56.11
2005-08-19,11,55.12
2005-08-26,7,26.64
2005-09-02,9,26.8
2005-09-09,8,24.91
2005-09-16,7,24.47
2005-09-23,9,23.7
