"Date","EOG","Price"
2004-02-06,25,43.26
2004-02-13,29,43.76
2004-02-20,32,43
2004-02-27,36,44.49
2004-03-05,40,45.52
2004-03-12,31,44.68
2004-03-19,31,44.73
2004-03-26,25,43.98
2004-04-02,25,45.88
2004-04-16,27,49.14
2004-04-23,28,48.68
2004-04-30,40,49.25
2004-05-07,37,53.89
2004-05-14,47,54.17
2004-05-21,29,52.67
2004-05-28,20,53.43
2004-06-04,30,52.11
2004-06-18,26,58.16
2004-06-25,23,60.09
2004-07-02,18,60.81
2004-07-09,18,62.56
2004-07-16,18,63.32
2004-07-23,18,60.81
2004-07-30,22,63.55
2004-08-06,27,58.4
2004-08-13,28,57.5
2004-08-20,17,57.2
2004-08-27,17,57.45
2004-09-03,17,58.73
2004-09-10,18,59.64
2004-09-17,21,63.58
2004-09-24,16,64.85
2004-10-01,27,67.2
2004-10-08,15,69.7
2004-10-15,36,66.59
2004-10-22,20,68.76
2004-10-29,22,66.56
2004-11-05,24,67.59
2004-11-12,25,68.37
2004-11-19,26,71.34
2004-11-26,21,75.83
2004-12-03,27,72.16
2004-12-10,31,69.7
2004-12-17,22,73.19
2004-12-31,13,71.36
2005-01-07,13,65.48
2005-01-14,20,69.95
2005-01-21,29,71.65
2005-01-28,24,74
2005-02-04,13,76.65
2005-02-11,17,81.25
2005-02-18,17,85.57
2005-02-25,29,91.5
2005-03-04,28,46.79
2005-03-11,27,45.38
2005-03-18,23,48.21
2005-04-01,24,50.26
2005-04-08,26,47.29
2005-04-15,29,43.62
2005-04-22,25,47.35
2005-04-29,59,47.55
2005-05-06,44,49.72
2005-05-13,54,44.99
2005-05-20,41,47.86
2005-05-27,20,50.9
2005-06-03,24,51.67
2005-06-10,20,54.17
2005-06-17,28,56.15
2005-06-24,17,55.9
2005-07-01,22,58.48
2005-07-08,20,60.46
2005-07-15,26,58.68
2005-07-22,19,63.53
2005-07-29,24,61.1
2005-08-05,14,61.95
2005-08-12,26,63.69
2005-08-19,20,61.08
2005-08-26,25,60.46
2005-09-02,29,65.25
2005-09-09,24,70.51
2005-09-16,22,70.66
2005-09-23,19,72.44
2005-09-30,28,74.9
2005-10-07,20,69.07
2005-10-14,20,66.93
2005-10-21,22,61.25
2005-10-28,22,66.02
2005-11-04,27,68.46
2005-11-11,20,64.14
2005-11-18,36,68.87
2005-11-25,26,72.9
2005-12-02,31,75.19
2005-12-09,20,76.68
2005-12-16,18,77.65
2005-12-23,20,75.98
2005-12-30,15,73.37
2006-01-06,28,77.8
2006-01-13,18,80.19
2006-01-20,22,84.81
2006-01-27,25,80.39
2006-02-03,36,79.11
2006-02-10,32,69.37
2006-02-17,26,71.55
2006-02-24,27,70.15
2006-03-03,24,70.35
2006-03-10,28,65.48
2006-03-17,25,72.56
2006-03-24,26,71.95
2006-03-31,22,72
2006-04-07,37,72.07
2006-04-21,31,77.38
2006-04-28,41,70.23
2006-05-05,55,76.31
2006-05-12,46,68.93
2006-05-19,55,62.7
2006-05-26,44,63.62
2006-06-02,40,65.91
2006-06-09,28,59.75
2006-06-16,24,63.04
2006-06-23,20,64.57
2006-06-30,18,69.34
2006-07-07,24,69.07
2006-07-14,23,70.15
2006-07-21,24,64.4
2006-07-28,19,72.06
2006-08-04,26,69.59
2006-08-11,21,68.14
2006-08-18,20,66.34
2006-08-25,18,69.13
2006-09-01,27,65.94
2006-09-08,23,60.89
2006-09-15,24,59.84
2006-09-22,25,62.19
2006-09-29,23,65.05
2006-10-06,20,63.31
2006-10-13,17,64.94
2006-10-20,29,66.25
2006-10-27,18,68.01
2006-11-03,26,67.13
2006-11-10,17,67.46
2006-11-17,29,68.3
2006-11-24,19,69.47
2006-12-01,19,70.63
2006-12-08,30,68.67
2006-12-15,28,68.62
2006-12-22,20,64.31
2006-12-29,12,62.45
2007-01-05,27,62.68
2007-01-12,37,62.28
2007-01-19,31,64.73
2007-01-26,27,65.57
2007-02-02,26,68.69
2007-02-09,24,66.57
2007-02-16,23,67
2007-02-23,21,67.86
2007-03-02,24,65.92
2007-03-09,31,66.91
2007-03-16,30,65.64
2007-03-23,36,71.45
2007-03-30,32,71.34
2007-04-13,33,76.98
2007-04-20,37,73.98
2007-04-27,41,74.25
2007-05-04,43,76.92
2007-05-11,56,75.91
2007-05-18,74,78.47
2007-05-25,75,76.61
2007-06-01,42,77.14
2007-06-08,40,75.34
2007-06-15,27,80.49
2007-06-22,26,76.62
2007-06-29,27,73.06
2007-07-06,27,74.94
2007-07-13,28,74.91
2007-07-20,29,75.03
2007-07-27,30,69.11
2007-08-03,25,70.47
2007-08-10,20,71.99
2007-08-17,23,71.58
2007-08-24,21,67.89
2007-08-31,22,67.36
2007-09-07,34,69.9
2007-09-14,23,72.35
2007-09-21,21,74.49
2007-09-28,24,72.33
2007-10-05,27,77.41
2007-10-12,27,81.37
2007-10-19,28,79.8
2007-10-26,22,81.91
2007-11-02,28,87.47
2007-11-09,29,87.41
2007-11-16,28,85.28
2007-11-23,21,83.64
2007-11-30,28,82.78
2007-12-07,25,88.16
2007-12-14,20,88.35
2007-12-21,15,90.43
2007-12-28,17,90.92
2008-01-04,19,88.97
2008-01-11,24,88.93
2008-01-18,23,85.13
2008-01-25,35,83.98
2008-02-01,28,89.45
2008-02-08,33,94.12
2008-02-15,27,96.03
2008-02-22,34,99.35
2008-02-29,38,118.99
2008-03-07,34,116.46
2008-03-14,28,126.1
2008-03-28,27,118.88
2008-04-04,33,123.78
2008-04-11,36,126.32
2008-04-18,40,134.17
2008-04-25,43,135.75
2008-05-02,49,127.75
2008-05-09,58,138.5
2008-05-16,77,140.99
2008-05-23,80,134.97
2008-05-30,45,128.63
2008-06-06,42,128.81
2008-06-13,34,130.31
2008-06-20,22,130.41
2008-06-27,32,130.19
2008-07-11,25,118.56
2008-07-18,27,106.39
2008-07-25,27,104.05
2008-08-01,29,100.49
2008-08-08,25,93.86
2008-08-15,25,95.6
2008-08-22,23,103.64
2008-08-29,22,104.42
2008-09-05,23,95.78
2008-09-12,26,90.82
2008-09-19,28,97
2008-09-26,21,94.52
2008-10-03,23,79.94
2008-10-10,28,59.59
2008-10-17,28,68.94
2008-10-24,24,65.87
2008-10-31,27,80.92
2008-11-07,29,79.88
2008-11-14,25,80.63
2008-11-21,20,74.71
2008-11-28,23,85.02
2008-12-05,29,67.94
2008-12-12,24,67.97
2008-12-19,19,64.96
2008-12-26,16,64.27
2009-01-02,20,70.39
2009-01-09,24,66.54
2009-01-16,26,63.73
2009-01-23,25,66.57
2009-01-30,39,67.77
2009-02-06,29,68.41
2009-02-13,21,63.72
2009-02-20,26,55.11
2009-02-27,31,50.04
2009-03-06,29,52.07
2009-03-13,24,58.99
2009-03-20,26,61.95
