"Date","UNM","Price"
2004-02-06,71,14.63
2004-02-13,55,14.71
2004-02-20,64,15.03
2004-02-27,56,14.82
2004-03-05,56,15.07
2004-03-12,57,14.45
2004-03-19,45,14.23
2004-03-26,42,14.03
2004-04-02,48,15.06
2004-04-16,54,15.35
2004-04-23,46,15.19
2004-04-30,46,15.55
2004-05-07,60,14.42
2004-05-14,53,13.95
2004-05-21,53,13.82
2004-05-28,36,14.56
2004-06-04,45,14.92
2004-06-18,37,15.07
2004-06-25,37,15.6
2004-07-02,46,15.63
2004-07-09,50,15.23
2004-07-16,57,15.63
2004-07-23,61,15.51
2004-07-30,53,15.95
2004-08-06,62,15.82
2004-08-13,69,15.31
2004-08-20,78,16.01
2004-08-27,65,16.09
2004-09-03,64,16.39
2004-09-10,60,16.09
2004-09-17,77,16.03
2004-09-24,52,15.24
2004-10-01,37,15.8
2004-10-08,56,15.25
2004-10-15,42,13.64
2004-10-22,50,13.15
2004-10-29,41,13.66
2004-11-05,58,14.91
2004-11-12,41,13.45
2004-11-19,59,15.35
2004-11-26,51,15.41
2004-12-03,68,15.52
2004-12-10,58,15.65
2004-12-17,45,17.18
2004-12-31,43,17.94
2005-01-07,55,17.05
2005-01-14,48,17
2005-01-21,60,16.71
2005-01-28,59,17.02
2005-02-04,44,17.3
2005-02-11,49,17.15
2005-02-18,57,17.36
2005-02-25,56,17.43
2005-03-04,42,17.31
2005-03-11,61,17.78
2005-03-18,46,17.74
2005-04-01,54,16.68
2005-04-08,42,17.13
2005-04-15,48,16
2005-04-22,44,15.98
2005-04-29,52,16.72
2005-05-06,53,17.49
2005-05-13,50,17.06
2005-05-20,40,17.9
2005-05-27,42,18.25
2005-06-03,43,17.95
2005-06-10,37,17.99
2005-06-17,42,18.4
2005-06-24,45,18.35
2005-07-01,46,18.61
2005-07-08,28,18.99
2005-07-15,51,19.25
2005-07-22,56,19.4
2005-07-29,47,19.15
2005-08-05,55,19.48
2005-08-12,60,19.58
2005-08-19,55,19.62
2005-08-26,65,19.6
2005-09-02,59,19.24
2005-09-09,49,19.62
2005-09-16,67,20.17
2005-09-23,68,19.79
2005-09-30,46,20.5
2005-10-07,54,19.83
2005-10-14,51,19.47
2005-10-21,44,19.84
2005-10-28,51,19.76
2005-11-04,60,21.69
2005-11-11,49,21.57
2005-11-18,49,22.3
2005-11-25,53,22.22
2005-12-02,58,22.4
2005-12-09,63,21.96
2005-12-16,49,21.87
2005-12-23,52,22.56
2005-12-30,44,22.75
2006-01-06,45,23.02
2006-01-13,65,23.08
2006-01-20,59,22.21
2006-01-27,56,24.05
2006-02-03,59,20.87
2006-02-10,47,21
2006-02-17,53,21.2
2006-02-24,60,21.06
2006-03-03,51,20.48
2006-03-10,51,20.66
2006-03-17,46,21.09
2006-03-24,51,20.66
2006-03-31,53,20.48
2006-04-07,46,19.22
2006-04-21,60,19.35
2006-04-28,53,20.31
2006-05-05,56,18.79
2006-05-12,60,17.83
2006-05-19,47,17.25
2006-05-26,38,17.87
2006-06-02,45,18.18
2006-06-09,50,18.17
2006-06-16,50,18.16
2006-06-23,37,17.92
